Searches,WeeklyCases
27,0
13,194
34,0
24,573
42,292
26,283
19,231
12,214
16,167
16,198
42,142
19,82
33,166
33,156
6,113
31,77
25,63
28,69
14,66
20,84
18,26
16,36
33,34
7,37
7,29
5,2
18,17
22,14
5,12
14,11
36,8
41,5
0,2
54,4
0,4
43,8
8,5
0,9
1,5
4,5
0,3
0,4
25,-4
10,4
57,2
14,4
5,1
0,2
12,3
96,14
0,2
10,5
