Week,Cases,Searches,WeeklyCases
1,24,25,0
2,88,18,64
3,88,40,0
4,501,21,413
5,1137,48,636
6,1992,50,855
7,2873,53,881
8,3853,42,980
9,5096,29,1243
10,6353,38,1257
11,7397,70,1044
12,8349,44,952
13,9561,66,1212
14,11086,70,1525
15,12617,18,1531
16,14089,79,1472
17,15336,59,1247
18,16413,45,1077
19,17577,47,1164
20,18837,41,1260
21,19623,26,786
22,20572,46,949
23,21431,48,859
24,22240,23,809
25,22970,21,730
26,23489,26,519
27,23996,64,507
28,24297,19,301
29,24565,9,268
30,24884,70,319
31,25082,23,198
32,25298,58,216
33,25442,18,144
34,25552,62,110
35,25632,7,80
36,25820,38,188
37,25845,7,25
38,25951,6,106
39,26059,1,108
40,26131,2,72
41,26165,45,34
42,26237,15,72
43,26328,23,91
44,26374,7,46
45,26415,24,41
46,26452,6,37
47,26423,5,-29
48,26519,17,96
49,26549,6,30
50,26634,14,85
51,26660,16,26
52,26680,4,20
