Searches,WeeklyCases
25,0
18,64
40,0
21,413
48,636
50,855
53,881
42,980
29,1243
38,1257
70,1044
44,952
66,1212
70,1525
18,1531
79,1472
59,1247
45,1077
47,1164
41,1260
26,786
46,949
48,859
23,809
21,730
26,519
64,507
19,301
9,268
70,319
23,198
58,216
18,144
62,110
7,80
38,188
7,25
6,106
1,108
2,72
45,34
15,72
23,91
7,46
24,41
6,37
5,-29
17,96
6,30
14,85
16,26
4,20
