Week,Cases,Searches,WeeklyCases
1,1824,27,0
2,2018,13,194
3,2018,34,0
4,2591,24,573
5,2883,42,292
6,3166,26,283
7,3397,19,231
8,3611,12,214
9,3778,16,167
10,3976,16,198
11,4118,42,142
12,4200,19,82
13,4366,33,166
14,4522,33,156
15,4635,6,113
16,4712,31,77
17,4775,25,63
18,4844,28,69
19,4910,14,66
20,4994,20,84
21,5020,18,26
22,5056,16,36
23,5090,33,34
24,5127,7,37
25,5156,7,29
26,5158,5,2
27,5175,18,17
28,5189,22,14
29,5201,5,12
30,5212,14,11
31,5220,36,8
32,5225,41,5
33,5227,0,2
34,5231,54,4
35,5235,0,4
36,5243,43,8
37,5248,8,5
38,5257,0,9
39,5262,1,5
40,5267,4,5
41,5270,0,3
42,5274,0,4
43,5270,25,-4
44,5274,10,4
45,5276,57,2
46,5280,14,4
47,5281,5,1
48,5283,0,2
49,5286,12,3
50,5300,96,14
51,5302,0,2
52,5307,10,5
