Date,Searches,Observed,Pure-LSTM-Prediction,Pure-LSTMError,Naive-Prediction,NaiveError
01/02/2016,79,4182.048992,159.57089850093126,-4022.4780934990686,3917.329395,-264.7195969999998
08/02/2016,66,4396.956837,159.5851986696005,-4237.371638330399,4182.048992,-214.90784499999972
15/02/2016,74,4312.994171,159.59294168775796,-4153.401229312242,4396.956837,83.96266599999944
22/02/2016,63,4179.219754,159.5945361316514,-4019.6252178683485,4312.994171,133.77441700000054
29/02/2016,77,4034.2968909999995,159.59460588857175,-3874.702285111428,4179.219754,144.92286300000023
07/03/2016,86,3822.483356,159.59377877080203,-3662.889577229198,4034.2968909999995,211.81353499999932
14/03/2016,73,3599.5213750000003,159.58832776574135,-3439.933047234259,3822.483356,222.96198099999992
21/03/2016,100,3479.478625,159.57866144963742,-3319.899963550363,3599.5213750000003,120.04275000000007
28/03/2016,75,3462.355104999999,159.56513857236624,-3302.789966427633,3479.478625,17.123520000001008
04/04/2016,81,3383.709945000001,159.556329269855,-3224.153615730146,3462.355104999999,78.64515999999821
11/04/2016,74,2935.93495,159.55070885513067,-2776.384241144869,3383.709945000001,447.7749950000011
18/04/2016,72,2426.6383149999997,159.5209525459695,-2267.11736245403,2935.93495,509.29663500000015
25/04/2016,63,1917.3416799999998,159.422316260612,-1757.9193637393878,2426.6383149999997,509.2966349999999
02/05/2016,54,1624.8516819999998,159.1876041542244,-1465.6640778457754,1917.3416799999998,292.489998
09/05/2016,44,1549.168323,158.80587435558795,-1390.362448644412,1624.8516819999998,75.68335899999965
16/05/2016,76,1473.484964,158.47766804539918,-1315.0072959546007,1549.168323,75.68335900000011
23/05/2016,40,1397.801605,158.30106345365286,-1239.5005415463472,1473.484964,75.68335899999988
30/05/2016,48,1322.118246,158.09854914863826,-1164.0196968513617,1397.801605,75.68335900000011
06/06/2016,27,1042.917176,157.79137953256844,-885.1257964674314,1322.118246,279.2010700000001
13/06/2016,29,560.1983946,152.69874566749334,-407.4996489325067,1042.917176,482.7187813999999
20/06/2016,39,77.479613,105.60092590200662,28.121312902006622,560.1983946,482.71878160000006
27/06/2016,40,-405.23916859999997,70.64107933768273,475.8802479376827,77.479613,482.71878159999994
04/07/2016,28,-887.9579501000001,69.51564111550331,957.4735912155033,-405.23916859999997,482.7187815000001
11/07/2016,39,-1370.6767320000004,44.346118528926375,1415.0228505289267,-887.9579501000001,482.7187819000003
18/07/2016,40,-1088.038098,20.932731394487618,1108.9708293944875,-1370.6767320000004,-282.63863400000037
25/07/2016,36,-40.04204986,19.21552777785361,59.25757763785361,-1088.038098,-1047.99604814
01/08/2016,38,1007.953999,20.21055917443961,-987.7434398255604,-40.04204986,-1047.99604886
08/08/2016,29,2055.950047,44.6495113060236,-2011.3005356939761,1007.953999,-1047.996048
15/08/2016,35,1853.0499530000002,102.82403245193005,-1750.2259205480702,2055.950047,202.90009399999963
22/08/2016,16,399.25371670000004,146.58255854502917,-252.67115815497087,1853.0499530000002,1453.7962363000001
29/08/2016,20,-247.25371669999998,109.50276927582026,356.7564859758202,399.25371670000004,646.5074334000001
05/09/2016,27,-86.47234738,68.17751404321432,154.6498614232143,-247.25371669999998,-160.78136931999998
12/09/2016,56,74.30902197,48.047899055211545,-26.26112291478846,-86.47234738,-160.78136935
19/09/2016,23,129.8906847,28.44704152336836,-101.44364317663165,74.30902197,-55.581662730000005
26/09/2016,36,80.27264073,29.669257507241966,-50.60338322275804,129.8906847,49.61804397
03/10/2016,14,30.654596790000003,36.461060333725214,5.8064635437252115,80.27264073,49.61804394000001
10/10/2016,15,36.34540321,35.02306128206134,-1.322341927938659,30.654596790000003,-5.690806419999998
17/10/2016,43,97.34505999000001,31.604214824665785,-65.74084516533422,36.34540321,-60.99965678000001
24/10/2016,40,107.65494000000001,30.895661397654415,-76.7592786023456,97.34505999000001,-10.30988001
31/10/2016,24,67.27504325,34.48519307384193,-32.78985017615807,107.65494000000001,40.379896750000015
07/11/2016,27,59.72495675,35.89195846442461,-23.832998285575385,67.27504325,7.550086499999999
14/11/2016,43,79.0,34.43336617334962,-44.56663382665038,59.72495675,-19.275043250000003
21/11/2016,33,65.0,33.07340269367635,-31.92659730632365,79.0,14.0
28/11/2016,26,62.0,32.8792392885536,-29.1207607114464,65.0,3.0
05/12/2016,33,64.0,32.732049695322516,-31.267950304677484,62.0,-2.0
12/12/2016,37,60.00000000000001,32.29956177186608,-27.700438228133926,64.0,3.999999999999993
19/12/2016,33,41.0,32.003832290731665,-8.996167709268335,60.00000000000001,19.000000000000007
26/12/2016,51,22.0,31.28890357946515,9.288903579465149,41.0,19.0
02/01/2017,17,13.35814044,29.805046826635003,16.446906386635003,22.0,8.64185956
