Date,Searches,Observed,Predicted,error
01/02/2016,0.79,4297.0,3038.4679499588015,1258.5320500411985
08/02/2016,0.66,4297.0,4526.105468079605,-229.1054680796051
15/02/2016,0.74,4298.0,3826.558197608643,471.4418023913572
22/02/2016,0.63,4012.0,4013.3657952734375,-1.3657952734374703
29/02/2016,0.77,4012.0,3467.8185260272217,544.1814739727783
07/03/2016,0.86,4012.0,3850.527472658615,161.4725273413851
14/03/2016,0.73,3539.0,3152.093442914047,386.90655708595295
21/03/2016,1.0,3540.0000000000005,3216.186260764694,323.81373923530646
28/03/2016,0.75,3260.0000000000005,3488.29278006279,-228.29278006278946
04/04/2016,0.81,3260.0000000000005,2673.9881209166338,586.0118790833667
11/04/2016,0.74,3261.9999999999995,2955.5077586283874,306.4922413716122
18/04/2016,0.72,1879.0,2944.5988923983,-1065.5988923983
25/04/2016,0.63,1879.0,2497.339203630066,-618.3392036300661
02/05/2016,0.54,1879.0,1668.5914339196395,210.40856608036052
09/05/2016,0.44,1881.0,1517.9225448770524,363.07745512294764
16/05/2016,0.76,979.0000000000001,2157.828844292221,-1178.8288442922212
23/05/2016,0.4,979.0000000000001,1668.529410052185,-689.529410052185
30/05/2016,0.48,979.0000000000001,1236.365597178192,-257.36559717819193
06/06/2016,0.27,979.0000000000001,628.6637559392834,350.3362440607167
13/06/2016,0.29,979.0000000000001,780.4950344412804,198.50496555871973
20/06/2016,0.39,979.0000000000001,781.8927239582634,197.10727604173667
27/06/2016,0.4,-463.99999999999994,747.2215414955712,-1211.221541495571
04/07/2016,0.28,-463.99999999999994,124.04166605698823,-588.0416660569882
11/07/2016,0.39,-463.99999999999994,-412.78733345905306,-51.212666540946884
18/07/2016,0.4,-463.99999999999994,-537.6987387640858,73.69873876408582
25/07/2016,0.36,-463.99999999999994,-403.5353734619236,-60.464626538076345
01/08/2016,0.38,-463.99999999999994,-424.05805873075485,-39.94194126924509
08/08/2016,0.29,1303.0,-413.4344783743,1716.4344783743
15/08/2016,0.35,2606.0,385.7304576705456,2220.2695423294545
22/08/2016,0.16,76.0,4123.518908317566,-4047.5189083175655
29/08/2016,0.2,76.0,1672.5408714436721,-1596.5408714436721
05/09/2016,0.27,66.0,344.5313827415562,-278.5313827415562
12/09/2016,0.56,66.0,-548.3193693993378,614.3193693993378
19/09/2016,0.23,66.0,53.240006288688186,12.759993711311814
26/09/2016,0.36,0.0,29.59151840216279,-29.59151840216279
03/10/2016,0.14,33.0,59.52345057557344,-26.52345057557344
10/10/2016,0.15,34.0,-2.1484396525022387,36.14843965250224
17/10/2016,0.43,102.0,2.8514872654440997,99.1485127345559
24/10/2016,0.4,103.0,13.758176083089412,89.24182391691059
31/10/2016,0.24,63.0,44.13432655350685,18.865673446493147
07/11/2016,0.27,64.0,69.82164479447603,-5.821644794476029
14/11/2016,0.43,79.0,94.77159252637863,-15.771592526378626
21/11/2016,0.33,65.0,72.61310249299169,-7.613102492991686
28/11/2016,0.26,62.0,42.536419727243185,19.463580272756815
05/12/2016,0.33,64.0,56.99323752635956,7.006762473640443
12/12/2016,0.37,60.00000000000001,64.92386692108988,-4.923866921089875
19/12/2016,0.33,41.0,40.96650037394643,0.03349962605356893
26/12/2016,0.51,22.0,31.45784487524867,-9.457844875248671
02/01/2017,0.17,0.0,33.046180055514576,-33.046180055514576
09/01/2017,0.41,0.0,-13.090851487316192,13.090851487316192
16/01/2017,0.2,0.0,-10.886450591132343,10.886450591132343
23/01/2017,0.15,1.0,-10.394582089238465,11.394582089238465
30/01/2017,0.33,-1.0,-12.176542549813092,11.176542549813092
06/02/2017,0.79,-1.0,1.156690568149984,-2.156690568149984
13/02/2017,0.67,1.0,22.336659173203707,-21.336659173203707
20/02/2017,0.29,131.0,-5.992893011426627,136.99289301142662
27/02/2017,0.46,131.0,8.608182098948062,122.39181790105194
06/03/2017,0.17,132.0,117.79253220963479,14.207467790365214
13/03/2017,0.16,56.0,90.83371472057343,-34.833714720573425
20/03/2017,0.2,57.0,137.0967035940075,-80.0967035940075
27/03/2017,0.12,195.0,61.60045789599061,133.39954210400938
03/04/2017,0.13,195.0,74.39775357763648,120.60224642236352
10/04/2017,0.11,195.0,160.96068555536746,34.03931444463254
17/04/2017,0.17,0.0,141.14146893231867,-141.14146893231867
24/04/2017,0.18,0.0,78.113091859653,-78.113091859653
01/05/2017,0.13,0.0,41.50595555210352,-41.50595555210352
08/05/2017,0.1,0.0,56.109048630530836,-56.109048630530836
15/05/2017,0.09,61.0,9.313267610491216,51.686732389508784
22/05/2017,0.22,61.0,18.54524847824037,42.45475152175963
29/05/2017,0.2,61.0,32.99681208646417,28.003187913535832
05/06/2017,0.15,61.0,31.91542037684083,29.08457962315917
12/06/2017,0.05,61.0,33.140356880607605,27.859643119392395
19/06/2017,0.12,61.0,26.709874970924854,34.29012502907514
26/06/2017,0.16,0.0,34.8399244529891,-34.8399244529891
03/07/2017,0.19,0.0,36.46157354535341,-36.46157354535341
10/07/2017,0.14,0.0,33.87020360755205,-33.87020360755205
17/07/2017,0.27,0.0,24.826238816320895,-24.826238816320895
24/07/2017,0.06,0.0,11.707173146046697,-11.707173146046697
31/07/2017,0.05,0.0,8.781288879403174,-8.781288879403174
07/08/2017,0.26,0.0,4.447570446504653,-4.447570446504653
14/08/2017,0.2,0.0,21.42341652005434,-21.42341652005434
21/08/2017,0.06,0.0,30.28617276279688,-30.28617276279688
28/08/2017,0.18,0.0,12.080679102039038,-12.080679102039038
04/09/2017,0.09,250.0,4.134065407277047,245.86593459272297
