Date,Searches,Observed,Predicted,error
11/09/2017,0.27,250.0,76.94467839190841,173.0553216080916
18/09/2017,0.19,250.0,200.98407734898566,49.015922651014336
25/09/2017,0.44,1.0,148.1836094153452,-147.1836094153452
02/10/2017,0.19,0.0,102.99786669741154,-102.99786669741154
09/10/2017,0.13,0.0,56.07715975266218,-56.07715975266218
16/10/2017,0.33,0.0,24.582772216430904,-24.582772216430904
23/10/2017,0.18,0.0,2.1839882773700356,-2.1839882773700356
30/10/2017,0.1,0.0,9.71514221119374,-9.71514221119374
06/11/2017,0.41,1.0,-2.214619039354026,3.214619039354026
13/11/2017,0.16,0.0,9.654672926535309,-9.654672926535309
20/11/2017,0.33,0.0,12.233856579485536,-12.233856579485536
27/11/2017,0.22,0.0,-0.3145152689132094,0.3145152689132094
04/12/2017,0.18,0.0,-2.388134396056831,2.388134396056831
