Week,Cases,Delta
52,671,0
1,1005,334
2,1478,473
3,1478,0
4,2773,1295
5,3607,834
6,4179,572
7,4632,453
8,5048,416
9,5338,290
10,5602,264
11,5799,197
12,5917,118
13,6034,117
14,6146,112
15,6231,85
16,6304,73
17,6359,55
18,6421,62
19,6494,73
20,6605,111
21,6579,-26
22,6615,36
23,6643,28
24,6668,25
25,6686,18
26,6702,16
27,6719,17
28,6740,21
29,6760,20
30,6767,7
31,6777,10
32,6784,7
33,6790,6
34,6796,6
35,6800,4
36,6810,10
37,6840,30
38,6871,31
39,6896,25
40,6897,1
41,6900,3
42,6901,1
43,6937,36
44,6944,7
45,6948,4
46,6957,9
47,6961,4
48,6972,11
49,6981,9
50,7012,31
51,7020,8
52,7046,26
