Week,Cases,Delta
52,1814,0
1,2453,639
2,3167,714
3,3167,0
4,4983,1816
5,6102,1119
6,6985,883
7,7572,587
8,8115,543
9,8383,268
10,8623,240
11,8864,241
12,8934,70
13,9042,108
14,9137,95
15,9196,59
16,9276,80
17,9358,82
18,9373,15
19,9575,202
20,9829,254
21,9758,-71
22,9829,71
23,9872,43
24,9916,44
25,9949,33
26,9966,17
27,9999,33
28,10045,46
29,10089,44
30,10112,23
31,10138,26
32,10159,21
33,10169,10
34,10193,24
35,10215,22
36,10330,115
37,10404,74
38,10410,6
39,10416,6
40,10413,-3
41,10422,9
42,10425,3
43,10455,30
44,10465,10
45,10471,6
46,10482,11
47,10479,-3
48,10484,5
49,10490,6
50,10522,32
51,10523,1
52,10527,4
