Week,Cases
1,12
2,30
3,30
4,128
5,254
6,433
7,646
8,811
9,1029
10,1247
11,1391
12,1592
13,1827
14,2072
15,2282
16,2465
17,2650
18,2803
19,2998
20,3200
21,3292
22,3448
23,3553
24,3649
25,3705
26,3770
27,3884
28,3930
29,3959
30,3995
31,4040
32,4078
33,4103
34,4127
35,4149
36,4172
37,4204
38,4259
39,4268
40,4273
41,4278
42,4267
43,4286
44,4291
45,4296
46,4306
47,4312
48,4319
49,4321
50,4331
51,4334
52,4337
