Week,Cases,Delta
52,755,0
1,850,95
2,1142,292
3,1142,0
4,2015,873
5,2630,615
6,2789,159
7,3635,846
8,4052,417
9,4094,42
10,4683,589
11,5028,345
12,5118,90
13,5400,282
14,5636,236
15,5799,163
16,5992,193
17,6129,137
18,6253,124
19,6342,89
20,6464,122
21,6543,79
22,6632,89
23,6688,56
24,6711,23
25,6759,48
26,6802,43
27,6828,26
28,6854,26
29,6886,32
30,6904,18
31,6926,22
32,6943,17
33,6946,3
34,6955,9
35,6969,14
36,7021,52
37,7048,27
38,7051,3
39,7061,10
40,7073,12
41,7079,6
42,7084,5
43,7121,37
44,7130,9
45,7141,11
46,7155,14
47,7158,3
48,7161,3
49,7163,2
50,7193,30
51,7200,7
52,7205,5
