Date,predictions_incidence,observed_incidence,Predicted Cases,Observed Cases,error
01/02/2016,-0.06411125212692426,25.774796576246768,-9.837517103652266,3955.0,3964.8375171036523
08/02/2016,-0.37085700154895274,25.774796576246768,-56.90595604846823,3955.0,4011.9059560484684
15/02/2016,2.4286000093298967,25.774796576246768,372.6552412736211,3955.0,3582.344758726379
22/02/2016,1.7579307488042035,33.57566421259756,269.74475204696415,5152.0,4882.255247953036
29/02/2016,-0.2103844564962699,33.57566421259756,-32.28233142330819,5152.0,5184.282331423308
07/03/2016,1.1139531683908919,33.582181228166775,170.92995352856116,5153.0,4982.070046471439
14/03/2016,0.7976684723781275,19.53149566093845,122.39781597977142,2997.0,2874.6021840202284
21/03/2016,0.2013649568446121,19.53149566093845,30.898339079594372,2997.0,2966.1016609204057
28/03/2016,-2.184255829659868,12.258506285694102,-335.1619781265687,1881.0,2216.1619781265686
04/04/2016,-1.4787961854162817,12.258506285694102,-226.91309690922307,1881.0,2107.913096909223
11/04/2016,-1.1617468562352946,12.258506285694102,-178.26363062919097,1881.0,2059.263630629191
18/04/2016,-0.866979100945537,4.763938381096432,-133.03314864566443,731.0,864.0331486456644
25/04/2016,0.07713917051784373,4.763938381096432,11.836579136350156,731.0,719.1634208636499
02/05/2016,-1.195198564336155,4.763938381096432,-183.39661024932218,731.0,914.3966102493222
09/05/2016,-0.8914504294049534,4.776972412234863,-136.7881386713155,733.0,869.7881386713154
16/05/2016,-0.06398874525559428,1.3425052072583652,-9.818719101709679,206.0,215.8187191017097
23/05/2016,0.0027851372139073155,1.3425052072583652,0.42736390366528465,206.0,205.57263609633472
30/05/2016,-0.5808057171668924,1.3425052072583652,-89.12142544364372,206.0,295.1214254436437
06/06/2016,-0.44304932263388447,1.3425052072583652,-67.98346849541541,206.0,273.9834684954154
13/06/2016,-0.06374373151293204,1.3425052072583652,-9.781123097824155,206.0,215.78112309782415
20/06/2016,-0.06374373151293204,1.375090285104442,-9.781123097824155,211.0,220.78112309782415
27/06/2016,-0.06435626586958759,0.9449672575362279,-9.875113107537956,145.0,154.87511310753797
04/07/2016,-0.05073890916671701,0.9449672575362279,-7.785605025465032,145.0,152.78560502546503
11/07/2016,-0.12508067540586476,0.9449672575362279,-19.192937944894954,145.0,164.19293794489496
18/07/2016,-0.1112468985223872,0.9449672575362279,-17.070221382911487,145.0,162.07022138291148
25/07/2016,-0.06374373151293206,0.9449672575362279,-9.781123097824157,145.0,154.78112309782415
01/08/2016,-0.06374373151293206,0.9580012886746586,-9.781123097824157,147.0,156.78112309782415
08/08/2016,-0.06398874525559428,0.019551046707646097,-9.818719101709679,3.0,12.818719101709679
15/08/2016,-0.044134994505907583,0.04561910898450756,-6.772270840411901,7.0,13.7722708404119
22/08/2016,-0.2044720916337,0.43664004313742943,-31.37511173052453,67.0,98.37511173052454
29/08/2016,-0.17080192219728402,0.43664004313742943,-26.20861042654348,67.0,93.20861042654349
05/09/2016,-0.001832325633835133,0.4236060119989987,-0.28116023575124605,65.0,65.28116023575124
12/09/2016,-0.020314020488946982,0.4236060119989987,-3.1170741074956103,65.0,68.11707410749561
19/09/2016,-0.06571147904827679,0.4236060119989987,-10.083063075478936,65.0,75.08306307547893
26/09/2016,-0.06518322142230948,0.006517015569215365,-10.002004864038923,1.0,11.002004864038923
03/10/2016,-0.05590329174774106,0.4496740742758602,-8.5780509734875,69.0,77.5780509734875
10/10/2016,-0.135042119894479,0.4496740742758602,-20.721466514884785,69.0,89.72146651488478
17/10/2016,-0.04290399241128878,0.8863141174132897,-6.583380376434229,136.0,142.58338037643423
24/10/2016,-0.02300903497328382,0.892831132982505,-3.530609176687,137.0,140.530609176687
31/10/2016,0.002053304049785487,0.6256334946446751,0.3150681516681877,96.0,95.68493184833181
07/11/2016,-0.009514164056540347,0.6321505102138905,-1.4598958611488837,97.0,98.45989586114888
14/11/2016,-0.10348531790414152,0.5930484167985982,-15.879249758582505,91.0,106.8792497585825
21/11/2016,-0.09153435965951029,0.6451845413523212,-14.045441304742937,99.0,113.04544130474294
28/11/2016,-0.06990728413492642,0.8081099305827053,-10.726886163223192,124.0,134.72688616322318
05/12/2016,-0.06325388288296313,0.6125994635062443,-9.705958534418349,93.99999999999999,103.70595853441833
12/12/2016,-0.029713721543679864,0.5343952766756599,-4.559406253997539,81.99999999999999,86.55940625399752
19/12/2016,-0.07379623821991194,0.44315705870664485,-11.32362466164813,68.0,79.32362466164813
26/12/2016,-0.09542746916702635,0.18899345150724559,-14.6428174297757,29.0,43.642817429775704
02/01/2017,-0.0813771357346965,0.09123821796901511,-12.486871462928566,14.0,26.486871462928566
09/01/2017,-0.11035363474782975,0.09123821796901511,-16.93315499645432,14.0,30.93315499645432
16/01/2017,-0.10657189126087743,0.09123821796901511,-16.35286737142297,14.0,30.35286737142297
23/01/2017,-0.07453990583326277,0.10427224910744584,-11.437736344434914,16.0,27.437736344434914
30/01/2017,-0.06398874525559428,0.5800143856601675,-9.818719101709679,89.0,98.81871910170968
06/02/2017,-0.07071898558475831,0.5800143856601675,-10.851437261990878,89.0,99.85143726199088
13/02/2017,0.009518543436528235,0.5800143856601675,1.4605678527900536,89.0,87.53943214720995
20/02/2017,-0.011202349820655877,0.4301230275682141,-1.718938630985136,66.0,67.71893863098514
27/02/2017,-0.06092607347231654,0.4301230275682141,-9.348769053140671,66.0,75.34876905314067
06/03/2017,-0.08637282816939652,0.4301230275682141,-13.253432840854119,66.0,79.25343284085412
13/03/2017,-0.08029786547077247,0.5018101988295831,-12.321263409293982,77.0,89.32126340929398
20/03/2017,-0.06509130709757426,0.5083272143987985,-9.98790111919452,78.0,87.98790111919452
