Date,Searches,Observed,Pure-LSTM-Prediction,Pure-LSTMError,Naive-Prediction,NaiveError
01/02/2016,0.91,2340.3642469999995,69.19408631126404,-2271.1701606887355,2119.218548,-221.1456989999997
08/02/2016,0.68,2489.784409,69.1943255316925,-2420.5900834683075,2340.3642469999995,-149.42016200000035
15/02/2016,0.59,2208.851344,69.19438134979248,-2139.656962650208,2489.784409,280.9330649999997
22/02/2016,0.62,1856.192742,69.19447703796386,-1786.998264962036,2208.851344,352.6586020000002
29/02/2016,0.71,1504.8005369999996,69.19453285606384,-1435.6060041439357,1856.192742,351.39220500000033
07/03/2016,0.59,1161.0067210000002,69.19448501197814,-1091.8122359880222,1504.8005369999996,343.7938159999994
14/03/2016,0.68,818.479303,69.1942856616211,-749.2850173383789,1161.0067210000002,342.52741800000024
21/03/2016,0.68,575.5206969999999,69.19190143135071,-506.3287955686492,818.479303,242.95860600000003
28/03/2016,0.43,432.130903,69.17473337860108,-362.9561696213989,575.5206969999999,143.38979399999994
04/04/2016,0.44,299.4940727,69.1058059991455,-230.3882667008545,432.130903,132.63683029999999
11/04/2016,0.38,231.3750244,68.59402578849793,-162.78099861150207,299.4940727,68.1190483
18/04/2016,0.34,174.00893979999998,64.40491725540161,-109.60402254459837,231.3750244,57.36608460000002
25/04/2016,0.19,116.64285520000001,48.57194574302673,-68.07090945697328,174.00893979999998,57.366084599999965
02/05/2016,0.18,71.56695769999999,27.283386898670198,-44.28357080132979,116.64285520000001,45.075897500000025
09/05/2016,0.15,38.781247369999996,15.162327008686066,-23.61892036131393,71.56695769999999,32.78571032999999
16/05/2016,0.33,5.995537042,8.031812927999496,2.0362758859994967,38.781247369999996,32.78571032799999
23/05/2016,0.22,-26.790173289999995,4.207165688438415,30.99733897843841,5.995537042,32.785710331999994
30/05/2016,0.12,-59.57588361,2.713938317799568,62.289821927799565,-26.790173289999995,32.78571032000001
06/06/2016,0.08,-56.604656979999994,2.024587274980545,58.62924425498054,-59.57588361,-2.971226630000004
13/06/2016,0.19,-17.876493379999996,2.0867482049417494,19.963241584941745,-56.604656979999994,-38.7281636
20/06/2016,0.32,20.85167022,3.237041877915859,-17.61462834208414,-17.876493379999996,-38.728163599999995
27/06/2016,0.21,59.57983381999999,6.933726372470856,-52.64610744752913,20.85167022,-38.72816359999999
04/07/2016,0.28,98.30799741999999,13.035346413059235,-85.27265100694076,59.57983381999999,-38.7281636
11/07/2016,0.15,137.036161,21.165252674503325,-115.87090832549667,98.30799741999999,-38.72816358
18/07/2016,0.14,115.05305159999997,30.992782719554903,-84.06026888044508,137.036161,21.983109400000018
25/07/2016,0.07,32.35866925,27.213805650043486,-5.144863599956512,115.05305159999997,82.69438234999998
01/08/2016,0.35,-50.335713119999994,15.609208710594178,65.94492183059417,32.35866925,82.69438237
08/08/2016,0.23,-133.0300955,7.559882355351448,140.58997785535144,-50.335713119999994,82.69438238
15/08/2016,0.38,-120.96990449999998,2.433235073533058,123.40313957353304,-133.0300955,-12.060191000000003
22/08/2016,0.2,-14.155140139999999,1.6633087344896793,15.818448874489677,-120.96990449999998,-106.81476435999998
29/08/2016,0.16,32.15514013999999,3.7680175344443323,-28.38712260555566,-14.155140139999999,-46.31028027999999
05/09/2016,0.08,17.96093634,9.869893989429475,-8.091042350570525,32.15514013999999,14.194203799999993
12/09/2016,0.7,3.7667325439999995,12.430702825584412,8.663970281584412,17.96093634,14.194203796
19/09/2016,0.43,-1.5971018989999999,6.555062362747193,8.152164261747192,3.7667325439999995,5.363834442999999
26/09/2016,0.48,1.8694330130000003,4.158410571613312,2.288977558613312,-1.5971018989999999,-3.466534912
03/10/2016,0.53,5.335967924999999,5.347176620807648,0.011208695807648716,1.8694330130000003,-3.4665349119999993
10/10/2016,0.15,5.664032075,7.4264850704240795,1.7624529954240797,5.335967924999999,-0.32806415000000033
17/10/2016,0.6,2.853625463,7.041988069252968,4.1883626062529675,5.664032075,2.8104066119999995
24/10/2016,1.0,3.1463745369999994,6.734385484557151,3.588010947557152,2.853625463,-0.29274907399999917
31/10/2016,0.47,6.5422792969999986,6.809594393763542,0.2673150967635438,3.1463745369999994,-3.395904759999999
07/11/2016,0.54,7.457720703,7.281069949221611,-0.17665075377838857,6.5422792969999986,-0.9154414060000011
14/11/2016,0.15,7.0,9.014276276435853,2.0142762764358526,7.457720703,0.4577207029999997
21/11/2016,0.21,11.0,8.632699757995605,-2.3673002420043954,7.0,-4.0
28/11/2016,0.28,5.999999999999999,6.7746911364984514,0.7746911364984523,11.0,5.000000000000001
05/12/2016,1.0,15.999999999999998,6.088820252537728,-9.91117974746227,5.999999999999999,-10.0
12/12/2016,0.36,22.0,6.302766045985222,-15.697233954014777,15.999999999999998,-6.000000000000002
19/12/2016,0.67,15.999999999999998,8.208406943421364,-7.791593056578634,22.0,6.000000000000002
26/12/2016,0.89,5.999999999999999,9.586365950603485,3.5863659506034855,15.999999999999998,10.0
02/01/2017,0.21,-1.265403139,9.245983189945221,10.511386328945221,5.999999999999999,7.265403138999999
09/01/2017,0.42,-0.088467713,6.615961903324127,6.704429616324127,-1.265403139,-1.176935426
16/01/2017,0.28,1.088467713,6.903993765091896,5.815526052091896,-0.088467713,-1.176935426
23/01/2017,0.22,2.2654031389999996,6.672756321673393,4.407353182673393,1.088467713,-1.1769354259999996
30/01/2017,0.77,3.442338564,5.580510233230591,2.1381716692305908,2.2654031389999996,-1.1769354250000004
06/02/2017,1.0,5.857293771,6.207732242145538,0.35043847114553817,3.442338564,-2.414955207
