Date,Searches,Observed,NN-Prediction,NNError,Naive-Prediction,NaiveError
31/01/2016,0.45,834.0,624.0090883934021,-209.99091160659793,1295.0,461.0
07/02/2016,1.0,572.0,694.2058625462341,122.20586254623413,834.0,262.0
14/02/2016,0.61,453.00000000000006,697.6368300578308,244.63683005783076,572.0,118.99999999999994
21/02/2016,0.41,416.0,601.3399630583191,185.33996305831909,453.00000000000006,37.00000000000006
28/02/2016,0.44,290.0,463.404663944397,173.404663944397,416.0,126.0
06/03/2016,0.12,264.0,358.7354415135193,94.73544151351928,290.0,26.0
13/03/2016,0.58,197.0,298.98101724388124,101.98101724388124,264.0,67.0
20/03/2016,0.26,118.0,237.27734581260682,119.27734581260682,197.0,79.0
27/03/2016,0.2,117.0,173.86543722503663,56.86543722503663,118.0,1.0
03/04/2016,0.2,112.0,137.07489207328797,25.07489207328797,117.0,5.0
10/04/2016,0.53,85.0,113.20951615375519,28.20951615375519,112.0,27.0
17/04/2016,0.2,73.0,94.40763005168915,21.407630051689154,85.0,12.0
24/04/2016,0.42,55.00000000000001,81.93033480924606,26.930334809246055,73.0,17.999999999999993
01/05/2016,0.31,62.0,65.61464906843186,3.6146490684318593,55.00000000000001,-6.999999999999993
08/05/2016,0.0,73.0,59.18842410013199,-13.81157589986801,62.0,-11.0
15/05/2016,0.0,111.0,60.615844512634276,-50.384155487365724,73.0,-38.0
22/05/2016,0.0,-26.0,78.07159215908051,104.07159215908051,111.0,137.0
29/05/2016,0.0,36.0,41.46795255719185,5.46795255719185,-26.0,-62.0
05/06/2016,0.13,28.0,37.80270677877426,9.802706778774258,36.0,8.0
12/06/2016,0.29,25.0,25.86729033112526,0.8672903311252611,28.0,3.0
19/06/2016,0.0,18.0,20.709838384280204,2.7098383842802036,25.0,7.0
26/06/2016,0.0,16.0,21.405332974152564,5.405332974152564,18.0,2.0
03/07/2016,0.02,17.0,17.42775517792702,0.42775517792701834,16.0,-1.0
10/07/2016,0.0,21.0,15.780213798999787,-5.219786201000213,17.0,-4.0
17/07/2016,1.0,20.0,16.616642634820938,-3.3833573651790623,21.0,1.0
24/07/2016,0.42,7.0,16.64404865740776,9.644048657407762,20.0,13.0
31/07/2016,0.14,10.0,12.65694317973137,2.6569431797313694,7.0,-3.0
07/08/2016,0.0,7.0,10.190734980576039,3.190734980576039,10.0,3.0
14/08/2016,0.0,6.000000000000001,7.358566623373032,1.3585666233730311,7.0,0.9999999999999991
21/08/2016,1.0,6.000000000000001,5.925053918678761,-0.07494608132124014,6.000000000000001,0.0
28/08/2016,0.83,4.0,4.8948460012125965,0.8948460012125965,6.000000000000001,2.000000000000001
04/09/2016,0.0,10.0,3.8370276310634615,-6.162972368936538,4.0,-6.0
11/09/2016,1.0,30.000000000000004,5.521189185715913,-24.47881081428409,10.0,-20.000000000000004
18/09/2016,0.0,31.0,13.634145195364953,-17.36585480463505,30.000000000000004,-0.9999999999999964
25/09/2016,0.0,25.0,21.229989770269395,-3.7700102297306053,31.0,6.0
02/10/2016,0.0,1.0,23.311261604909898,22.311261604909898,25.0,24.0
09/10/2016,0.0,3.0000000000000004,14.975648525505067,11.975648525505067,1.0,-2.0000000000000004
16/10/2016,0.0,1.0,8.611742385640145,7.611742385640145,3.0000000000000004,2.0000000000000004
23/10/2016,0.0,36.0,3.0364126078104974,-32.9635873921895,1.0,-35.0
30/10/2016,0.0,7.0,14.227355905480385,7.227355905480385,36.0,29.0
06/11/2016,1.0,4.0,11.81621511703968,7.816215117039681,7.0,3.0
13/11/2016,1.0,9.0,9.552436765348912,0.5524367653489115,4.0,-5.0
20/11/2016,0.0,4.0,7.79081995118618,3.7908199511861804,9.0,5.0
27/11/2016,0.99,11.0,4.192361898170709,-6.807638101829291,4.0,-7.0
04/12/2016,0.0,9.0,5.416441820052862,-3.583558179947138,11.0,2.0
11/12/2016,0.0,31.0,7.036189998180866,-23.963810001819134,9.0,-22.0
18/12/2016,0.0,8.0,15.648790714898109,7.648790714898109,31.0,23.0
25/12/2016,0.18,26.0,12.977515726532936,-13.022484273467064,8.0,-18.0
01/01/2017,1.0,4.0,18.4203204250288,14.420320425028802,26.0,22.0
08/01/2017,0.03,3.0000000000000004,11.295943275606632,8.295943275606632,4.0,0.9999999999999996
15/01/2017,0.0,2.0,7.485671896049976,5.485671896049976,3.0000000000000004,1.0000000000000004
22/01/2017,0.0,1.0,3.5577348207139967,2.5577348207139967,2.0,1.0
29/01/2017,0.0,4.0,1.1737341924875975,-2.8262658075124025,1.0,-3.0
05/02/2017,0.0,3.0000000000000004,1.9255695791953802,-1.0744304208046203,4.0,0.9999999999999996
12/02/2017,0.51,3.0000000000000004,1.9869254523962736,-1.0130745476037268,3.0000000000000004,0.0
19/02/2017,0.0,1.0,1.8946598519051074,0.8946598519051074,3.0000000000000004,2.0000000000000004
26/02/2017,0.0,0.0,1.6180046716177463,1.6180046716177463,1.0,1.0
05/03/2017,0.0,0.0,0.5291414920020103,0.5291414920020103,0.0,0.0
12/03/2017,0.0,2.0,0.21665004281014205,-1.783349957189858,0.0,-2.0
19/03/2017,0.0,1.0,0.4430947479584813,-0.5569052520415188,2.0,1.0
26/03/2017,0.0,0.0,0.4331443539392948,0.4331443539392948,1.0,1.0
02/04/2017,0.0,0.0,0.29624579555779695,0.29624579555779695,0.0,0.0
09/04/2017,0.0,2.0,0.21665004281014205,-1.783349957189858,0.0,-2.0
16/04/2017,0.69,1.0,0.4430947479584813,-0.5569052520415188,2.0,1.0
23/04/2017,0.0,0.0,0.21665004281014205,0.21665004281014205,1.0,1.0
