CITY,2016-01-02,2016-01-09,2016-01-16,2016-01-23,2016-01-30,2016-02-06,2016-02-13,2016-02-20,2016-02-27,2016-03-05,2016-03-12,2016-03-19,2016-03-26,2016-04-02,2016-04-09,2016-04-16,2016-04-23,2016-04-30,2016-05-07,2016-05-14,2016-05-21,2016-05-28,2016-06-04,2016-06-11,2016-06-18,2016-06-25,2016-07-02,2016-07-09,2016-07-16,2016-07-23,2016-07-30,2016-08-06,2016-08-13,2016-08-20,2016-08-27,2016-09-03,2016-09-10,2016-09-17,2016-09-24,2016-10-01,2016-10-08,2016-10-15,2016-10-22,2016-10-29,2016-11-05,2016-11-12,2016-11-19,2016-11-26,2016-12-03,2016-12-10,2016-12-17,2016-12-24,2016-12-31
Mexico-Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
Mexico-Baja_California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Baja_California_Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,7,1,1,0,1,1,5,2,1,0
Mexico-Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,5,0,1,0,0,0,0,4,2,2,5,12,2,4,8,15,12,3,3,0,0,0,0,0,0,0,0
Mexico-Chiapas,9,0,3,11,11,10,9,3,15,3,7,6,14,10,11,1,5,3,0,1,0,10,7,0,59,43,45,55,45,46,21,20,16,15,29,3,2,12,1,47,105,3,4,1,46,0,0,0,0,1,0,0,0
Mexico-Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Coahuila_de_Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,33,1,0,3,3,17,2,0,0
Mexico-Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,6,10,8,5,6,2,2,8,13,29,12,13,14,11,25,13,25,23,18,11,7,3,3,3,0,1,1
Mexico-Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Guerrero,0,0,0,0,1,1,1,2,2,0,2,0,0,2,2,1,1,1,7,2,1,12,0,5,60,36,33,55,71,51,73,33,105,54,35,19,5,23,10,44,15,1,2,1,9,5,2,5,3,2,3,0,3
Mexico-Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,9,18,5,14,18,28,21,17,12,10,6,9,6,2,1,1,0,1
Mexico-Jalisco,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,2,0,0,3,1,0,0,0,1,1,1,5,3,4,4,16,7,4,2,3,5,3,5,2,3,1,0
Mexico-Mexico_City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Michoacan_de_Ocampo,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,2,0,1,1,0,1,5,0,3,1,2,2,6,20,0,3,1,1,0,1,0,0,2,1,0,0,0,1
Mexico-Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,5,9,24,16,9,2,41,3,37,0,12,18,19,13,11,6,10,6,15
Mexico-Nayarit,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,7,2,3,2,3,6,0,4,0,0,5,0,0,0,1,0
Mexico-Nuevo_Leon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,4,7,23,56,29,48,143,45,53,10,27,2,1,303,22,2,2
Mexico-Oaxaca,0,0,0,4,17,4,2,25,4,3,0,16,4,6,3,9,3,3,5,16,2,4,1,44,10,11,8,1,40,11,12,5,28,54,1,73,3,2,0,47,2,0,0,0,3,0,0,0,0,2,0,0,0
Mexico-Puebla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,13,0,10,20,1,26,0,0,0,0,0,2,0,6,0
Mexico-Queretaro_de_Arteaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Quintana_Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,6,3,6,16,17,52,22,30,40,36,14,41,24,10,10,8,5,3,9,3,4,0
