CITY,2016-01-02,2016-01-09,2016-01-16,2016-01-23,2016-01-30,2016-02-06,2016-02-13,2016-02-20,2016-02-27,2016-03-05,2016-03-12,2016-03-19,2016-03-26,2016-04-02,2016-04-09,2016-04-16,2016-04-23,2016-04-30,2016-05-07,2016-05-14,2016-05-21,2016-05-28,2016-06-04,2016-06-11,2016-06-18,2016-06-25,2016-07-02,2016-07-09,2016-07-16,2016-07-23,2016-07-30,2016-08-06,2016-08-13,2016-08-20,2016-08-27,2016-09-03,2016-09-10,2016-09-17,2016-09-24,2016-10-01,2016-10-08,2016-10-15,2016-10-22,2016-10-29,2016-11-05,2016-11-12,2016-11-19,2016-11-26,2016-12-03,2016-12-10,2016-12-17,2016-12-24,2016-12-31
Mexico-San_Luis_Potosi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,3,1,0,10,0,0,0,5,2,0,0,2,1,2
Mexico-Sinaloa,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,15,4,6,12,4,3,1
Mexico-Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,4,0,4,4,1,1,3,0,0
Mexico-State_Of_Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Tabasco,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,2,0,1,3,1,4,5,6,10,2,2,4,6,8,4,3,13,22,28,15,11,35,17,21,24,23,0,0,7,4,7,6,1,4,2
Mexico-Tamaulipas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,2,0,1,0,29,3,0,0,2,0,0,18,0,0,27,0,1
Mexico-Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,2,1,0,0,0,3,1,1,9,15,18,43,74,42,91,85,114,173,36,97,195,102,103,182,123,61,135,28,11,9,8,16,1,2,70
Mexico-Yucatan,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,0,2,1,5,11,7,8,8,12,19,30,1,168,101,73,0,188,8,32,75,0,2,15,26,8,16,1
Mexico-Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
