Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
22/02/2016,0.71,5152.0,4728.944282595215,748.2002731921864,3544.1517211523246,4735.7298852352715,3955,3955,3955,1424,-423.05571740478536,-4403.799726807813,-1607.8482788476754,-416.27011476472853
29/02/2016,0.79,5152.0,4841.04003829773,-1107.5833200683785,4257.662887348003,6810.619665826149,5152,3955,3955,3955,-310.95996170227045,-6259.583320068378,-894.3371126519969,1658.6196658261488
07/03/2016,0.84,5153.0,5471.880701731644,-4838.107463855057,5860.562128193207,10226.436134459535,5152,5152,3955,3955,318.88070173164397,-9991.107463855056,707.5621281932072,5073.4361344595345
14/03/2016,0.71,2997.0,5944.7410629587175,-4675.838637365932,10304.267011374588,13565.950059884415,5153,5152,5152,3955,2947.7410629587175,-7672.838637365932,7307.267011374588,10568.950059884415
21/03/2016,0.88,2997.0,7246.453494329528,-5961.205624620095,11135.53538237648,17450.097496324233,2997,5153,5152,5152,4249.453494329528,-8958.205624620095,8138.53538237648,14453.097496324233
28/03/2016,0.65,1881.0,5688.357961923103,-8383.615134846992,11726.229628499985,19577.868149971542,2997,2997,5153,5152,3807.357961923103,-10264.615134846992,9845.229628499985,17696.868149971542
04/04/2016,0.74,1881.0,4939.031340153809,-9221.686376142845,12679.716697801514,21641.090557293242,1881,2997,2997,5153,3058.0313401538087,-11102.686376142845,10798.716697801514,19760.090557293242
11/04/2016,0.54,1881.0,3053.3376826187323,-6295.283217372132,10082.331416516876,21408.07673810379,1881,1881,2997,2997,1172.3376826187323,-8176.283217372132,8201.331416516876,19527.07673810379
18/04/2016,0.61,731.0,2303.6529765350056,-3838.7024834297945,7151.882358634834,16036.595444267577,1881,1881,1881,2997,1572.6529765350056,-4569.7024834297945,6420.882358634834,15305.595444267577
25/04/2016,0.42,731.0,2098.288183310995,-2598.011014234581,5929.240563194961,9273.455973235321,731,1881,1881,1881,1367.288183310995,-3329.011014234581,5198.240563194961,8542.455973235321
02/05/2016,0.35,731.0,2008.322243110857,-1690.5390231940078,4947.6060473415755,8916.07875459694,731,731,1881,1881,1277.322243110857,-2421.5390231940078,4216.6060473415755,8185.07875459694
09/05/2016,0.35,733.0,1244.888240774126,-1216.9752245744228,3581.247031819534,7097.578221155777,731,731,731,1881,511.88824077412596,-1949.9752245744228,2848.247031819534,6364.578221155777
16/05/2016,0.74,206.0,447.17183590794326,-396.5926094144654,2322.600129285202,5719.144140129166,733,731,731,731,241.17183590794326,-602.5926094144654,2116.600129285202,5513.144140129166
23/05/2016,0.38,206.0,767.1792540332651,1136.3377685557748,957.2516373566675,3939.8236207239916,206,733,731,731,561.1792540332651,930.3377685557748,751.2516373566675,3733.8236207239916
30/05/2016,0.46,206.0,489.6576178982019,675.7583676556683,766.3446995399237,1763.865969161129,206,206,733,731,283.6576178982019,469.7583676556683,560.3446995399237,1557.865969161129
06/06/2016,0.29,206.0,7.97786131707523,796.62528669312,452.3318279521894,1003.0944780867338,206,206,206,733,-198.02213868292478,590.62528669312,246.33182795218943,797.0944780867338
13/06/2016,0.27,206.0,345.4705493433881,838.046510503397,85.3144842217648,580.6404107260108,206,206,206,206,139.4705493433881,632.046510503397,-120.6855157782352,374.6404107260108
20/06/2016,0.22,211.0,642.3848949169874,1174.578305150547,-218.82615500656723,71.33126979278207,206,206,206,206,431.3848949169874,963.5783051505471,-429.8261550065672,-139.66873020721795
27/06/2016,0.32,145.0,597.1404954635334,1346.667158613224,584.2272536483836,-387.5979543471146,211,206,206,206,452.1404954635334,1201.667158613224,439.22725364838357,-532.5979543471146
04/07/2016,0.43,145.0,811.5087605019093,1392.9762259986974,831.333490544157,159.87857344787597,145,211,206,206,666.5087605019093,1247.9762259986974,686.333490544157,14.878573447875965
11/07/2016,0.44,145.0,703.1059413580417,1224.1540321809196,803.673928383112,327.7138403602147,145,145,211,206,558.1059413580417,1079.1540321809196,658.673928383112,182.7138403602147
18/07/2016,0.5,145.0,611.6614948763895,1085.5128438342906,706.2305818663835,338.58770639808415,145,145,145,211,466.6614948763895,940.5128438342906,561.2305818663835,193.58770639808415
25/07/2016,0.42,145.0,672.043261185441,1002.384528739996,541.059874921081,293.02844664097665,145,145,145,145,527.043261185441,857.384528739996,396.059874921081,148.02844664097665
01/08/2016,0.54,147.0,591.9513825453305,1106.3004650857592,652.8024119828272,334.63535260674,145,145,145,145,444.9513825453305,959.3004650857592,505.80241198282715,187.63535260674
08/08/2016,0.29,2.9999999999999996,555.6303725028611,1060.8239766569518,774.0346589691877,416.128837934072,147,145,145,145,552.6303725028611,1057.8239766569518,771.0346589691877,413.128837934072
15/08/2016,0.43,7.0,796.7289657845688,1058.8681221802283,747.7707037173128,468.0831477057028,3,147,145,145,789.7289657845688,1051.8681221802283,740.7707037173128,461.0831477057028
22/08/2016,0.21,67.0,329.54878467559814,688.9837808495522,723.185661967473,458.0433605690122,7,3,147,145,262.54878467559814,621.9837808495522,656.185661967473,391.0433605690122
29/08/2016,0.26,67.0,37.583526600634904,201.5752199963224,399.1883914379859,392.8566500571084,67,7,3,147,-29.416473399365096,134.5752199963224,332.1883914379859,325.8566500571084
05/09/2016,0.45,65.0,68.67978403721601,26.805140262410788,0.5413193424567952,48.724682293393016,67,67,7,3,3.6797840372160096,-38.19485973758921,-64.4586806575432,-16.275317706606984
12/09/2016,0.79,65.0,93.7295662169546,53.391933419166804,37.15700731780425,-70.8161668966639,65,67,67,7,28.729566216954595,-11.608066580833196,-27.84299268219575,-135.8161668966639
19/09/2016,0.4,65.0,156.7858341984415,69.22987496829688,83.09074331344843,81.42583234220088,65,65,67,67,91.7858341984415,4.229874968296883,18.090743313448428,16.425832342200877
