Date,Observed,Predicted,error
02/01/2017,-24.05682707,29.0,53.05682707
09/01/2017,1.6477243080000001,-24.05682707,-25.704551378
16/01/2017,27.35227569,1.6477243080000001,-25.704551382
23/01/2017,53.05682707,27.35227569,-25.704551379999998
30/01/2017,78.76137846,53.05682707,-25.704551390000006
06/02/2017,99.31061989,78.76137846,-20.549241429999995
13/02/2017,88.92800165,99.31061989,10.38261824
20/02/2017,73.39007346,88.92800165,15.537928190000002
27/02/2017,60.56809684,73.39007346,12.821976619999994
06/03/2017,64.04182970000001,60.56809684,-3.4737328600000055
13/03/2017,70.23151413,64.04182970000001,-6.189684429999986
20/03/2017,84.76848587,70.23151413,-14.536971740000013
27/03/2017,107.6527449,84.76848587,-22.884259029999996
03/04/2017,123.1357804,107.6527449,-15.4830355
10/04/2017,94.21147471,123.1357804,28.924305689999997
17/04/2017,57.88594549,94.21147471,36.32552922000001
24/04/2017,21.56041628,57.88594549,36.32552921
01/05/2017,8.837235392,21.56041628,12.723180887999998
08/05/2017,19.71640284,8.837235392,-10.879167448
15/05/2017,30.59557028,19.71640284,-10.87916744
22/05/2017,41.47473772,30.59557028,-10.87916744
29/05/2017,52.35390516,41.47473772,-10.879167439999996
05/06/2017,52.59296891,52.35390516,-0.2390637500000068
12/06/2017,42.19192895,52.59296891,10.401039960000006
19/06/2017,31.79088898,42.19192895,10.40103997
26/06/2017,21.38984902,31.79088898,10.401039959999999
03/07/2017,10.98880906,21.38984902,10.40103996
10/07/2017,0.587769103,10.98880906,10.401039957
17/07/2017,15.92856306,0.587769103,-15.340793957
24/07/2017,57.01119094,15.92856306,-41.08262788
31/07/2017,98.09381881,57.01119094,-41.08262787
07/08/2017,139.17644669999999,98.09381881,-41.08262788999998
14/08/2017,118.8235533,139.17644669999999,20.352893399999985
21/08/2017,37.03513868,118.8235533,81.78841462
28/08/2017,6.964861318,37.03513868,30.070277362000002
04/09/2017,28.61272122,6.964861318,-21.647859902
11/09/2017,50.26058112,28.61272122,-21.647859899999997
18/09/2017,48.82392995,50.26058112,1.4366511699999975
25/09/2017,24.3027677,48.82392995,24.52116225
02/10/2017,4.0,24.3027677,20.3027677
09/10/2017,9.007599554,4.0,-5.0075995540000005
16/10/2017,16.71128466,9.007599554,-7.703685106
23/10/2017,15.28111579,16.71128466,1.430168870000001
30/10/2017,12.32863793,15.28111579,2.95247786
06/11/2017,5.671362072999999,12.32863793,6.657275857
13/11/2017,1.0,5.671362072999999,4.671362072999999
20/11/2017,24.0,1.0,-23.0
27/11/2017,19.0,24.0,5.0
04/12/2017,30.0,19.0,-11.0
11/12/2017,1.0,30.0,29.0
18/12/2017,3.0,1.0,-2.0
25/12/2017,56.0,3.0,-53.0
