Week,Searches,Cases
25/01/2016,41,0
01/02/2016,47,143
08/02/2016,47,143
15/02/2016,78,144
22/02/2016,68,261
29/02/2016,76,261
07/03/2016,87,263
14/03/2016,87,332
21/03/2016,87,332
28/03/2016,89,347
04/04/2016,100,347
11/04/2016,100,347
18/04/2016,100,228
25/04/2016,100,228
02/05/2016,92,228
09/05/2016,68,229
16/05/2016,85,73
23/05/2016,76,73
30/05/2016,68,73
06/06/2016,69,73
13/06/2016,40,73
20/06/2016,68,78
27/06/2016,45,-15
04/07/2016,36,-15
11/07/2016,67,-15
18/07/2016,26,-15
25/07/2016,43,-15
01/08/2016,22,-15
08/08/2016,30,66
15/08/2016,27,133
22/08/2016,34,5
29/08/2016,6,5
05/09/2016,16,4
12/09/2016,22,4
19/09/2016,15,4
26/09/2016,15,0
03/10/2016,27,11
10/10/2016,34,11
17/10/2016,12,10
24/10/2016,47,10
31/10/2016,50,6
07/11/2016,46,6
14/11/2016,42,11
21/11/2016,79,1
28/11/2016,11,3
05/12/2016,76,6
12/12/2016,0,2
19/12/2016,17,8
26/12/2016,46,3
