Week,Searches,Cases
25/01/2016,40,0
01/02/2016,59,219
08/02/2016,60,219
15/02/2016,55,220
22/02/2016,50,357
29/02/2016,45,357
07/03/2016,45,357
14/03/2016,45,356
21/03/2016,35,356
28/03/2016,41,403
04/04/2016,29,403
11/04/2016,33,404
18/04/2016,27,225
25/04/2016,19,225
02/05/2016,27,225
09/05/2016,28,227
16/05/2016,27,-2
23/05/2016,21,-2
30/05/2016,20,-2
06/06/2016,17,-2
13/06/2016,21,-2
20/06/2016,17,3
27/06/2016,27,53
04/07/2016,19,53
11/07/2016,23,53
18/07/2016,11,53
25/07/2016,19,53
01/08/2016,33,53
08/08/2016,22,-61
15/08/2016,25,-120
22/08/2016,19,10
29/08/2016,10,11
05/09/2016,18,9
12/09/2016,20,9
19/09/2016,12,9
26/09/2016,16,1
03/10/2016,12,5
10/10/2016,14,6
17/10/2016,37,16
24/10/2016,14,16
31/10/2016,20,12
07/11/2016,26,12
14/11/2016,27,14
21/11/2016,29,17
28/11/2016,31,19
05/12/2016,29,10
12/12/2016,30,19
19/12/2016,24,16
26/12/2016,20,3
