Week,Searches,Cases
25/01/2016,38,0
01/02/2016,47,110
08/02/2016,50,110
15/02/2016,57,112
22/02/2016,75,348
29/02/2016,78,348
07/03/2016,83,350
14/03/2016,85,360
21/03/2016,69,360
28/03/2016,92,377
04/04/2016,63,377
11/04/2016,79,379
18/04/2016,75,329
25/04/2016,85,329
02/05/2016,100,329
09/05/2016,100,329
16/05/2016,100,233
23/05/2016,89,233
30/05/2016,100,233
06/06/2016,100,233
13/06/2016,100,233
20/06/2016,100,238
27/06/2016,80,48
04/07/2016,100,48
11/07/2016,93,48
18/07/2016,45,48
25/07/2016,92,48
01/08/2016,81,48
08/08/2016,37,114
15/08/2016,100,230
22/08/2016,31,19
29/08/2016,10,19
05/09/2016,28,9
12/09/2016,57,9
19/09/2016,37,9
26/09/2016,100,0
03/10/2016,27,10
10/10/2016,28,11
17/10/2016,45,13
24/10/2016,17,13
31/10/2016,49,3
07/11/2016,35,4
14/11/2016,54,2
21/11/2016,100,8
28/11/2016,43,5
05/12/2016,28,5
12/12/2016,66,7
19/12/2016,34,1
26/12/2016,0,1
