Week,Searches,Cases
25/01/2016,69,0
01/02/2016,90,4297
08/02/2016,100,4297
15/02/2016,83,4298
22/02/2016,85,4012
29/02/2016,70,4012
07/03/2016,85,4012
14/03/2016,92,3539
21/03/2016,76,3540
28/03/2016,83,3260
04/04/2016,58,3260
11/04/2016,83,3262
18/04/2016,65,1879
25/04/2016,60,1879
02/05/2016,71,1879
09/05/2016,72,1881
16/05/2016,70,979
23/05/2016,50,979
30/05/2016,50,979
06/06/2016,40,979
13/06/2016,35,979
20/06/2016,41,979
27/06/2016,57,-464
04/07/2016,35,-464
11/07/2016,51,-464
18/07/2016,22,-464
25/07/2016,41,-464
01/08/2016,44,-464
08/08/2016,34,1303
15/08/2016,45,2606
22/08/2016,18,76
29/08/2016,9,76
05/09/2016,28,66
12/09/2016,35,66
19/09/2016,20,66
26/09/2016,22,0
03/10/2016,12,33
10/10/2016,13,34
17/10/2016,54,102
24/10/2016,14,103
31/10/2016,15,63
07/11/2016,35,64
14/11/2016,27,79
21/11/2016,42,65
28/11/2016,30,62
05/12/2016,56,64
12/12/2016,45,60
19/12/2016,28,41
26/12/2016,44,22
