Date,Searches,Observed,LSTM-Prediction,error,Naive-Prediction,NaiveError
30/01/2016,0.75,1.0,4.802147940839529,-3.8021479408395287,0.0,-1.0
06/02/2016,1.0,1.0,5.85426902418077,-4.85426902418077,0.0,-1.0
13/02/2016,0.97,1.0,6.635889393074512,-5.635889393074512,0.0,-1.0
20/02/2016,0.29,2.0,6.182290943502635,-4.182290943502635,0.0,-2.0
27/02/2016,0.48,2.0,3.3098314020088315,-1.3098314020088315,1.0,-1.0
05/03/2016,0.46,0.0,3.902581276670024,-3.902581276670024,1.0,1.0
12/03/2016,0.82,2.0,5.513837081151605,-3.513837081151605,1.0,-1.0
19/03/2016,0.27,0.0,6.9977523324553665,-6.9977523324553665,2.0,2.0
26/03/2016,0.38,0.0,4.78278607151553,-4.78278607151553,2.0,2.0
02/04/2016,0.18,2.0,4.106730404943303,-2.1067304049433027,0.0,-2.0
09/04/2016,0.33,2.0,4.401496767120883,-2.401496767120883,2.0,0.0
16/04/2016,0.23,1.0,3.994889613885507,-2.994889613885507,0.0,-1.0
23/04/2016,0.07,1.0,4.3963744931126385,-3.3963744931126385,0.0,-1.0
30/04/2016,0.31,1.0,4.084548099617437,-3.084548099617437,2.0,1.0
07/05/2016,0.3,6.999999999999999,4.150660656867847,2.8493393431321525,2.0,-4.999999999999999
14/05/2016,0.25,2.0,4.602331869929582,-2.602331869929582,1.0,-1.0
21/05/2016,0.72,1.0,4.08212411467202,-3.0821241146720197,1.0,0.0
28/05/2016,0.6,12.0,9.084616464582384,2.9153835354176163,1.0,-11.0
04/06/2016,0.42,0.0,4.818727281832397,-4.818727281832397,6.999999999999999,6.999999999999999
11/06/2016,0.72,5.0,4.499084010734111,0.5009159892658888,2.0,-3.0
18/06/2016,0.69,60.0,10.461997998731434,49.538002001268566,1.0,-59.0
25/06/2016,0.9,36.0,5.079082955899089,30.92091704410091,12.0,-24.0
02/07/2016,1.0,33.0,1.8044122347367555,31.195587765263245,0.0,-33.0
09/07/2016,1.0,55.0,45.38896015429497,9.61103984570503,5.0,-50.0
16/07/2016,0.85,70.99999999999999,32.55962074714482,38.440379252855166,60.0,-10.999999999999986
23/07/2016,1.0,51.0,40.35926088995218,10.640739110047818,36.0,-15.0
30/07/2016,0.97,73.0,40.199311579262016,32.800688420737984,33.0,-40.0
