Date,Searches,Observed,Predicted,error,NaivePredictions,NaiveError
30/01/2016,0.67,0.0,19.113623652181627,-19.113623652181627,3.0,3.0
06/02/2016,0.3,0.0,50.9333710157013,-50.9333710157013,0.0,0.0
13/02/2016,0.32,0.0,22.608934730353354,-22.608934730353354,0.0,0.0
20/02/2016,0.15,0.0,30.311202111749648,-30.311202111749648,0.0,0.0
27/02/2016,0.12,0.0,28.934745503082276,-28.934745503082276,0.0,0.0
05/03/2016,0.15,0.0,23.94446360261917,-23.94446360261917,0.0,0.0
12/03/2016,0.28,0.0,18.952710897388457,-18.952710897388457,0.0,0.0
19/03/2016,0.1,0.0,23.595666218881608,-23.595666218881608,0.0,0.0
26/03/2016,0.11,0.0,35.46800230301857,-35.46800230301857,0.0,0.0
02/04/2016,0.12,0.0,25.33402318985939,-25.33402318985939,0.0,0.0
09/04/2016,0.23,0.0,16.720882143836022,-16.720882143836022,0.0,0.0
16/04/2016,0.08,0.0,25.543614394974707,-25.543614394974707,0.0,0.0
23/04/2016,0.2,0.0,37.445645783252715,-37.445645783252715,0.0,0.0
30/04/2016,0.13,0.0,21.21876179921627,-21.21876179921627,0.0,0.0
07/05/2016,0.08,0.0,23.085835547595025,-23.085835547595025,0.0,0.0
14/05/2016,0.15,1.0,38.57717678056717,-37.57717678056717,0.0,-1.0
21/05/2016,0.09,0.0,15.384996250495911,-15.384996250495911,0.0,0.0
28/05/2016,0.14,0.0,29.00423339969635,-29.00423339969635,0.0,0.0
04/06/2016,0.08,0.0,28.31623548075676,-28.31623548075676,0.0,0.0
11/06/2016,0.1,0.0,25.65096941143036,-25.65096941143036,1.0,1.0
18/06/2016,0.04,0.0,27.344814703683852,-27.344814703683852,0.0,0.0
25/06/2016,0.02,0.0,25.746327604351045,-25.746327604351045,0.0,0.0
02/07/2016,0.04,0.0,26.050970330438613,-26.050970330438613,0.0,0.0
09/07/2016,0.01,0.0,13.105363290534019,-13.105363290534019,0.0,0.0
16/07/2016,0.04,0.0,24.181472195363046,-24.181472195363046,0.0,0.0
23/07/2016,0.02,1.0,22.034512233510018,-21.034512233510018,0.0,-1.0
30/07/2016,0.09,1.0,21.569478552660943,-20.569478552660943,0.0,-1.0
06/08/2016,0.05,0.0,20.15301880063057,-20.15301880063057,0.0,0.0
13/08/2016,0.02,1.0,27.53182661444664,-26.53182661444664,0.0,-1.0
20/08/2016,0.07,0.0,31.298347073402404,-31.298347073402404,1.0,1.0
27/08/2016,0.05,0.0,11.174019645857811,-11.174019645857811,1.0,1.0
03/09/2016,0.06,0.0,22.620392970814706,-22.620392970814706,0.0,0.0
10/09/2016,0.04,4.0,28.71881488530159,-24.71881488530159,1.0,-3.0
17/09/2016,0.1,7.000000000000001,19.600995561871528,-12.600995561871528,0.0,-7.000000000000001
24/09/2016,0.11,23.0,13.180539112639428,9.819460887360572,0.0,-23.0
01/10/2016,0.34,56.00000000000001,20.743067835264206,35.2569321647358,0.0,-56.00000000000001
08/10/2016,0.57,28.999999999999996,2.0921492168605327,26.907850783139462,4.0,-24.999999999999996
15/10/2016,0.6,48.0,3.849763965615034,44.15023603438497,7.000000000000001,-41.0
22/10/2016,0.95,143.0,34.511228544378284,108.48877145562172,23.0,-120.0
29/10/2016,1.0,45.0,219.67429804527282,-174.67429804527282,56.00000000000001,11.000000000000007
05/11/2016,0.96,53.0,73.89465350603103,-20.894653506031034,28.999999999999996,-24.000000000000004
12/11/2016,0.77,10.0,133.26260163002013,-123.26260163002013,48.0,38.0
19/11/2016,0.6,27.0,30.099177365550993,-3.099177365550993,143.0,116.0
26/11/2016,0.5,2.0,67.161754793396,-65.161754793396,45.0,43.0
03/12/2016,0.38,1.0,15.875964308357238,-14.875964308357238,53.0,52.0
10/12/2016,0.42,303.0,34.373702195682526,268.62629780431746,10.0,-293.0
17/12/2016,0.17,22.0,485.1941055484009,-463.1941055484009,27.0,5.0
24/12/2016,0.32,2.0,91.63518326086044,-89.63518326086044,2.0,0.0
31/12/2016,0.29,2.0,43.77113767818451,-41.77113767818451,1.0,-1.0
07/01/2017,0.02,0.0,29.60738236144066,-29.60738236144066,303.0,303.0
14/01/2017,0.14,2.0,26.334774621343612,-24.334774621343612,22.0,20.0
21/01/2017,0.28,3.0,6.499138401374817,-3.4991384013748172,2.0,-1.0
28/01/2017,0.19,1.0,10.154964018526078,-9.154964018526078,2.0,1.0
04/02/2017,0.33,0.0,47.564208909511564,-47.564208909511564,0.0,0.0
11/02/2017,0.13,0.0,30.89019569892883,-30.89019569892883,2.0,2.0
18/02/2017,0.48,0.0,21.052087883839608,-21.052087883839608,3.0,3.0
25/02/2017,0.18,0.0,27.6174597974205,-27.6174597974205,1.0,1.0
04/03/2017,0.2,0.0,17.018976432099343,-17.018976432099343,0.0,0.0
11/03/2017,0.31,0.0,31.843014762592315,-31.843014762592315,0.0,0.0
18/03/2017,0.14,0.0,25.082901584563256,-25.082901584563256,0.0,0.0
25/03/2017,0.12,0.0,29.381882358283995,-29.381882358283995,0.0,0.0
01/04/2017,0.34,0.0,25.815989434309007,-25.815989434309007,0.0,0.0
08/04/2017,0.22,0.0,17.529533351383208,-17.529533351383208,0.0,0.0
15/04/2017,0.05,0.0,26.646389938497542,-26.646389938497542,0.0,0.0
22/04/2017,0.2,0.0,46.426520061531065,-46.426520061531065,0.0,0.0
29/04/2017,0.15,0.0,10.177389214038849,-10.177389214038849,0.0,0.0
06/05/2017,0.3,0.0,20.14948063024044,-20.14948063024044,0.0,0.0
13/05/2017,0.3,0.0,39.22210331092835,-39.22210331092835,0.0,0.0
20/05/2017,0.2,0.0,26.300729457874297,-26.300729457874297,0.0,0.0
27/05/2017,0.12,0.0,31.535250390701293,-31.535250390701293,0.0,0.0
03/06/2017,0.16,0.0,27.613193853302,-27.613193853302,0.0,0.0
10/06/2017,0.07,0.0,19.246842862019538,-19.246842862019538,0.0,0.0
17/06/2017,0.15,0.0,26.99596544508934,-26.99596544508934,0.0,0.0
24/06/2017,0.03,1.0,20.20939456428528,-19.20939456428528,0.0,-1.0
01/07/2017,0.11,1.0,29.142965075950624,-28.142965075950624,0.0,-1.0
08/07/2017,0.22,0.0,20.917487887368203,-20.917487887368203,0.0,0.0
15/07/2017,0.1,0.0,12.335943206419945,-12.335943206419945,0.0,0.0
22/07/2017,0.2,0.0,44.68362251483917,-44.68362251483917,1.0,1.0
29/07/2017,0.09,2.0,24.208293022136687,-22.208293022136687,1.0,-1.0
05/08/2017,0.27,3.0,24.657265331835745,-21.657265331835745,0.0,-3.0
12/08/2017,0.09,2.0,23.018399759292603,-21.018399759292603,0.0,-2.0
19/08/2017,0.33,8.0,28.487343170671462,-20.487343170671462,0.0,-8.0
26/08/2017,0.29,2.0,19.001689916734694,-17.001689916734694,2.0,0.0
02/09/2017,0.16,7.000000000000001,20.099102515487672,-13.099102515487672,3.0,-4.000000000000001
09/09/2017,0.16,7.000000000000001,21.530444248538018,-14.530444248538018,2.0,-5.000000000000001
16/09/2017,0.1,10.0,14.827089792666435,-4.827089792666435,8.0,-2.0
23/09/2017,0.13,1.0,22.005143435821534,-21.005143435821534,2.0,1.0
30/09/2017,0.05,7.000000000000001,16.622934785261155,-9.622934785261155,7.000000000000001,0.0
07/10/2017,0.21,1.0,14.24007391143322,-13.24007391143322,7.000000000000001,6.000000000000001
14/10/2017,0.05,4.0,10.702178152899743,-6.702178152899743,10.0,6.0
21/10/2017,0.06,5.0,22.038364704504012,-17.038364704504012,1.0,-4.0
28/10/2017,0.07,13.0,15.513121044235229,-2.5131210442352288,7.000000000000001,-5.999999999999999
04/11/2017,0.1,5.0,7.727229867706299,-2.727229867706299,1.0,-4.0
11/11/2017,0.07,1.0,13.607835360789299,-12.607835360789299,4.0,3.0
18/11/2017,0.06,6.0,11.737119692306518,-5.737119692306518,5.0,-1.0
25/11/2017,0.08,2.0,26.189305316610337,-24.189305316610337,13.0,11.0
02/12/2017,0.06,2.0,10.604899064540863,-8.604899064540863,5.0,3.0
