Date,Searches,Observed,Predicted,error,NaivePredictions,NaiveError
01/02/2016,0.4,143.0,17.34369420144528,125.65630579855471,28.0,-115.0
08/02/2016,0.3,143.0,348.7731969073105,-205.77319690731048,28.0,-115.0
15/02/2016,0.65,144.0,162.1287740599251,-18.128774059925092,28.0,-116.0
22/02/2016,0.7,261.0,65.15904674977541,195.84095325022457,29.000000000000004,-232.0
29/02/2016,0.56,261.0,-8.920108567643016,269.920108567643,143.0,-118.0
07/03/2016,0.67,263.0,4.648848262933493,258.3511517370665,143.0,-120.0
14/03/2016,1.0,332.0,-7.833259503851086,339.8332595038511,144.0,-188.0
21/03/2016,0.89,332.0,-24.36574475851834,356.36574475851836,261.0,-71.0
28/03/2016,0.92,347.0,-27.811305157212615,374.8113051572126,261.0,-86.0
04/04/2016,0.87,347.0,-32.30680293789864,379.3068029378986,263.0,-84.0
11/04/2016,0.91,347.0,-35.10425069931209,382.1042506993121,332.0,-15.0
18/04/2016,1.0,228.0,-34.89833971792519,262.8983397179252,332.0,104.0
25/04/2016,1.0,228.0,-14.594775298122316,242.59477529812233,347.0,119.0
02/05/2016,1.0,228.0,-37.02618249220729,265.0261824922073,347.0,119.0
09/05/2016,0.64,229.0,-15.446548916856646,244.44654891685664,347.0,118.0
16/05/2016,1.0,73.0,-16.72618761332795,89.72618761332795,228.0,155.0
23/05/2016,0.56,73.0,9.436478858337104,63.563521141662896,228.0,155.0
30/05/2016,0.44,73.0,11.203602936760932,61.79639706323907,228.0,155.0
06/06/2016,0.47,73.0,47.12938942538261,25.870610574617388,229.0,156.0
13/06/2016,0.34,73.0,43.954542509633896,29.045457490366104,73.0,0.0
20/06/2016,0.44,78.0,15.749600020541697,62.2503999794583,73.0,-5.0
27/06/2016,0.52,-15.0,2.4219483810136095,-17.42194838101361,73.0,88.0
04/07/2016,0.39,-15.0,9.885719456999004,-24.885719456999006,73.0,88.0
11/07/2016,0.54,-15.0,9.952126270053983,-24.95212627005398,73.0,88.0
18/07/2016,0.36,-15.0,-2.1187428962482886,-12.881257103751711,78.0,93.0
25/07/2016,0.15,-15.0,-0.25563042532531544,-14.744369574674685,-15.0,0.0
01/08/2016,0.5,-15.0,-0.6676441909446195,-14.33235580905538,-15.0,0.0
08/08/2016,0.33,66.0,-0.12377907317852602,66.12377907317853,-15.0,-81.0
15/08/2016,0.31,133.0,24.515995101775527,108.48400489822447,-15.0,-148.0
22/08/2016,0.2,5.0,41.383934797137975,-36.383934797137975,-15.0,-20.0
29/08/2016,0.17,5.0,-0.1713108433291316,5.171310843329132,-15.0,-20.0
05/09/2016,0.0,4.0,3.924291695370488,0.07570830462951195,66.0,62.0
12/09/2016,0.48,4.0,-16.811873285339324,20.811873285339324,133.0,129.0
19/09/2016,0.45,4.0,0.13254437194546684,3.8674556280545334,5.0,1.0
26/09/2016,0.3,0.0,-0.22055241002161055,0.22055241002161055,5.0,5.0
03/10/2016,0.1,11.0,0.2755313722326979,10.724468627767303,4.0,-7.0
10/10/2016,0.45,11.0,10.88650628411755,0.11349371588245027,4.0,-7.0
17/10/2016,0.24,10.0,0.8359648135695048,9.164035186430496,4.0,-6.0
24/10/2016,0.76,10.0,7.403364523531645,2.5966354764683546,0.0,-10.0
31/10/2016,0.12,6.0,8.354980976584256,-2.3549809765842564,11.0,5.0
07/11/2016,0.38,6.0,3.1587159183124824,2.8412840816875176,11.0,5.0
14/11/2016,0.75,11.0,0.8633798423128575,10.136620157687142,10.0,-1.0
21/11/2016,0.49,1.0,-0.7687458047805726,1.7687458047805726,10.0,9.0
28/11/2016,0.17,3.0,-0.16773243592463433,3.167732435924634,6.0,3.0
05/12/2016,0.53,6.0,0.08906823449816555,5.910931765501834,6.0,0.0
12/12/2016,0.25,2.0,-0.17829502253822982,2.17829502253823,11.0,9.0
19/12/2016,0.1,8.0,0.639204040534813,7.360795959465187,1.0,-7.0
26/12/2016,0.28,3.0,8.958720527556986,-5.958720527556986,3.0,0.0
02/01/2017,0.33,0.0,0.025146122343204916,-0.025146122343204916,6.0,6.0
09/01/2017,0.42,0.0,-0.04920583998978138,0.04920583998978138,2.0,2.0
16/01/2017,0.28,0.0,0.25863824860205875,-0.25863824860205875,8.0,8.0
23/01/2017,0.28,1.0,0.2884863440327719,0.7115136559672282,3.0,2.0
30/01/2017,0.0,18.0,0.18512847157098353,17.814871528429016,0.0,-18.0
06/02/2017,0.77,18.0,27.109163314298986,-9.109163314298986,0.0,-18.0
13/02/2017,0.46,19.0,-9.268540407119543,28.268540407119545,0.0,-19.0
20/02/2017,0.09,16.0,70.3135306027472,-54.31353060274721,1.0,-15.0
27/02/2017,0.36,16.0,11.992474610208571,4.007525389791429,18.0,2.0
06/03/2017,0.18,16.0,-3.1633611719997226,19.16336117199972,18.0,2.0
13/03/2017,0.09,13.0,39.07553291832626,-26.07553291832626,19.0,6.0
20/03/2017,0.09,14.0,22.584283058822155,-8.584283058822155,16.0,2.0
27/03/2017,0.11,45.0,5.629533734597042,39.37046626540296,16.0,-29.0
03/04/2017,0.32,45.0,105.35579103963852,-60.35579103963852,16.0,-29.0
10/04/2017,0.13,46.0,110.72124289749145,-64.72124289749145,13.0,-33.0
17/04/2017,0.13,7.0,88.76305439593435,-81.76305439593435,14.0,7.0
24/04/2017,0.15,7.0,-12.990307334493846,19.990307334493846,45.0,38.0
01/05/2017,0.33,7.0,0.5742026951016486,6.425797304898351,45.0,38.0
08/05/2017,0.09,9.0,-5.120015669013038,14.12001566901304,46.0,37.0
