State,Model,Error
Hidalgo,LSTM,0.3057495502491109
Hidalgo,LSTM,0.3169255461795256
Hidalgo,LSTM,0.482320840981137
Hidalgo,LSTM,0.7423047802684829
Hidalgo,LSTM,0.9878171004477516
Hidalgo,LSTM,0.4900818472207338
Hidalgo,LSTM,0.3709337822381593
Hidalgo,LSTM,0.3133751644088887
Hidalgo,LSTM,0.3460600263739377
Hidalgo,LSTM,0.3320056576510519
Hidalgo,LSTM,0.3323725952106714
Hidalgo,LSTM,0.3331160271047149
Hidalgo,LSTM,0.4101216967007984
Hidalgo,LSTM,0.387167255339697
Hidalgo,LSTM,0.3373829274007957
Hidalgo,LSTM,0.3319037542138621
Hidalgo,LSTM,0.30832551367729905
Hidalgo,LSTM,0.3015462198088318
Hidalgo,LSTM,0.3030725884821825
Hidalgo,LSTM,0.31284629408844744
Hidalgo,LSTM,0.31694322221983223
Hidalgo,LSTM,0.3167272763780132
Hidalgo,LSTM,0.3537199810337089
Hidalgo,LSTM,0.3092600544468872
Hidalgo,LSTM,0.31373691096269524
Hidalgo,LSTM,0.3091236507864483
Hidalgo,LSTM,0.3010909552887641
Hidalgo,LSTM,0.3017398842564691
Hidalgo,LSTM,0.3035238865413982
Hidalgo,LSTM,-1.6942874891114792
Hidalgo,LSTM,-9.67516359823428
Hidalgo,LSTM,-8.646509520569554
Hidalgo,LSTM,-17.213054551470726
Hidalgo,LSTM,-3.2946719724332167
Hidalgo,LSTM,-11.500266510234626
Hidalgo,LSTM,-15.474461375196428
Hidalgo,LSTM,-25.060358627274184
Hidalgo,LSTM,-17.90202550050758
Hidalgo,LSTM,-12.311500500429421
Hidalgo,LSTM,-6.918397490821929
Hidalgo,LSTM,-5.150456550565659
Hidalgo,LSTM,-2.374412698037625
Hidalgo,LSTM,-6.226783654312714
Hidalgo,LSTM,-3.8184025049854817
Hidalgo,LSTM,-0.12828333011493065
Hidalgo,LSTM,0.2839368373408915
Hidalgo,LSTM,-0.22826439143916574
Hidalgo,LSTM,0.4134221648172196
Hidalgo,LSTM,-0.6910494810054449
Hidalgo,LSTM,0.3088447207407653
Hidalgo,LSTM,0.32999889466539023
Hidalgo,LSTM,0.3175180129763112
Hidalgo,LSTM,-0.6801900299474503
Hidalgo,LSTM,-0.6846065909342001
Hidalgo,LSTM,0.4036979201791622
Hidalgo,LSTM,-0.6526775394155178
Hidalgo,LSTM,0.3515030754845217
Hidalgo,LSTM,0.3010766600573715
Hidalgo,LSTM,0.3011502392372024
Hidalgo,LSTM,0.3149744201279618
Hidalgo,LSTM,0.3505371224746294
Hidalgo,LSTM,0.3420690746227652
Hidalgo,LSTM,0.33210753446769903
Hidalgo,LSTM,0.3672863153485488
Hidalgo,LSTM,0.5733125177466311
Hidalgo,LSTM,0.41017613571047773
Hidalgo,LSTM,0.3195556824119669
Hidalgo,LSTM,0.30094416961669923
Hidalgo,LSTM,0.30094416961669923
Hidalgo,LSTM,-0.6990558754070102
Hidalgo,LSTM,0.30038617642262017
Hidalgo,LSTM,-0.7000611203378251
Hidalgo,LSTM,0.3004990209028311
Hidalgo,LSTM,0.3089764125651587
Hidalgo,LSTM,-5.665778851625352
Hidalgo,LSTM,0.3536150694752019
Hidalgo,LSTM,-10.608782099123047
Hidalgo,LSTM,-3.4826054964119004
Hidalgo,LSTM,-3.1919731134296576
Hidalgo,LSTM,-0.3812781524167954
Hidalgo,LSTM,1.0038030557439104
Hidalgo,LSTM,-2.518600311623924
Hidalgo,LSTM,0.34677039555403405
Hidalgo,LSTM,-1.6817553362572937
Hidalgo,LSTM,-8.700656156829325
Hidalgo,LSTM,-8.656092010818107
Hidalgo,LSTM,-0.5013946727402694
Hidalgo,LSTM,-6.173922976605799
Hidalgo,LSTM,-1.7886968708631397
Hidalgo,LSTM,-1.180779298170432
Hidalgo,LSTM,-2.535664665102046
Hidalgo,LSTM,-1.4318736266928165
Hidalgo,LSTM,0.3640696753208712
Hidalgo,LSTM,-2.6675783983387613
Hidalgo,LSTM,-1.6646517440993336
Hidalgo,LSTM,-5.692178177546644
Hidalgo,LSTM,0.3119940906572156
Hidalgo,LSTM,-1.651983107723081
Hidalgo,LSTM,0.34408954718788154
Hidalgo,LSTM,0.3541570104820747
Hidalgo,LSTM,0.2989186657690257
Hidalgo,LSTM,0.3049205865515955
Hidalgo,LSTM,0.3012581589170266
Hidalgo,LSTM,-2.6979983312957176
Hidalgo,LSTM,-2.6961161258290245
Hidalgo,LSTM,0.3131962477418687
Hidalgo,LSTM,0.3859917720387597
Hidalgo,LSTM,0.5509079236935638
Hidalgo,LSTM,0.3557829399848636
Hidalgo,LSTM,0.30094416961669923
Hidalgo,LSTM,0.30094416961669923
