,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,Searches,Searches_lower,Searches_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yhat
0,2016-01-02,135.24613861790434,135.24613861790434,135.24613861790434,5.223375426669238,231.94707568691967,-18.05784762901519,-18.05784762901519,-18.05784762901519,-11.47022781705621,-11.47022781705621,-11.47022781705621,-18.05784762901519,-18.05784762901519,-18.05784762901519,0.0,0.0,0.0,6.587619811958978,6.587619811958978,6.587619811958978,123.77591080084812
1,2016-01-08,133.9961823615313,133.9961823615313,133.9961823615313,67.00610130421603,288.24982979323755,39.97526955813747,39.97526955813747,39.97526955813747,46.262337771056536,46.262337771056536,46.262337771056536,39.97526955813747,39.97526955813747,39.97526955813747,0.0,0.0,0.0,6.28706821291906,6.28706821291906,6.28706821291906,180.25852013258785
2,2016-01-18,131.91292193424292,131.91292193424292,131.91292193424292,5.8113543955143845,215.54443269111582,-29.342064859850428,-29.342064859850428,-29.342064859850428,-19.215856550380156,-19.215856550380156,-19.215856550380156,-29.342064859850428,-29.342064859850428,-29.342064859850428,0.0,0.0,0.0,10.126208309470275,10.126208309470275,10.126208309470275,112.69706538386276
3,2016-01-25,130.45463963514106,130.45463963514106,130.45463963514106,1.1811513722272509,227.26210236871833,-26.118002793897503,-26.118002793897503,-26.118002793897503,-15.991794484345187,-15.991794484345187,-15.991794484345187,-26.118002793897503,-26.118002793897503,-26.118002793897503,0.0,0.0,0.0,10.126208309552315,10.126208309552315,10.126208309552315,114.46284515079587
4,2016-02-05,128.1630527609536,128.1630527609536,128.1630527609536,68.13878779629832,285.69867733096123,38.36323852516101,38.36323852516101,38.36323852516101,44.65030673791191,44.65030673791191,44.65030673791191,38.36323852516101,38.36323852516101,38.36323852516101,0.0,0.0,0.0,6.287068212750903,6.287068212750903,6.287068212750903,172.8133594988655
5,2016-02-15,126.0797919662377,126.0797919662377,126.0797919662377,40.288210340776004,254.57852537649626,9.346679931584678,9.346679931584678,9.346679931584678,19.47288824101574,19.47288824101574,19.47288824101574,9.346679931584678,9.346679931584678,9.346679931584678,0.0,0.0,0.0,10.126208309431057,10.126208309431057,10.126208309431057,145.55268020725345
6,2016-02-22,124.62150940993658,124.62150940993658,124.62150940993658,23.602962482201587,241.64065519666644,-5.161599365203487,-5.161599365203487,-5.161599365203487,4.964608944344117,4.964608944344117,4.964608944344117,-5.161599365203487,-5.161599365203487,-5.161599365203487,0.0,0.0,0.0,10.126208309547604,10.126208309547604,10.126208309547604,129.5861183542807
7,2016-02-29,123.16322685363546,123.16322685363546,123.16322685363546,51.42302095781871,271.30896410710847,30.30308336027869,30.30308336027869,30.30308336027869,40.42929166960997,40.42929166960997,40.42929166960997,30.30308336027869,30.30308336027869,30.30308336027869,0.0,0.0,0.0,10.126208309331279,10.126208309331279,10.126208309331279,163.59251852324542
8,2016-03-10,121.07996606719301,121.07996606719301,121.07996606719301,-108.25619107487569,107.68433595803329,-34.17815795877981,-34.17815795877981,-34.17815795877981,-116.4807082001004,-116.4807082001004,-116.4807082001004,-34.17815795877981,-34.17815795877981,-34.17815795877981,0.0,0.0,0.0,-82.30255024132056,-82.30255024132056,-82.30255024132056,4.599257867092618
9,2016-03-14,120.24666175261603,120.24666175261603,120.24666175261603,43.79308937617686,264.73119272754366,27.07902129432577,27.07902129432577,27.07902129432577,37.20522960378662,37.20522960378662,37.20522960378662,27.07902129432577,27.07902129432577,27.07902129432577,0.0,0.0,0.0,10.12620830946085,10.12620830946085,10.12620830946085,157.45189135640265
