,File,NaiveRMSE,LSTMRMSE,NaiveRelativeRMSE,LSTMRelativeRMSE,LSTM-Naive-Ratio,Average-Ratio
0,Chiapas_2016-2017.csv,19.560476602014564,16.690845453095893,2.5559022759965697,2.1809371392045303,0.8532944157085046,1.0054108384251683
1,Colima_2016-2017.csv,5.021382848806264,5.152165661455988,1.7574839970821925,1.8032579815095957,1.0260451785071147,1.0054108384251683
2,Guerrero_2016-2017.csv,15.946018631748853,12.258886412181038,1.8941937283774393,1.4562071132045353,0.7687741181847951,1.0054108384251683
3,Hidalgo_2016-2017.csv,4.763809143009447,5.7099531450414265,1.6976483491451848,2.0348196662329445,1.1986108119844345,1.0054108384251683
4,NuevoLeon_2016-2017.csv,45.30328636094782,39.614265023156506,5.027997806764311,4.3966001950955125,0.8744236501417402,1.0054108384251683
5,Oaxaca_2016-2017.csv,15.478754366378901,14.422749917555818,3.102081652157735,2.890448858733068,0.9317771686385301,1.0054108384251683
6,QuintanaRoo_2016-2017.csv,7.0472168482403355,8.7911427001067,1.861528978780466,2.322188637764034,1.2474630608680386,1.0054108384251683
7,Tabasco_2016-2017.csv,5.565014623080701,5.737380437147201,1.7150045064839898,1.768123530944735,1.0309731107177362,1.0054108384251683
8,Veracruz_2016-2017.csv,26.552028247981973,31.603445198258655,1.3122031105911414,1.5618444929043611,1.1902459918729789,1.0054108384251683
9,Yucatan_2016-2017.csv,30.878630084872082,28.794349654087696,3.6111047115960186,3.367358312769205,0.9325008776278094,1.0054108384251683
