Date,Searches,Observed,LSTM-Prediction,error,Naive-Prediction,NaiveError
30/01/2016,0.68,1.0,3.966121055844426,-2.966121055844426,0.0,-1.0
06/02/2016,0.36,0.0,13.463331885439903,-13.463331885439903,0.0,0.0
13/02/2016,0.59,0.0,12.865314941883833,-12.865314941883833,0.0,0.0
20/02/2016,0.27,0.0,9.708685933642835,-9.708685933642835,1.0,1.0
27/02/2016,0.3,0.0,12.827192413438112,-12.827192413438112,0.0,0.0
05/03/2016,0.37,0.0,1.1200124688483775,-1.1200124688483775,0.0,0.0
12/03/2016,0.67,0.0,8.681369862680882,-8.681369862680882,0.0,0.0
19/03/2016,0.2,1.0,8.905158388682455,-7.905158388682455,0.0,-1.0
26/03/2016,0.38,0.0,9.854292813123017,-9.854292813123017,0.0,0.0
02/04/2016,0.21,2.0,0.7848845454141498,1.2151154545858502,0.0,-2.0
09/04/2016,0.42,0.0,8.464505672135203,-8.464505672135203,1.0,1.0
16/04/2016,0.19,1.0,2.6987887565135957,-1.6987887565135957,0.0,-1.0
23/04/2016,0.16,0.0,2.033310314275324,-2.033310314275324,2.0,2.0
30/04/2016,0.17,0.0,1.133585520262271,-1.133585520262271,0.0,0.0
07/05/2016,0.15,2.0,1.3768523663058878,0.6231476336941122,1.0,-1.0
14/05/2016,0.12,1.0,1.738739558184892,-0.7387395581848919,0.0,-1.0
21/05/2016,0.11,0.0,1.2865410441622138,-1.2865410441622138,0.0,0.0
28/05/2016,0.17,0.0,0.605045240752399,-0.605045240752399,2.0,2.0
04/06/2016,0.16,0.0,0.16180677812620997,-0.16180677812620997,1.0,1.0
11/06/2016,0.08,3.0,0.026408699785172938,2.973591300214827,0.0,-3.0
18/06/2016,0.08,1.0,1.1656033186011017,-0.16560331860110167,0.0,-1.0
25/06/2016,0.09,1.0,0.9322986667774618,0.06770133322253824,0.0,-1.0
02/07/2016,0.09,9.0,0.32414061809927225,8.675859381900727,3.0,-6.0
09/07/2016,0.1,15.000000000000002,2.7848340207271276,12.215165979272875,1.0,-14.000000000000002
16/07/2016,0.15,18.0,5.9714160987876355,12.028583901212365,1.0,-17.0
23/07/2016,0.25,43.0,8.589228330362587,34.41077166963741,9.0,-34.0
30/07/2016,0.61,74.0,11.451691549757868,62.54830845024213,15.000000000000002,-59.0
06/08/2016,0.69,42.0,32.437136480873825,9.562863519126175,18.0,-24.0
13/08/2016,0.96,91.0,112.47589750822186,-21.475897508221863,43.0,-48.0
20/08/2016,1.0,85.00000000000001,229.69152197772266,-144.69152197772263,74.0,-11.000000000000014
27/08/2016,1.0,114.0,120.2588312189281,-6.258831218928094,42.0,-72.0
03/09/2016,0.98,173.0,162.45432921251057,10.545670787489428,91.0,-82.0
10/09/2016,0.88,36.0,179.68128281629086,-143.68128281629086,85.00000000000001,49.000000000000014
17/09/2016,0.83,97.0,74.63676876692475,22.363231233075254,114.0,17.0
24/09/2016,0.54,195.0,81.71084297705293,113.28915702294707,173.0,-22.0
01/10/2016,0.34,102.0,57.0317038954705,44.9682961045295,36.0,-66.0
08/10/2016,0.54,103.00000000000001,52.514600121614336,50.48539987838568,97.0,-6.000000000000014
15/10/2016,0.28,182.0,112.71715644204616,69.28284355795384,195.0,13.0
22/10/2016,0.29,123.0,90.00468819912076,32.995311800879236,102.0,-21.0
29/10/2016,0.32,61.0,187.7322927544236,-126.73229275442361,103.00000000000001,42.000000000000014
05/11/2016,0.32,135.0,108.63483517297506,26.36516482702494,182.0,47.0
12/11/2016,0.23,28.0,17.52636704280302,10.47363295719698,123.0,95.0
19/11/2016,0.24,11.0,39.01711196901202,-28.01711196901202,61.0,50.0
26/11/2016,0.19,9.0,24.321974895748497,-15.321974895748497,135.0,126.0
03/12/2016,0.22,8.0,-6.012613356149569,14.012613356149568,28.0,20.0
10/12/2016,0.44,16.0,3.531753189163655,12.468246810836344,11.0,-5.0
17/12/2016,0.07,1.0,9.949956956041603,-8.949956956041603,9.0,8.0
24/12/2016,0.11,2.0,1.5049900468207895,0.4950099531792105,8.0,6.0
31/12/2016,0.14,70.0,5.292076897063106,64.70792310293689,16.0,-54.0
07/01/2017,0.17,1.0,9.89981354914382,-8.89981354914382,1.0,0.0
14/01/2017,0.04,0.0,-0.8897045746356249,0.8897045746356249,2.0,2.0
21/01/2017,0.32,0.0,-5.198470833947882,5.198470833947882,70.0,70.0
28/01/2017,0.19,0.0,0.8926191299401224,-0.8926191299401224,1.0,1.0
04/02/2017,0.18,1.0,0.3239145617567003,0.6760854382432997,0.0,-1.0
11/02/2017,0.29,1.0,1.1934191284544766,-0.19341912845447662,0.0,-1.0
18/02/2017,0.36,2.0,2.7237504539348185,-0.7237504539348185,0.0,-2.0
25/02/2017,0.46,0.0,2.7626696194380522,-2.7626696194380522,1.0,1.0
04/03/2017,0.07,1.0,4.021063626806438,-3.0210636268064377,1.0,0.0
11/03/2017,0.25,0.0,1.004775715006888,-1.004775715006888,2.0,2.0
18/03/2017,0.41,0.0,-0.43793641386404636,0.43793641386404636,0.0,0.0
25/03/2017,0.29,1.0,3.1826170256346464,-2.1826170256346464,1.0,0.0
01/04/2017,1.0,0.0,3.6505609079033134,-3.6505609079033134,0.0,0.0
08/04/2017,0.56,0.0,14.833929623315484,-14.833929623315484,0.0,0.0
15/04/2017,0.37,0.0,32.838462646958234,-32.838462646958234,1.0,1.0
22/04/2017,0.36,3.0,5.19906015195325,-2.19906015195325,0.0,-3.0
29/04/2017,0.15,1.0,2.3139453617177903,-1.3139453617177903,0.0,-1.0
