Date,Searches,WeekNumber,Cases
02/01/2016,8,1,0
09/01/2016,0,2,0
16/01/2016,23,3,0
23/01/2016,46,4,0
30/01/2016,68,5,1
06/02/2016,36,6,0
13/02/2016,59,7,0
20/02/2016,27,8,0
27/02/2016,30,9,0
05/03/2016,37,10,0
12/03/2016,67,11,0
19/03/2016,20,12,1
26/03/2016,38,13,0
02/04/2016,21,14,2
09/04/2016,42,15,0
16/04/2016,19,16,1
23/04/2016,16,17,0
30/04/2016,17,18,0
07/05/2016,15,19,2
14/05/2016,12,20,1
21/05/2016,11,21,0
28/05/2016,17,22,0
04/06/2016,16,23,0
11/06/2016,8,24,3
18/06/2016,8,25,1
25/06/2016,9,26,1
02/07/2016,9,27,9
09/07/2016,10,28,15
16/07/2016,15,29,18
23/07/2016,25,30,43
30/07/2016,61,31,74
06/08/2016,69,32,42
13/08/2016,96,33,91
20/08/2016,100,34,85
27/08/2016,100,35,114
03/09/2016,98,36,173
10/09/2016,88,37,36
17/09/2016,83,38,97
24/09/2016,54,39,195
01/10/2016,34,40,102
08/10/2016,54,41,103
15/10/2016,28,42,182
22/10/2016,29,43,123
29/10/2016,32,44,61
05/11/2016,32,45,135
12/11/2016,23,46,28
19/11/2016,24,47,11
26/11/2016,19,48,9
03/12/2016,22,49,8
10/12/2016,44,50,16
17/12/2016,7,51,1
24/12/2016,11,52,2
31/12/2016,14,1,70
07/01/2017,17,2,1
14/01/2017,4,3,0
21/01/2017,32,4,0
28/01/2017,19,5,0
04/02/2017,18,6,1
11/02/2017,29,7,1
18/02/2017,36,8,2
25/02/2017,46,9,0
04/03/2017,7,10,1
11/03/2017,25,11,0
18/03/2017,41,12,0
25/03/2017,29,13,1
01/04/2017,100,14,0
08/04/2017,56,15,0
15/04/2017,37,16,0
22/04/2017,36,17,3
29/04/2017,15,18,1
06/05/2017,24,19,0
13/05/2017,16,20,0
20/05/2017,45,21,0
27/05/2017,18,22,0
03/06/2017,0,23,1
10/06/2017,18,24,0
17/06/2017,6,25,1
24/06/2017,41,26,4
01/07/2017,47,27,0
08/07/2017,22,28,0
15/07/2017,16,29,2
22/07/2017,4,30,0
29/07/2017,7,31,1
05/08/2017,9,32,1
12/08/2017,10,33,1
19/08/2017,17,34,1
26/08/2017,18,35,2
02/09/2017,14,36,1
09/09/2017,19,37,2
16/09/2017,6,38,7
23/09/2017,4,39,1
30/09/2017,6,40,12
07/10/2017,8,41,13
14/10/2017,6,42,15
21/10/2017,3,43,1
28/10/2017,7,44,21
04/11/2017,4,45,5
11/11/2017,4,46,8
18/11/2017,4,47,3
25/11/2017,5,48,5
02/12/2017,3,49,3
09/12/2017,4,50,5
16/12/2017,7,51,3
23/12/2017,0,52,3
