Date,Searches,WeekNumber,Cases
02/01/2016,7,1,0
09/01/2016,8,2,0
16/01/2016,72,3,0
23/01/2016,100,4,0
30/01/2016,95,5,0
06/02/2016,66,6,0
13/02/2016,78,7,0
20/02/2016,41,8,0
27/02/2016,38,9,0
05/03/2016,26,10,0
12/03/2016,59,11,0
19/03/2016,56,12,0
26/03/2016,13,13,0
02/04/2016,17,14,0
09/04/2016,32,15,0
16/04/2016,40,16,0
23/04/2016,56,17,0
30/04/2016,100,18,0
07/05/2016,28,19,0
14/05/2016,53,20,0
21/05/2016,32,21,0
28/05/2016,50,22,0
04/06/2016,41,23,0
11/06/2016,60,24,2
18/06/2016,49,25,1
25/06/2016,49,26,0
02/07/2016,21,27,0
09/07/2016,21,28,0
16/07/2016,18,29,0
23/07/2016,46,30,1
30/07/2016,79,31,0
06/08/2016,45,32,6
13/08/2016,64,33,3
20/08/2016,46,34,6
27/08/2016,77,35,16
03/09/2016,85,36,17
10/09/2016,90,37,52
17/09/2016,81,38,22
24/09/2016,68,39,30
01/10/2016,53,40,40
08/10/2016,100,41,36
15/10/2016,53,42,14
22/10/2016,70,43,41
29/10/2016,77,44,24
05/11/2016,100,45,10
12/11/2016,61,46,10
19/11/2016,65,47,8
26/11/2016,100,48,5
03/12/2016,100,49,3
10/12/2016,63,50,9
17/12/2016,88,51,3
24/12/2016,74,52,4
31/12/2016,100,1,0
07/01/2017,100,2,0
14/01/2017,100,3,1
21/01/2017,100,4,0
28/01/2017,46,5,0
04/02/2017,100,6,1
11/02/2017,49,7,0
18/02/2017,53,8,0
25/02/2017,100,9,0
04/03/2017,54,10,0
11/03/2017,100,11,1
18/03/2017,100,12,0
25/03/2017,72,13,0
01/04/2017,21,14,0
08/04/2017,55,15,0
15/04/2017,100,16,0
22/04/2017,100,17,0
29/04/2017,100,18,0
06/05/2017,85,19,0
13/05/2017,94,20,0
20/05/2017,74,21,0
27/05/2017,29,22,1
03/06/2017,69,23,0
10/06/2017,100,24,0
17/06/2017,100,25,1
24/06/2017,86,26,0
01/07/2017,61,27,1
08/07/2017,49,28,0
15/07/2017,70,29,0
22/07/2017,28,30,0
29/07/2017,32,31,0
05/08/2017,20,32,0
12/08/2017,8,33,0
19/08/2017,15,34,0
26/08/2017,50,35,0
02/09/2017,27,36,0
09/09/2017,44,37,0
16/09/2017,19,38,0
23/09/2017,14,39,0
30/09/2017,23,40,1
07/10/2017,15,41,0
14/10/2017,8,42,0
21/10/2017,7,43,0
28/10/2017,8,44,0
04/11/2017,17,45,0
11/11/2017,5,46,0
18/11/2017,22,47,0
25/11/2017,9,48,0
02/12/2017,9,49,1
09/12/2017,20,50,0
16/12/2017,55,51,0
23/12/2017,100,52,0
