Date,Searches,WeekNumber,Cases
02/01/2016,0,1,0
09/01/2016,0,2,0
16/01/2016,26,3,0
23/01/2016,73,4,0
30/01/2016,30,5,0
06/02/2016,65,6,0
13/02/2016,87,7,0
20/02/2016,28,8,0
27/02/2016,43,9,0
05/03/2016,100,10,0
12/03/2016,43,11,0
19/03/2016,27,12,0
26/03/2016,0,13,0
02/04/2016,100,14,0
09/04/2016,30,15,0
16/04/2016,21,16,0
23/04/2016,54,17,0
30/04/2016,0,18,0
07/05/2016,0,19,0
14/05/2016,0,20,0
21/05/2016,0,21,0
28/05/2016,0,22,0
04/06/2016,21,23,0
11/06/2016,18,24,1
18/06/2016,26,25,0
25/06/2016,15,26,4
02/07/2016,20,27,6
09/07/2016,17,28,10
16/07/2016,0,29,8
23/07/2016,12,30,5
30/07/2016,0,31,6
06/08/2016,38,32,2
13/08/2016,13,33,2
20/08/2016,40,34,8
27/08/2016,65,35,13
03/09/2016,91,36,29
10/09/2016,89,37,12
17/09/2016,99,38,13
24/09/2016,100,39,14
01/10/2016,100,40,11
08/10/2016,78,41,25
15/10/2016,100,42,13
22/10/2016,84,43,25
29/10/2016,70,44,23
05/11/2016,48,45,18
12/11/2016,68,46,11
19/11/2016,22,47,7
26/11/2016,52,48,3
03/12/2016,24,49,3
10/12/2016,0,50,3
17/12/2016,41,51,0
24/12/2016,84,52,1
31/12/2016,0,1,1
07/01/2017,31,2,0
14/01/2017,91,3,0
21/01/2017,49,4,0
28/01/2017,100,5,0
04/02/2017,45,6,0
11/02/2017,0,7,0
18/02/2017,0,8,0
25/02/2017,0,9,0
04/03/2017,76,10,0
11/03/2017,55,11,0
18/03/2017,0,12,0
25/03/2017,62,13,0
01/04/2017,67,14,0
08/04/2017,0,15,0
15/04/2017,0,16,0
22/04/2017,0,17,0
29/04/2017,39,18,0
06/05/2017,0,19,0
13/05/2017,0,20,0
20/05/2017,0,21,0
27/05/2017,0,22,0
03/06/2017,0,23,0
10/06/2017,0,24,0
17/06/2017,0,25,0
24/06/2017,43,26,0
01/07/2017,0,27,0
08/07/2017,0,28,0
15/07/2017,0,29,0
22/07/2017,0,30,0
29/07/2017,37,31,0
05/08/2017,0,32,0
12/08/2017,0,33,0
19/08/2017,0,34,0
26/08/2017,0,35,0
02/09/2017,24,36,0
09/09/2017,0,37,0
16/09/2017,16,38,0
23/09/2017,0,39,0
30/09/2017,15,40,0
07/10/2017,22,41,0
14/10/2017,0,42,0
21/10/2017,19,43,0
28/10/2017,0,44,2
04/11/2017,0,45,0
11/11/2017,0,46,0
18/11/2017,0,47,0
25/11/2017,8,48,0
02/12/2017,0,49,0
09/12/2017,0,50,1
16/12/2017,0,51,0
23/12/2017,0,52,0
