Date,Searches,WeekNumber,Cases
02/01/2016,11,1,0
09/01/2016,11,2,0
16/01/2016,35,3,0
23/01/2016,61,4,4
30/01/2016,100,5,17
06/02/2016,61,6,4
13/02/2016,50,7,2
20/02/2016,100,8,25
27/02/2016,100,9,4
05/03/2016,41,10,3
12/03/2016,85,11,0
19/03/2016,19,12,16
26/03/2016,10,13,4
02/04/2016,45,14,6
09/04/2016,39,15,3
16/04/2016,26,16,9
23/04/2016,14,17,3
30/04/2016,40,18,3
07/05/2016,18,19,5
14/05/2016,15,20,16
21/05/2016,9,21,2
28/05/2016,30,22,4
04/06/2016,29,23,1
11/06/2016,16,24,44
18/06/2016,18,25,10
25/06/2016,18,26,11
02/07/2016,10,27,8
09/07/2016,9,28,1
16/07/2016,7,29,40
23/07/2016,14,30,11
30/07/2016,24,31,12
06/08/2016,30,32,5
13/08/2016,34,33,28
20/08/2016,44,34,54
27/08/2016,50,35,1
03/09/2016,50,36,73
10/09/2016,66,37,3
17/09/2016,100,38,2
24/09/2016,73,39,0
01/10/2016,70,40,47
08/10/2016,83,41,2
15/10/2016,67,42,0
22/10/2016,100,43,0
29/10/2016,89,44,0
05/11/2016,99,45,3
12/11/2016,100,46,0
19/11/2016,100,47,0
26/11/2016,64,48,0
03/12/2016,50,49,0
10/12/2016,100,50,2
17/12/2016,100,51,0
24/12/2016,71,52,0
31/12/2016,21,1,0
07/01/2017,9,2,0
14/01/2017,13,3,0
21/01/2017,54,4,0
28/01/2017,55,5,0
04/02/2017,38,6,0
11/02/2017,100,7,1
18/02/2017,21,8,0
25/02/2017,76,9,0
04/03/2017,22,10,1
11/03/2017,60,11,0
18/03/2017,20,12,0
25/03/2017,51,13,0
01/04/2017,12,14,0
08/04/2017,0,15,0
15/04/2017,0,16,0
22/04/2017,0,17,0
29/04/2017,10,18,0
06/05/2017,35,19,0
13/05/2017,69,20,0
20/05/2017,45,21,0
27/05/2017,37,22,0
03/06/2017,52,23,2
10/06/2017,21,24,0
17/06/2017,17,25,0
24/06/2017,0,26,0
01/07/2017,80,27,0
08/07/2017,0,28,0
15/07/2017,37,29,0
22/07/2017,0,30,0
29/07/2017,21,31,0
05/08/2017,28,32,0
12/08/2017,0,33,0
19/08/2017,20,34,0
26/08/2017,9,35,0
02/09/2017,14,36,0
09/09/2017,0,37,0
16/09/2017,5,38,0
23/09/2017,0,39,1
30/09/2017,8,40,0
07/10/2017,6,41,0
14/10/2017,10,42,0
21/10/2017,3,43,0
28/10/2017,0,44,0
04/11/2017,6,45,0
11/11/2017,0,46,0
18/11/2017,5,47,0
25/11/2017,8,48,0
02/12/2017,0,49,0
09/12/2017,0,50,0
16/12/2017,0,51,0
23/12/2017,38,52,0
