Date,Searches,WeekNumber,Cases
02/01/2016,11,1,0
09/01/2016,11,2,0
16/01/2016,35,3,0
23/01/2016,61,4,0
30/01/2016,100,5,1
06/02/2016,61,6,0
13/02/2016,50,7,0
20/02/2016,100,8,0
27/02/2016,100,9,0
05/03/2016,41,10,0
12/03/2016,85,11,0
19/03/2016,19,12,0
26/03/2016,10,13,0
02/04/2016,45,14,0
09/04/2016,39,15,0
16/04/2016,26,16,0
23/04/2016,14,17,0
30/04/2016,40,18,0
07/05/2016,18,19,0
14/05/2016,15,20,0
21/05/2016,9,21,0
28/05/2016,30,22,1
04/06/2016,29,23,3
11/06/2016,16,24,0
18/06/2016,18,25,0
25/06/2016,18,26,1
02/07/2016,10,27,0
09/07/2016,9,28,2
16/07/2016,7,29,1
23/07/2016,14,30,5
30/07/2016,24,31,11
06/08/2016,30,32,7
13/08/2016,34,33,8
20/08/2016,44,34,8
27/08/2016,50,35,12
03/09/2016,50,36,19
10/09/2016,66,37,30
17/09/2016,100,38,1
24/09/2016,73,39,168
01/10/2016,70,40,101
08/10/2016,83,41,73
15/10/2016,67,42,0
22/10/2016,100,43,188
29/10/2016,89,44,8
05/11/2016,99,45,32
12/11/2016,100,46,75
19/11/2016,100,47,0
26/11/2016,64,48,2
03/12/2016,50,49,15
10/12/2016,100,50,26
17/12/2016,100,51,8
24/12/2016,71,52,16
31/12/2016,21,1,1
07/01/2017,40,2,0
14/01/2017,44,3,0
21/01/2017,19,4,2
28/01/2017,39,5,1
04/02/2017,46,6,1
11/02/2017,30,7,0
18/02/2017,29,8,2
25/02/2017,85,9,0
04/03/2017,15,10,1
11/03/2017,22,11,0
18/03/2017,86,12,2
25/03/2017,49,13,0
01/04/2017,9,14,2
08/04/2017,17,15,0
15/04/2017,0,16,0
22/04/2017,36,17,0
29/04/2017,0,18,0
06/05/2017,24,19,0
13/05/2017,47,20,0
20/05/2017,0,21,0
27/05/2017,12,22,0
03/06/2017,23,23,0
10/06/2017,14,24,0
17/06/2017,33,25,0
24/06/2017,8,26,0
01/07/2017,21,27,0
08/07/2017,0,28,1
15/07/2017,40,29,0
22/07/2017,0,30,0
29/07/2017,15,31,0
05/08/2017,19,32,3
12/08/2017,14,33,0
19/08/2017,7,34,0
26/08/2017,0,35,0
02/09/2017,24,36,0
09/09/2017,5,37,0
16/09/2017,5,38,0
23/09/2017,7,39,0
30/09/2017,3,40,0
07/10/2017,8,41,0
14/10/2017,2,42,0
21/10/2017,2,43,0
28/10/2017,0,44,0
04/11/2017,7,45,0
11/11/2017,5,46,0
18/11/2017,4,47,0
25/11/2017,2,48,0
02/12/2017,4,49,0
09/12/2017,0,50,0
16/12/2017,0,51,0
23/12/2017,0,52,0
