Date,Searches,WeekNumber,Cases
02/01/2016,0,1,0
09/01/2016,26,2,0
16/01/2016,32,3,0
23/01/2016,70,4,0
30/01/2016,75,5,1
06/02/2016,100,6,1
13/02/2016,97,7,1
20/02/2016,29,8,2
27/02/2016,48,9,2
05/03/2016,46,10,0
12/03/2016,82,11,2
19/03/2016,27,12,0
26/03/2016,38,13,0
02/04/2016,18,14,2
09/04/2016,33,15,2
16/04/2016,23,16,1
23/04/2016,7,17,1
30/04/2016,31,18,1
07/05/2016,30,19,7
14/05/2016,25,20,2
21/05/2016,72,21,1
28/05/2016,60,22,12
04/06/2016,42,23,0
11/06/2016,72,24,5
18/06/2016,69,25,60
25/06/2016,90,26,36
02/07/2016,100,27,33
09/07/2016,100,28,55
16/07/2016,85,29,71
23/07/2016,100,30,51
30/07/2016,97,31,73
06/08/2016,89,32,33
13/08/2016,76,33,105
20/08/2016,31,34,54
27/08/2016,52,35,35
03/09/2016,62,36,19
10/09/2016,29,37,5
17/09/2016,35,38,23
24/09/2016,39,39,10
01/10/2016,17,40,44
08/10/2016,20,41,15
15/10/2016,13,42,1
22/10/2016,31,43,2
29/10/2016,36,44,1
05/11/2016,68,45,9
12/11/2016,50,46,5
19/11/2016,47,47,2
26/11/2016,58,48,5
03/12/2016,28,49,3
10/12/2016,49,50,2
17/12/2016,58,51,3
24/12/2016,23,52,0
31/12/2016,23,1,3
07/01/2017,27,2,0
14/01/2017,13,3,1
21/01/2017,15,4,1
28/01/2017,92,5,1
04/02/2017,28,6,1
11/02/2017,0,7,0
18/02/2017,0,8,1
25/02/2017,20,9,1
04/03/2017,46,10,0
11/03/2017,0,11,0
18/03/2017,22,12,1
25/03/2017,38,13,1
01/04/2017,14,14,2
08/04/2017,25,15,0
15/04/2017,46,16,0
22/04/2017,0,17,0
29/04/2017,0,18,0
06/05/2017,38,19,0
13/05/2017,0,20,0
20/05/2017,49,21,0
27/05/2017,20,22,1
03/06/2017,18,23,0
10/06/2017,23,24,2
17/06/2017,56,25,0
24/06/2017,27,26,0
01/07/2017,34,27,0
08/07/2017,0,28,1
15/07/2017,26,29,0
22/07/2017,0,30,0
29/07/2017,11,31,0
05/08/2017,15,32,1
12/08/2017,12,33,0
19/08/2017,24,34,0
26/08/2017,21,35,2
02/09/2017,16,36,0
09/09/2017,8,37,0
16/09/2017,6,38,1
23/09/2017,0,39,1
30/09/2017,5,40,0
07/10/2017,7,41,0
14/10/2017,3,42,1
21/10/2017,0,43,1
28/10/2017,0,44,0
04/11/2017,0,45,0
11/11/2017,8,46,0
18/11/2017,6,47,0
25/11/2017,7,48,0
02/12/2017,6,49,3
09/12/2017,0,50,0
16/12/2017,12,51,0
23/12/2017,42,52,0
