Date,Searches,WeekNumber,Cases
02/01/2016,100,1,9
09/01/2016,100,2,0
16/01/2016,100,3,3
23/01/2016,55,4,11
30/01/2016,98,5,11
06/02/2016,89,6,10
13/02/2016,70,7,9
20/02/2016,38,8,3
27/02/2016,58,9,15
05/03/2016,67,10,3
12/03/2016,81,11,7
19/03/2016,100,12,6
26/03/2016,65,13,14
02/04/2016,45,14,10
09/04/2016,67,15,11
16/04/2016,100,16,1
23/04/2016,99,17,5
30/04/2016,73,18,3
07/05/2016,100,19,0
14/05/2016,100,20,1
21/05/2016,100,21,0
28/05/2016,100,22,10
04/06/2016,100,23,7
11/06/2016,100,24,0
18/06/2016,100,25,59
25/06/2016,100,26,43
02/07/2016,59,27,45
09/07/2016,44,28,55
16/07/2016,100,29,45
23/07/2016,75,30,46
30/07/2016,64,31,21
06/08/2016,34,32,20
13/08/2016,14,33,16
20/08/2016,21,34,15
27/08/2016,11,35,29
03/09/2016,19,36,3
10/09/2016,14,37,2
17/09/2016,16,38,12
24/09/2016,13,39,1
01/10/2016,11,40,47
08/10/2016,16,41,105
15/10/2016,8,42,3
22/10/2016,6,43,4
29/10/2016,4,44,1
05/11/2016,17,45,46
12/11/2016,24,46,0
19/11/2016,18,47,0
26/11/2016,9,48,0
03/12/2016,13,49,0
10/12/2016,0,50,1
17/12/2016,11,51,0
24/12/2016,0,52,0
31/12/2016,22,1,0
07/01/2017,8,2,0
14/01/2017,0,3,0
21/01/2017,0,4,0
28/01/2017,26,5,0
04/02/2017,0,6,0
11/02/2017,26,7,0
18/02/2017,0,8,0
25/02/2017,35,9,0
04/03/2017,100,10,0
11/03/2017,14,11,0
18/03/2017,19,12,0
25/03/2017,32,13,0
01/04/2017,0,14,0
08/04/2017,24,15,0
15/04/2017,0,16,0
22/04/2017,0,17,0
29/04/2017,11,18,0
06/05/2017,64,19,0
13/05/2017,21,20,0
20/05/2017,82,21,0
27/05/2017,48,22,0
03/06/2017,0,23,0
10/06/2017,29,24,0
17/06/2017,16,25,0
24/06/2017,23,26,0
01/07/2017,15,27,0
08/07/2017,16,28,0
15/07/2017,12,29,0
22/07/2017,12,30,3
29/07/2017,10,31,0
05/08/2017,0,32,2
12/08/2017,0,33,0
19/08/2017,28,34,0
26/08/2017,8,35,0
02/09/2017,13,36,0
09/09/2017,21,37,0
16/09/2017,0,38,0
23/09/2017,5,39,0
30/09/2017,4,40,0
07/10/2017,11,41,0
14/10/2017,4,42,0
21/10/2017,5,43,0
28/10/2017,0,44,0
04/11/2017,6,45,0
11/11/2017,4,46,0
18/11/2017,5,47,0
25/11/2017,0,48,0
02/12/2017,5,49,0
09/12/2017,0,50,0
16/12/2017,0,51,0
23/12/2017,0,52,0
