Date,Searches,Observed,NN-Prediction,NNError,Naive-Prediction,NaiveError
01/02/2016,0.45,3264.335428,2723.76987425663,-540.56555374337,2527.3012570000005,-737.0341709999993
08/02/2016,0.37,3985.9130659999996,3593.4145817077256,-392.49848429227404,3264.335428,-721.5776379999998
15/02/2016,0.63,4614.751507,4302.587762036209,-312.16374496379103,3985.9130659999996,-628.8384410000003
22/02/2016,0.71,5228.133415,4874.967466153812,-353.16594884618826,4614.751507,-613.3819080000003
29/02/2016,0.79,5611.787993,5434.491255603866,-177.29673739613372,5228.133415,-383.6545779999997
07/03/2016,0.84,4617.078592,5714.984098898812,1097.9055068988118,5611.787993,994.7094010000001
14/03/2016,0.71,3392.6418619999995,4181.5857016565515,788.943839656552,4617.078592,1224.4367300000004
21/03/2016,0.88,2601.358138,2508.237359604187,-93.12077839581298,3392.6418619999995,791.2837239999994
28/03/2016,0.65,2243.2274199999997,1872.698577283945,-370.52884271605467,2601.358138,358.13071800000034
04/04/2016,0.74,1883.7311339999999,1820.9051274153137,-62.82600658468618,2243.2274199999997,359.4962859999998
11/04/2016,0.54,1516.0414460000002,1589.7089483033276,73.66750230332741,1883.7311339999999,367.6896879999997
18/04/2016,0.61,1146.98619,1222.4650946594572,75.47890465945716,1516.0414460000002,369.0552560000001
25/04/2016,0.42,777.9309341,860.4924118738461,82.56147777384615,1146.98619,369.05525590000013
02/05/2016,0.35,546.9723720999999,505.28319840072396,-41.689173699275955,777.9309341,230.95856200000003
09/05/2016,0.35,454.11050399999993,330.5351262368369,-123.57537776316303,546.9723720999999,92.86186809999998
16/05/2016,0.74,361.24863579999993,335.87807492763756,-25.370560872362375,454.11050399999993,92.8618682
23/05/2016,0.38,268.38676769999995,282.5718029737592,14.18503527375924,361.24863579999993,92.86186809999998
30/05/2016,0.46,175.52489960000003,184.35168641144634,8.826786811446311,268.38676769999995,92.86186809999992
06/06/2016,0.29,134.4892767,94.11471355463982,-40.374563145360185,175.52489960000003,41.03562290000002
13/06/2016,0.27,145.2798989,81.2307206574905,-64.04917824250951,134.4892767,-10.790622200000001
20/06/2016,0.22,156.07052119999997,121.81162799245595,-34.25889320754402,145.2798989,-10.790622299999967
27/06/2016,0.32,166.8611435,149.05732436599672,-17.803819134003277,156.07052119999997,-10.790622300000024
04/07/2016,0.43,177.6517657,156.23857395532846,-21.413191744671536,166.8611435,-10.790622200000001
11/07/2016,0.44,188.442388,166.2446489244926,-22.1977390755074,177.6517657,-10.790622299999995
18/07/2016,0.5,166.89676640000002,174.29801564200878,7.40124924200876,188.442388,21.545621599999976
25/07/2016,0.42,113.01490090000001,142.13824495630323,29.12334405630321,166.89676640000002,53.8818655
01/08/2016,0.54,59.13303543,69.51742987961441,10.384394449614412,113.01490090000001,53.881865470000015
08/08/2016,0.29,5.25116994,10.41284117174104,5.16167123174104,59.13303543,53.88186549
15/08/2016,0.43,4.74883006,2.6292844046002255,-2.119545655399775,5.25116994,0.5023398799999992
22/08/2016,0.21,57.62601579,0.8985980940822605,-56.72741769591774,4.74883006,-52.877185729999994
29/08/2016,0.26,76.37398421,73.5861802797556,-2.787803930244408,57.62601579,-18.747968420000007
05/09/2016,0.45,60.992735339999996,86.80235601048112,25.809620670481124,76.37398421,15.381248870000007
12/09/2016,0.79,45.611486469999996,48.323140745102464,2.711654275102468,60.992735339999996,15.38124887
19/09/2016,0.4,41.30937556,22.649564568083285,-18.659810991916714,45.611486469999996,4.302110909999996
26/09/2016,0.3,48.08640263,22.516058073936254,-25.57034455606375,41.30937556,-6.777027070000003
03/10/2016,0.28,54.86342968999999,38.14050675857127,-16.72292293142872,48.08640263,-6.777027059999988
10/10/2016,0.31,83.13657031,53.592985432908236,-29.54358487709176,54.86342968999999,-28.273140620000007
17/10/2016,0.76,132.90582450000002,83.45349208947539,-49.45233241052463,83.13657031,-49.76925419000003
24/10/2016,0.81,140.09417549999995,144.67473344155073,4.580557941550779,132.90582450000002,-7.188350999999926
31/10/2016,0.32,104.7016233,138.04335070622324,33.34172740622324,140.09417549999995,35.392552199999955
07/11/2016,0.25,88.29837673,70.37522436690182,-17.923152363098183,104.7016233,16.403246569999993
14/11/2016,0.45,91.0,59.24085272196323,-31.75914727803677,88.29837673,-2.701623269999999
21/11/2016,0.25,99.0,81.28898069741011,-17.71101930258989,91.0,-8.0
28/11/2016,0.43,124.0,87.88130999938488,-36.11869000061512,99.0,-25.0
05/12/2016,0.15,93.99999999999999,118.23870528684259,24.238705286842603,124.0,30.000000000000014
12/12/2016,0.26,81.99999999999999,76.4872421686539,-5.512757831346079,93.99999999999999,12.0
19/12/2016,0.32,68.0,52.498954257849455,-15.501045742150545,81.99999999999999,13.999999999999986
26/12/2016,0.35,29.0,49.64796673607201,20.647966736072007,68.0,39.0
02/01/2017,0.24,-24.056827069999997,4.777649099769816,28.834476169769815,29.0,53.05682707
09/01/2017,0.21,1.6477243080000001,0.5196308821975719,-1.1280934258024282,-24.056827069999997,-25.704551377999998
16/01/2017,0.13,27.35227569,-0.5846585357123427,-27.936934225712342,1.6477243080000001,-25.704551382
