Date,Searches,Observed,Predicted,error
30/01/2016,0.71,0.0,-0.5391741108226776,0.5391741108226776
06/02/2016,0.35,0.0,-0.2813195718088746,0.2813195718088746
13/02/2016,0.36,0.0,0.025530247019715607,-0.025530247019715607
20/02/2016,0.09,0.0,0.1828373391221836,-0.1828373391221836
27/02/2016,0.1,0.0,-0.6047739441114665,0.6047739441114665
05/03/2016,0.41,1.0,-0.2193479981352389,1.2193479981352389
12/03/2016,1.0,0.0,0.7676706342074275,-0.7676706342074275
19/03/2016,0.18,0.0,-0.6302902599669993,0.6302902599669993
26/03/2016,0.19,0.0,-0.19081501081064345,0.19081501081064345
02/04/2016,0.32,0.0,-0.7516240746089816,0.7516240746089816
09/04/2016,0.2,0.0,-0.2696510785357654,0.2696510785357654
16/04/2016,0.14,1.0,-0.4326542656338215,1.4326542656338215
23/04/2016,0.17,1.0,0.7875123596987128,0.2124876403012872
30/04/2016,0.0,1.0,0.6202747233049571,0.37972527669504286
07/05/2016,0.07,2.0,0.46593750109836457,1.5340624989016354
14/05/2016,0.22,0.0,1.706741210973859,-1.706741210973859
21/05/2016,0.0,1.0,-0.8364859898820519,1.836485989882052
28/05/2016,0.06,3.0,0.4787304813596606,2.5212695186403393
04/06/2016,0.14,1.0,2.8261284784537555,-1.8261284784537555
11/06/2016,0.12,4.0,0.11891232399914414,3.8810876760008557
18/06/2016,0.22,5.0,3.171165023692846,1.8288349763071539
25/06/2016,0.05,6.0,4.283935289340019,1.716064710659981
02/07/2016,0.03,10.0,4.668774676419496,5.331225323580504
09/07/2016,0.11,2.0,9.161521185307503,-7.161521185307503
16/07/2016,0.09,2.0,0.10899065817598254,1.8910093418240175
23/07/2016,0.13,4.0,0.6985421675312519,3.3014578324687482
30/07/2016,0.35,6.0,3.8389650268757345,2.1610349731242655
06/08/2016,0.13,8.0,4.830486291790009,3.1695137082099913
13/08/2016,0.27,4.0,6.380821374406815,-2.380821374406815
20/08/2016,0.48,3.0,3.252094536048174,-0.2520945360481739
27/08/2016,0.41,12.999999999999998,1.1968580141919851,11.803141985808013
03/09/2016,0.46,22.0,11.732215868082047,10.267784131917953
10/09/2016,0.4,28.0,19.136612008109093,8.863387991890907
17/09/2016,0.56,14.999999999999998,17.993128131980896,-2.9931281319808978
24/09/2016,0.5,11.0,9.189539667634964,1.810460332365036
01/10/2016,0.42,35.0,9.174548173434735,25.825451826565264
08/10/2016,0.66,17.0,28.09792775256157,-11.09792775256157
15/10/2016,0.28,21.0,11.324661522610187,9.675338477389813
22/10/2016,0.31,24.0,14.867787425365448,9.132212574634552
29/10/2016,0.54,23.0,17.51728221583843,5.482717784161569
05/11/2016,0.67,0.0,17.000485770850183,-17.000485770850183
12/11/2016,0.34,0.0,-2.67566137604177,2.67566137604177
19/11/2016,0.62,7.0,1.3838663929474353,5.616133607052564
26/11/2016,0.25,4.0,2.3356715483933685,1.6643284516066315
03/12/2016,0.17,7.0,2.5546670401132108,4.445332959886789
10/12/2016,0.12,6.0,6.232623233678341,-0.23262323367834092
17/12/2016,0.69,1.0,4.885913274453879,-3.8859132744538787
24/12/2016,1.0,4.0,-0.9671528591412306,4.967152859141231
31/12/2016,0.28,2.0,1.8266640630304813,0.17333593696951866
07/01/2017,0.11,0.0,2.32403317052722,-2.32403317052722
14/01/2017,0.16,0.0,-0.6695860029695928,0.6695860029695928
21/01/2017,0.26,1.0,-1.0409820062282682,2.040982006228268
28/01/2017,0.37,0.0,0.4951259335246682,-0.4951259335246682
04/02/2017,0.09,3.0,-0.4658503671875596,3.4658503671875596
11/02/2017,0.0,0.0,2.493073671335578,-2.493073671335578
18/02/2017,0.44,0.0,-0.17475866928186268,0.17475866928186268
25/02/2017,0.27,1.0,-0.49014163290336726,1.4901416329033672
04/03/2017,0.15,0.0,-0.09640732576254755,0.09640732576254755
11/03/2017,0.0,0.0,0.10666777876015753,-0.10666777876015753
18/03/2017,0.0,1.0,-0.48560611876890064,1.4856061187689007
25/03/2017,0.0,0.0,0.6313839177015423,-0.6313839177015423
01/04/2017,0.27,0.0,-0.48669634111627935,0.48669634111627935
08/04/2017,0.0,1.0,-0.5844350244051219,1.584435024405122
15/04/2017,0.31,0.0,0.33750448118895293,-0.33750448118895293
22/04/2017,0.24,0.0,0.045373640012238176,-0.045373640012238176
29/04/2017,0.0,0.0,-1.008786896186471,1.008786896186471
06/05/2017,0.0,0.0,0.039243297579064966,-0.039243297579064966
13/05/2017,0.0,0.0,-0.2952094667302072,0.2952094667302072
20/05/2017,0.0,1.0,-0.5217980117762089,1.5217980117762089
27/05/2017,0.13,0.0,0.6529084475183486,-0.6529084475183486
03/06/2017,0.25,0.0,-0.44822103103011846,0.44822103103011846
10/06/2017,0.15,0.0,-0.7635392465266585,0.7635392465266585
17/06/2017,0.7,2.0,-0.39927519625201824,2.3992751962520185
24/06/2017,0.34,0.0,2.075681090871692,-2.075681090871692
01/07/2017,0.77,0.0,-1.0223921001273393,1.0223921001273393
08/07/2017,1.0,0.0,0.6830563791181147,-0.6830563791181147
15/07/2017,0.83,0.0,1.5295182425558567,-1.5295182425558567
22/07/2017,1.0,0.0,1.321544989783466,-1.321544989783466
29/07/2017,1.0,0.0,2.9439165720033644,-2.9439165720033644
05/08/2017,1.0,0.0,3.8013363835716247,-3.8013363835716247
12/08/2017,1.0,0.0,3.3486190999746324,-3.3486190999746324
19/08/2017,0.88,0.0,3.921130921686888,-3.921130921686888
26/08/2017,1.0,0.0,3.3201152019023894,-3.3201152019023894
