Date,Searches,Observed,GRU-Prediction,GRUError,Naive-Prediction,NaiveError
06/02/2016,0.36,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
13/02/2016,0.59,0.0,0.012919201198098017,0.012919201198098017,1.0,1.0
20/02/2016,0.27,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
27/02/2016,0.3,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
05/03/2016,0.37,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
12/03/2016,0.67,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
19/03/2016,0.2,1.0,0.012919201198098017,-0.987080798801902,0.0,-1.0
26/03/2016,0.38,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
02/04/2016,0.21,2.0,0.012919201198098017,-1.987080798801902,1.0,-1.0
09/04/2016,0.42,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
16/04/2016,0.19,1.0,0.012919201198098017,-0.987080798801902,2.0,1.0
23/04/2016,0.16,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
30/04/2016,0.17,0.0,0.012919201198098017,0.012919201198098017,1.0,1.0
07/05/2016,0.15,2.0,0.012919201198098017,-1.987080798801902,0.0,-2.0
14/05/2016,0.12,1.0,0.012919201198098017,-0.987080798801902,0.0,-1.0
21/05/2016,0.11,0.0,0.012919201198098017,0.012919201198098017,2.0,2.0
28/05/2016,0.17,0.0,0.5559326114888768,0.5559326114888768,1.0,1.0
04/06/2016,0.16,0.0,0.11828200741323526,0.11828200741323526,0.0,0.0
11/06/2016,0.08,3.0,0.012919201198098017,-2.987080798801902,0.0,-3.0
18/06/2016,0.08,1.0,0.012919201198098017,-0.987080798801902,0.0,-1.0
25/06/2016,0.09,1.0,1.846429263878148,0.8464292638781481,3.0,2.0
02/07/2016,0.09,9.0,7.248349748390541,-1.7516502516094592,1.0,-8.0
09/07/2016,0.1,15.000000000000002,2.7471506097489966,-12.252849390251004,1.0,-14.000000000000002
16/07/2016,0.15,18.0,12.535677648973465,-5.464322351026535,9.0,-9.0
23/07/2016,0.25,43.0,29.122983676441013,-13.877016323558987,15.000000000000002,-28.0
30/07/2016,0.61,74.0,35.3336628854081,-38.6663371145919,18.0,-56.0
06/08/2016,0.69,42.0,41.27747714211047,-0.7225228578895297,43.0,1.0
13/08/2016,0.96,91.0,88.88799404396414,-2.1120059560358584,74.0,-17.0
20/08/2016,1.0,85.00000000000001,83.66168745401502,-1.3383125459849907,42.0,-43.000000000000014
27/08/2016,1.0,114.0,112.18623592222333,-1.8137640777766677,91.0,-23.0
03/09/2016,0.98,173.0,173.50785092297792,0.5078509229779229,85.00000000000001,-87.99999999999999
10/09/2016,0.88,36.0,39.84511645955742,3.845116459557417,114.0,78.0
17/09/2016,0.83,97.0,90.84142064043283,-6.15857935956717,173.0,76.0
24/09/2016,0.54,195.0,194.16656707220076,-0.8334329277992367,36.0,-159.0
01/10/2016,0.34,102.0,99.043702164042,-2.9562978359579972,97.0,-5.0
08/10/2016,0.54,103.00000000000001,97.54121807870865,-5.4587819212913615,195.0,91.99999999999999
15/10/2016,0.28,182.0,180.55587667284013,-1.444123327159872,102.0,-80.0
22/10/2016,0.29,123.0,119.7068959212482,-3.293104078751796,103.00000000000001,-19.999999999999986
29/10/2016,0.32,61.0,59.223918521142004,-1.7760814788579964,182.0,121.0
05/11/2016,0.32,135.0,140.68523397943378,5.685233979433775,123.0,-12.0
12/11/2016,0.23,28.0,27.46530888978839,-0.534691110211611,61.0,33.0
19/11/2016,0.24,11.0,10.449113537589461,-0.5508864624105385,135.0,124.0
26/11/2016,0.19,9.0,9.441687402630224,0.4416874026302242,28.0,19.0
03/12/2016,0.22,8.0,8.631197443204373,0.631197443204373,11.0,3.0
10/12/2016,0.44,16.0,15.767713975895196,-0.2322860241048037,9.0,-7.0
17/12/2016,0.07,1.0,0.012919201198098017,-0.987080798801902,8.0,7.0
24/12/2016,0.11,2.0,1.6133798320829869,-0.38662016791701315,16.0,14.0
31/12/2016,0.14,70.0,0.012919201198098017,-69.9870807988019,1.0,-69.0
07/01/2017,0.17,1.0,0.012919201198098017,-0.987080798801902,2.0,1.0
14/01/2017,0.04,0.0,0.046666912320250414,0.046666912320250414,70.0,70.0
21/01/2017,0.32,0.0,0.012919201198098017,0.012919201198098017,1.0,1.0
28/01/2017,0.19,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
04/02/2017,0.18,1.0,0.5421995375704486,-0.4578004624295514,0.0,-1.0
11/02/2017,0.29,1.0,0.012919201198098017,-0.987080798801902,0.0,-1.0
18/02/2017,0.36,2.0,0.012919201198098017,-1.987080798801902,1.0,-1.0
25/02/2017,0.46,0.0,0.012919201198098017,0.012919201198098017,1.0,1.0
04/03/2017,0.07,1.0,0.012919201198098017,-0.987080798801902,2.0,1.0
11/03/2017,0.25,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
18/03/2017,0.41,0.0,0.012919201198098017,0.012919201198098017,1.0,1.0
25/03/2017,0.29,1.0,0.36173328921529463,-0.6382667107847053,0.0,-1.0
01/04/2017,1.0,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
08/04/2017,0.56,0.0,0.012919201198098017,0.012919201198098017,1.0,1.0
15/04/2017,0.37,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
22/04/2017,0.36,3.0,0.012919201198098017,-2.987080798801902,0.0,-3.0
29/04/2017,0.15,1.0,0.012919201198098017,-0.987080798801902,0.0,-1.0
06/05/2017,0.24,0.0,0.012919201198098017,0.012919201198098017,3.0,3.0
13/05/2017,0.16,0.0,0.012919201198098017,0.012919201198098017,1.0,1.0
20/05/2017,0.45,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
27/05/2017,0.18,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
03/06/2017,0.0,1.0,0.012919201198098017,-0.987080798801902,0.0,-1.0
10/06/2017,0.18,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
17/06/2017,0.06,1.0,0.17344784867917187,-0.8265521513208282,1.0,0.0
24/06/2017,0.41,4.0,1.750894015384838,-2.249105984615162,0.0,-4.0
01/07/2017,0.47,0.0,0.012919201198098017,0.012919201198098017,1.0,1.0
08/07/2017,0.22,0.0,0.0866164776897931,0.0866164776897931,4.0,4.0
15/07/2017,0.16,2.0,0.012919201198098017,-1.987080798801902,0.0,-2.0
22/07/2017,0.04,0.0,0.012919201198098017,0.012919201198098017,0.0,0.0
29/07/2017,0.07,1.0,0.012919201198098017,-0.987080798801902,2.0,1.0
05/08/2017,0.09,1.0,0.8404579888562672,-0.1595420111437328,0.0,-1.0
12/08/2017,0.1,1.0,5.703561696702614,4.703561696702614,1.0,0.0
19/08/2017,0.17,1.0,1.5471212976676412,0.5471212976676412,1.0,0.0
26/08/2017,0.18,2.0,1.5031618010395207,-0.4968381989604793,1.0,-1.0
02/09/2017,0.14,1.0,0.09628170852257753,-0.9037182914774224,1.0,0.0
09/09/2017,0.19,2.0,0.012919201198098017,-1.987080798801902,2.0,0.0
16/09/2017,0.06,7.0,0.012919201198098017,-6.987080798801902,1.0,-6.0
23/09/2017,0.04,1.0,0.06416793823550106,-0.935832061764499,2.0,1.0
30/09/2017,0.06,12.0,5.087144129518419,-6.912855870481581,7.0,-5.0
07/10/2017,0.08,13.0,11.241785542676597,-1.7582144573234029,1.0,-12.0
14/10/2017,0.06,15.000000000000002,13.568801071110368,-1.4311989288896338,12.0,-3.0000000000000018
21/10/2017,0.03,1.0,19.09334004635662,18.09334004635662,13.0,12.0
28/10/2017,0.07,21.0,21.10138282227665,0.1013828222766513,15.000000000000002,-5.999999999999998
04/11/2017,0.04,5.0,0.012919201198098017,-4.987080798801902,1.0,-4.0
11/11/2017,0.04,8.0,4.5412238042799755,-3.4587761957200245,21.0,13.0
18/11/2017,0.04,3.0,2.2399939607246777,-0.7600060392753223,5.0,2.0
25/11/2017,0.05,5.0,4.809599526138976,-0.19040047386102366,8.0,3.0
02/12/2017,0.03,3.0,0.012919201198098017,-2.987080798801902,3.0,0.0
09/12/2017,0.04,5.0,4.5518197420164945,-0.44818025798350547,5.0,0.0
16/12/2017,0.07,3.0,1.905822243530955,-1.094177756469045,3.0,0.0
23/12/2017,0.0,3.0,7.112322459748388,4.112322459748388,5.0,2.0
