,predictions_incidence,observed_incidence,predicted_cases,observed_cases,error
0,0.24120634195128857,0.08349782404670535,5.777547970983469,2.0,3.777547970983469
1,0.19253455205779846,0.0,4.61172621576587,0.0,4.61172621576587
2,0.18472607679528705,0.0,4.4246919941760074,0.0,4.4246919941760074
3,0.18018354699928332,0.04174891202335267,4.315886049880674,1.0,3.3158860498806737
4,0.13964498132097902,0.0,3.3448771369866406,0.0,3.3448771369866406
5,0.1641548767254928,0.125246736070058,3.931955798840246,3.0,0.9319557988402458
6,0.17187474172236664,0.0,4.1168675635481655,0.0,4.1168675635481655
7,0.09789162911117918,0.0,2.344770782443924,0.0,2.344770782443924
8,0.11096965160301496,0.04174891202335267,2.6580249933445685,1.0,1.6580249933445685
9,0.1198499517289171,0.0,2.870732335776267,0.0,2.870732335776267
10,0.13444812988486526,0.0,3.22039840965581,0.0,3.22039840965581
11,0.12627061311997279,0.04174891202335267,3.0245246402910344,1.0,2.0245246402910344
12,0.11845783660942988,0.0,2.837387392111423,0.0,2.837387392111423
13,0.0716144386505038,0.0,1.7153605969526955,0.0,1.7153605969526955
14,0.10501450769628771,0.04174891202335267,2.5153830987870247,1.0,1.5153830987870247
15,0.052831779701547704,0.0,1.2654648262928556,0.0,1.2654648262928556
16,0.057304275603460055,0.0,1.3725932683325097,0.0,1.3725932683325097
17,0.08733129859285134,0.0,2.091822142430962,0.0,2.091822142430962
18,0.08213957767478992,0.0,1.967466304962494,0.0,1.967466304962494
19,0.07724487696064844,0.0,1.850224909272863,0.0,1.850224909272863
20,0.07265597048501203,0.04174891202335267,1.7403081173557573,1.0,0.7403081173557573
21,0.049106080737597105,0.0,1.1762242022050569,0.0,1.1762242022050569
22,0.027286022270450655,0.0,0.6535744513578688,0.0,0.6535744513578688
23,0.038260537269478256,0.0,0.9164439362653772,0.0,0.9164439362653772
24,-0.04671241946879616,0.08349782404670535,-1.118889504058623,2.0,-3.118889504058623
25,0.003175009373411586,0.0,0.07605011051870315,0.0,0.07605011051870315
26,-0.06362924193151709,0.0,-1.524093415797888,0.0,-1.524093415797888
27,-0.10065116120075993,0.0,-2.4108690819166663,0.0,-2.4108690819166663
28,-0.07830941561775986,0.0,-1.875723505655829,0.0,-1.875723505655829
29,-0.10610861138495264,0.0,-2.541589858092583,0.0,-2.541589858092583
30,-0.10859664604920434,0.0,-2.601185055755698,0.0,-2.601185055755698
31,-0.11093670049776727,0.0,-2.65723572474688,0.0,-2.65723572474688
32,-0.11313766866597734,0.0,-2.709954899008929,0.0,-2.709954899008929
33,-0.09745211215500796,0.0,-2.3342431558575023,0.0,-2.3342431558575023
34,-0.11715494477533944,0.0,-2.8061795888191683,0.0,-2.8061795888191683
35,-0.034646598319201034,0.0,-0.829880268492293,0.0,-0.829880268492293
36,-0.09407521501374339,0.0,-2.2533572841639913,0.0,-2.2533572841639913
37,-0.01135563016148583,0.0,-0.27199822968162485,0.0,-0.27199822968162485
38,-0.038033389488471674,0.0,-0.9110031290683052,0.0,-0.9110031290683052
39,-0.009873745815510461,0.0,-0.23650306887009373,0.0,-0.23650306887009373
40,-0.04081466612062094,0.0,-0.9776222694807196,0.0,-0.9776222694807196
41,0.0008270952189469542,0.0,0.01981118019277509,0.0,0.01981118019277509
42,-0.003324737566149618,0.0,-0.07963650799546328,0.0,-0.07963650799546328
43,-0.0059260397987606,0.0,-0.141944772008569,0.0,-0.141944772008569
44,-0.0010624494393902777,0.0,-0.02544855393587229,0.0,-0.02544855393587229
45,-0.0020547246269276044,0.04174891202335267,-0.04921624366590137,1.0,-1.0492162436659014
46,-0.016304812565969058,0.04174891202335267,-0.39054461004513835,1.0,-1.3905446100451384
47,0.0035323858662935324,0.04174891202335267,0.08461024958728641,1.0,-0.9153897504127135
48,-0.016528622543251208,0.0,-0.39590546776418406,0.0,-0.39590546776418406
49,0.006369119757795382,0.0,0.15255774220494062,0.0,0.15255774220494062
50,-0.016555939252609543,0.0,-0.39655977725476566,0.0,-0.39655977725476566
51,-0.06163224079651375,0.0,-1.4762598067714707,0.0,-1.4762598067714707
