,ds,trend,trend_lower,trend_upper,yhat_lower,yhat_upper,Searches,Searches_lower,Searches_upper,additive_terms,additive_terms_lower,additive_terms_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,yhat
0,2016-01-02,1711.5369211332095,1711.5369211332095,1711.5369211332095,1027.6056550849185,3049.9693221137904,247.96876179390267,247.96876179390267,247.96876179390267,334.14980116658916,334.14980116658916,334.14980116658916,247.96876179390267,247.96876179390267,247.96876179390267,0.0,0.0,0.0,86.18103937268651,86.18103937268651,86.18103937268651,2045.6867222997987
1,2016-01-08,1693.2966972170432,1693.2966972170432,1693.2966972170432,467.28084217012673,2623.874263993177,451.92197887570666,451.92197887570666,451.92197887570666,-173.9275500142854,-173.9275500142854,-173.9275500142854,451.92197887570666,451.92197887570666,451.92197887570666,0.0,0.0,0.0,-625.849528889992,-625.849528889992,-625.849528889992,1519.3691472027579
2,2016-01-18,1662.8963240234332,1662.8963240234332,1662.8963240234332,-76.44567791205371,2011.388097394851,-273.2450151929296,-273.2450151929296,-273.2450151929296,-669.2164158820598,-669.2164158820598,-669.2164158820598,-273.2450151929296,-273.2450151929296,-273.2450151929296,0.0,0.0,0.0,-395.9714006891302,-395.9714006891302,-395.9714006891302,993.6799081413734
3,2016-01-25,1641.6160627879058,1641.6160627879058,1641.6160627879058,380.3330806674009,2486.2039386282777,134.66141897067828,134.66141897067828,134.66141897067828,-261.309981719243,-261.309981719243,-261.309981719243,134.66141897067828,134.66141897067828,134.66141897067828,0.0,0.0,0.0,-395.97140068992127,-395.97140068992127,-395.97140068992127,1380.3060810686627
4,2016-02-05,1608.175652178723,1608.175652178723,1608.175652178723,-37.54285623094372,2105.458152643474,21.354076147453856,21.354076147453856,21.354076147453856,-604.4954527461346,-604.4954527461346,-604.4954527461346,21.354076147453856,21.354076147453856,21.354076147453856,0.0,0.0,0.0,-625.8495288935885,-625.8495288935885,-625.8495288935885,1003.6801994325886
5,2016-02-15,1577.7752788976477,1577.7752788976477,1577.7752788976477,759.3560040263936,2869.4820828813827,655.8751959575105,655.8751959575105,655.8751959575105,259.903795268902,259.903795268902,259.903795268902,655.8751959575105,655.8751959575105,655.8751959575105,0.0,0.0,0.0,-395.9714006886086,-395.9714006886086,-395.9714006886086,1837.6790741665498
6,2016-02-22,1556.495017600895,1556.495017600895,1556.495017600895,916.9126679561653,3008.6088730712254,837.1669444746697,837.1669444746697,837.1669444746697,441.1955437842283,441.1955437842283,441.1955437842283,837.1669444746697,837.1669444746697,837.1669444746697,0.0,0.0,0.0,-395.97140069044144,-395.97140069044144,-395.97140069044144,1997.6905613851231
7,2016-02-29,1535.2147563041424,1535.2147563041424,1535.2147563041424,1123.9391527096163,3131.6826026448525,1018.4586929918287,1018.4586929918287,1018.4586929918287,622.4872923021992,622.4872923021992,622.4872923021992,1018.4586929918287,1018.4586929918287,1018.4586929918287,0.0,0.0,0.0,-395.9714006896296,-395.9714006896296,-395.9714006896296,2157.7020486063416
8,2016-03-10,1504.814383030153,1504.814383030153,1504.814383030153,-433.8650362744985,1635.2754903835778,-137.2762038050603,-137.2762038050603,-137.2762038050603,-876.4576653450541,-876.4576653450541,-876.4576653450541,-137.2762038050603,-137.2762038050603,-137.2762038050603,0.0,0.0,0.0,-739.1814615399937,-739.1814615399937,-739.1814615399937,628.3567176850989
9,2016-03-14,1492.6542337205572,1492.6542337205572,1492.6542337205572,905.6324526770028,2989.4022846751363,837.1669444746697,837.1669444746697,837.1669444746697,441.1955437844994,441.1955437844994,441.1955437844994,837.1669444746697,837.1669444746697,837.1669444746697,0.0,0.0,0.0,-395.97140069017024,-395.97140069017024,-395.97140069017024,1933.8497775050566
10,2016-03-21,1471.3739724287645,1471.3739724287645,1471.3739724287645,1281.040818373623,3319.5960580128576,1222.4119100736327,1222.4119100736327,1222.4119100736327,826.4405093842743,826.4405093842743,826.4405093842743,1222.4119100736327,1222.4119100736327,1222.4119100736327,0.0,0.0,0.0,-395.97140068935846,-395.97140068935846,-395.97140068935846,2297.8144818130386
11,2016-03-28,1450.0937111503058,1450.0937111503058,1450.0937111503058,686.0521089034418,2793.66004967046,701.1981330868002,701.1981330868002,701.1981330868002,305.22673239713106,305.22673239713106,305.22673239713106,701.1981330868002,701.1981330868002,701.1981330868002,0.0,0.0,0.0,-395.9714006896692,-395.9714006896692,-395.9714006896692,1755.3204435474368
12,2016-04-01,1437.9335618483294,1437.9335618483294,1437.9335618483294,-554.441434669931,1511.9715665386157,-318.56795232221936,-318.56795232221936,-318.56795232221936,-944.4174812111565,-944.4174812111565,-944.4174812111565,-318.56795232221936,-318.56795232221936,-318.56795232221936,0.0,0.0,0.0,-625.8495288889371,-625.8495288889371,-625.8495288889371,493.5160806371729
13,2016-04-04,1428.813449871847,1428.813449871847,1428.813449871847,814.8478334756782,3012.0361832659346,905.1513501686044,905.1513501686044,905.1513501686044,509.1799494787051,509.1799494787051,509.1799494787051,905.1513501686044,905.1513501686044,905.1513501686044,0.0,0.0,0.0,-395.97140068989916,-395.97140068989916,-395.97140068989916,1937.9933993505522
14,2016-04-07,1419.693343194681,1419.693343194681,1419.693343194681,-218.08525409207732,1887.232295224147,202.64582466461292,202.64582466461292,202.64582466461292,-536.5356368757641,-536.5356368757641,-536.5356368757641,202.64582466461292,202.64582466461292,202.64582466461292,0.0,0.0,0.0,-739.1814615403771,-739.1814615403771,-739.1814615403771,883.1577063189168
15,2016-04-18,1386.252952045072,1386.252952045072,1386.252952045072,542.8032344692297,2636.469135813032,610.5522588282208,610.5522588282208,610.5522588282208,214.58085813882286,214.58085813882286,214.58085813882286,610.5522588282208,610.5522588282208,610.5522588282208,0.0,0.0,0.0,-395.97140068939797,-395.97140068939797,-395.97140068939797,1600.833810183895
16,2016-04-25,1364.9727031316847,1364.9727031316847,1364.9727031316847,107.50189991375154,2258.233611214045,179.984356099968,179.984356099968,179.984356099968,-215.98704458917948,-215.98704458917948,-215.98704458917948,179.984356099968,179.984356099968,179.984356099968,0.0,0.0,0.0,-395.9714006891475,-395.9714006891475,-395.9714006891475,1148.9856585425052
17,2016-05-09,1322.4122055195317,1322.4122055195317,1322.4122055195317,98.26438487869352,2159.5695073520164,247.96876179390267,247.96876179390267,247.96876179390267,-148.00263889522424,-148.00263889522424,-148.00263889522424,247.96876179390267,247.96876179390267,247.96876179390267,0.0,0.0,0.0,-395.9714006891269,-395.9714006891269,-395.9714006891269,1174.4095666243074
18,2016-05-12,1313.2920988883561,1313.2920988883561,1313.2920988883561,-894.9764220198299,1210.5920721549207,-431.87529514544383,-431.87529514544383,-431.87529514544383,-1171.0567566890406,-1171.0567566890406,-1171.0567566890406,-431.87529514544383,-431.87529514544383,-431.87529514544383,0.0,0.0,0.0,-739.1814615435968,-739.1814615435968,-739.1814615435968,142.23534219931548
19,2016-05-16,1301.1319567134549,1301.1319567134549,1301.1319567134549,792.5814753666704,2935.9401244573446,905.1513501686044,905.1513501686044,905.1513501686044,509.1799494797278,509.1799494797278,509.1799494797278,905.1513501686044,905.1513501686044,905.1513501686044,0.0,0.0,0.0,-395.97140068887654,-395.97140068887654,-395.97140068887654,1810.3119061931827
20,2016-05-23,1279.8517079073783,1279.8517079073783,1279.8517079073783,-31.575609047892264,2115.0883491565064,89.3384818413885,89.3384818413885,89.3384818413885,-306.6329188482791,-306.6329188482791,-306.6329188482791,89.3384818413885,89.3384818413885,89.3384818413885,0.0,0.0,0.0,-395.9714006896676,-395.9714006896676,-395.9714006896676,973.2187890590992
21,2016-05-30,1258.571460229043,1258.571460229043,1258.571460229043,64.5435263048957,2236.3137947853497,270.6302303585476,270.6302303585476,270.6302303585476,-125.34117033030822,-125.34117033030822,-125.34117033030822,270.6302303585476,270.6302303585476,270.6302303585476,0.0,0.0,0.0,-395.9714006888558,-395.9714006888558,-395.9714006888558,1133.2302898987348
22,2016-06-06,1237.2912125507075,1237.2912125507075,1237.2912125507075,-290.3506290057985,1824.0848755556615,-114.61473524041546,-114.61473524041546,-114.61473524041546,-510.5861359306235,-510.5861359306235,-510.5861359306235,-114.61473524041546,-114.61473524041546,-114.61473524041546,0.0,0.0,0.0,-395.9714006902081,-395.9714006902081,-395.9714006902081,726.705076620084
23,2016-06-13,1216.0109648723721,1216.0109648723721,1216.0109648723721,-329.0599945263736,1744.5835144986227,-159.9376723697052,-159.9376723697052,-159.9376723697052,-555.9090730601433,-555.9090730601433,-555.9090730601433,-159.9376723697052,-159.9376723697052,-159.9376723697052,0.0,0.0,0.0,-395.97140069043814,-395.97140069043814,-395.97140069043814,660.1018918122288
