Date,Searches,WeekNumber,Cases
03/01/2016,59,1,84
10/01/2016,34,2,123
17/01/2016,16,3,0
24/01/2016,46,4,721
31/01/2016,29,5,389
07/02/2016,23,6,357
14/02/2016,28,7,242
21/02/2016,44,8,175
28/02/2016,0,9,104
06/03/2016,4,10,84
13/03/2016,0,11,27
20/03/2016,7,12,33
27/03/2016,13,13,31
03/04/2016,29,14,24
10/04/2016,37,15,16
17/04/2016,10,16,12
24/04/2016,13,17,9
01/05/2016,0,18,15
08/05/2016,0,19,12
15/05/2016,0,20,17
22/05/2016,0,21,11
29/05/2016,0,22,7
05/06/2016,25,23,3
12/06/2016,13,24,-1
19/06/2016,0,25,5
26/06/2016,0,26,4
03/07/2016,0,27,4
10/07/2016,0,28,7
17/07/2016,52,29,2
24/07/2016,84,30,1
31/07/2016,14,31,4
07/08/2016,0,32,1
14/08/2016,0,33,2
21/08/2016,0,34,1
28/08/2016,0,35,1
04/09/2016,42,36,6
11/09/2016,0,37,7
18/09/2016,0,38,2
25/09/2016,100,39,0
02/10/2016,0,40,1
09/10/2016,0,41,0
16/10/2016,0,42,1
23/10/2016,0,43,1
30/10/2016,0,44,1
06/11/2016,0,45,1
13/11/2016,0,46,7
20/11/2016,0,47,1
27/11/2016,0,48,135
04/12/2016,41,49,0
11/12/2016,0,50,7
18/12/2016,0,51,5
25/12/2016,0,52,0
01/01/2017,0,1,0
08/01/2017,0,2,0
15/01/2017,0,3,0
22/01/2017,0,4,0
29/01/2017,0,5,1
05/02/2017,0,6,1
12/02/2017,0,7,0
19/02/2017,0,8,1
26/02/2017,0,9,0
05/03/2017,0,10,0
12/03/2017,0,11,0
19/03/2017,0,12,0
26/03/2017,0,13,1
02/04/2017,0,14,0
09/04/2017,0,15,0
16/04/2017,0,16,1
23/04/2017,0,17,0
30/04/2017,0,18,0
07/05/2017,0,19,1
14/05/2017,0,20,0
21/05/2017,0,21,0
28/05/2017,0,22,7
04/06/2017,0,23,0
11/06/2017,0,24,1
18/06/2017,0,25,0
25/06/2017,0,26,-9
02/07/2017,0,27,0
09/07/2017,0,28,0
16/07/2017,0,29,0
23/07/2017,0,30,0
30/07/2017,0,31,0
06/08/2017,0,32,1
13/08/2017,0,33,0
20/08/2017,0,34,0
27/08/2017,0,35,1
03/09/2017,0,36,2
10/09/2017,0,37,3
17/09/2017,0,38,2
24/09/2017,0,39,1
01/10/2017,0,40,0
08/10/2017,0,41,0
15/10/2017,0,42,0
22/10/2017,100,43,-1
29/10/2017,0,44,0
05/11/2017,0,45,0
12/11/2017,0,46,20
19/11/2017,0,47,-18
26/11/2017,0,48,0
03/12/2017,0,49,1
10/12/2017,9,50,0
17/12/2017,0,51,0
24/12/2017,0,52,-1
