Date,Searches,WeekNumber,Cases
03/01/2016,82,1,334
10/01/2016,68,2,473
17/01/2016,19,3,0
24/01/2016,53,4,1295
31/01/2016,45,5,834
07/02/2016,100,6,572
14/02/2016,61,7,453
21/02/2016,41,8,416
28/02/2016,44,9,290
06/03/2016,12,10,264
13/03/2016,58,11,197
20/03/2016,26,12,118
27/03/2016,20,13,117
03/04/2016,20,14,112
10/04/2016,53,15,85
17/04/2016,20,16,73
24/04/2016,42,17,55
01/05/2016,31,18,62
08/05/2016,0,19,73
15/05/2016,0,20,111
22/05/2016,0,21,-26
29/05/2016,0,22,36
05/06/2016,13,23,28
12/06/2016,29,24,25
19/06/2016,0,25,18
26/06/2016,0,26,16
03/07/2016,2,27,17
10/07/2016,0,28,21
17/07/2016,100,29,20
24/07/2016,42,30,7
31/07/2016,14,31,10
07/08/2016,0,32,7
14/08/2016,0,33,6
21/08/2016,100,34,6
28/08/2016,83,35,4
04/09/2016,0,36,10
11/09/2016,100,37,30
18/09/2016,0,38,31
25/09/2016,0,39,25
02/10/2016,0,40,1
09/10/2016,0,41,3
16/10/2016,0,42,1
23/10/2016,0,43,36
30/10/2016,0,44,7
06/11/2016,100,45,4
13/11/2016,100,46,9
20/11/2016,0,47,4
27/11/2016,99,48,11
04/12/2016,0,49,9
11/12/2016,0,50,31
18/12/2016,0,51,8
25/12/2016,18,52,26
01/01/2017,100,1,4
08/01/2017,3,2,3
15/01/2017,0,3,2
22/01/2017,0,4,1
29/01/2017,0,5,4
05/02/2017,0,6,3
12/02/2017,51,7,3
19/02/2017,0,8,1
26/02/2017,0,9,0
05/03/2017,0,10,0
12/03/2017,0,11,2
19/03/2017,0,12,1
26/03/2017,0,13,0
02/04/2017,0,14,0
09/04/2017,0,15,2
16/04/2017,69,16,1
23/04/2017,0,17,0
30/04/2017,53,18,1
07/05/2017,0,19,1
14/05/2017,0,20,1
21/05/2017,0,21,5
28/05/2017,100,22,-4
04/06/2017,0,23,0
11/06/2017,0,24,1
18/06/2017,0,25,2
25/06/2017,0,26,-3
02/07/2017,0,27,1
09/07/2017,0,28,2
16/07/2017,0,29,2
23/07/2017,0,30,0
30/07/2017,0,31,-2
06/08/2017,0,32,0
13/08/2017,0,33,1
20/08/2017,0,34,0
27/08/2017,0,35,-1
03/09/2017,0,36,1
10/09/2017,0,37,10
17/09/2017,0,38,0
24/09/2017,0,39,0
01/10/2017,0,40,1
08/10/2017,0,41,0
15/10/2017,82,42,1
22/10/2017,46,43,0
29/10/2017,100,44,0
05/11/2017,0,45,0
12/11/2017,0,46,3
19/11/2017,100,47,-1
26/11/2017,100,48,-1
03/12/2017,100,49,1
10/12/2017,0,50,1
17/12/2017,71,51,0
24/12/2017,0,52,0
