Date,Searches,WeekNumber,Cases
03/01/2016,15,1,1
10/01/2016,24,2,64
17/01/2016,18,3,0
24/01/2016,60,4,413
31/01/2016,44,5,636
07/02/2016,62,6,855
14/02/2016,51,7,881
21/02/2016,58,8,980
28/02/2016,30,9,1243
06/03/2016,26,10,1257
13/03/2016,77,11,1044
20/03/2016,30,12,952
27/03/2016,46,13,1212
03/04/2016,56,14,1525
10/04/2016,70,15,1531
17/04/2016,50,16,1472
24/04/2016,57,17,1247
01/05/2016,28,18,1077
08/05/2016,47,19,1164
15/05/2016,43,20,1260
22/05/2016,23,21,786
29/05/2016,22,22,949
05/06/2016,36,23,859
12/06/2016,27,24,809
19/06/2016,16,25,730
26/06/2016,31,26,519
03/07/2016,4,27,507
10/07/2016,31,28,301
17/07/2016,57,29,268
24/07/2016,47,30,319
31/07/2016,16,31,198
07/08/2016,39,32,216
14/08/2016,22,33,144
21/08/2016,33,34,110
28/08/2016,28,35,80
04/09/2016,31,36,188
11/09/2016,43,37,25
18/09/2016,33,38,106
25/09/2016,30,39,108
02/10/2016,15,40,72
09/10/2016,34,41,34
16/10/2016,51,42,72
23/10/2016,15,43,91
30/10/2016,8,44,46
06/11/2016,54,45,41
13/11/2016,22,46,37
20/11/2016,10,47,-29
27/11/2016,43,48,96
04/12/2016,13,49,30
11/12/2016,11,50,85
18/12/2016,21,51,26
25/12/2016,4,52,20
01/01/2017,5,1,12
08/01/2017,0,2,15
15/01/2017,4,3,34
22/01/2017,2,4,44
29/01/2017,4,5,57
05/02/2017,2,6,52
12/02/2017,18,7,45
19/02/2017,15,8,35
26/02/2017,9,9,91
05/03/2017,0,10,17
12/03/2017,39,11,29
19/03/2017,38,12,26
26/03/2017,0,13,29
02/04/2017,23,14,0
09/04/2017,0,15,55
16/04/2017,33,16,-13
23/04/2017,14,17,28
30/04/2017,12,18,22
07/05/2017,42,19,20
14/05/2017,6,20,25
21/05/2017,33,21,11
28/05/2017,38,22,31
04/06/2017,6,23,16
11/06/2017,0,24,18
18/06/2017,6,25,9
25/06/2017,0,26,8
02/07/2017,47,27,17
09/07/2017,0,28,18
16/07/2017,0,29,15
23/07/2017,7,30,0
30/07/2017,0,31,27
06/08/2017,32,32,20
13/08/2017,17,33,18
20/08/2017,0,34,9
27/08/2017,17,35,-19
03/09/2017,0,36,-6
10/09/2017,0,37,17
17/09/2017,48,38,12
24/09/2017,94,39,14
01/10/2017,0,40,9
08/10/2017,12,41,6
15/10/2017,22,42,12
22/10/2017,0,43,5
29/10/2017,27,44,3
05/11/2017,0,45,6
12/11/2017,0,46,11
19/11/2017,29,47,69
26/11/2017,21,48,-12
03/12/2017,14,49,24
10/12/2017,1,50,8
17/12/2017,10,51,-49
24/12/2017,0,52,3
