Date,Searches,WeekNumber,Cases
03/01/2016,14,1,3
10/01/2016,26,2,18
17/01/2016,48,3,0
24/01/2016,62,4,98
31/01/2016,66,5,126
07/02/2016,88,6,179
14/02/2016,55,7,213
21/02/2016,55,8,165
28/02/2016,30,9,218
06/03/2016,23,10,218
13/03/2016,75,11,144
20/03/2016,40,12,201
27/03/2016,15,13,235
03/04/2016,100,14,245
10/04/2016,50,15,210
17/04/2016,8,16,183
24/04/2016,64,17,185
01/05/2016,41,18,153
08/05/2016,49,19,195
15/05/2016,67,20,202
22/05/2016,28,21,92
29/05/2016,25,22,156
05/06/2016,20,23,105
12/06/2016,0,24,96
19/06/2016,10,25,56
26/06/2016,0,26,65
03/07/2016,3,27,114
10/07/2016,26,28,46
17/07/2016,87,29,29
24/07/2016,73,30,36
31/07/2016,12,31,45
07/08/2016,75,32,38
14/08/2016,0,33,25
21/08/2016,0,34,24
28/08/2016,87,35,22
04/09/2016,0,36,23
11/09/2016,92,37,32
18/09/2016,0,38,55
25/09/2016,0,39,9
02/10/2016,100,40,5
09/10/2016,0,41,5
16/10/2016,0,42,-11
23/10/2016,0,43,19
30/10/2016,0,44,5
06/11/2016,0,45,5
13/11/2016,0,46,10
20/11/2016,22,47,6
27/11/2016,0,48,7
04/12/2016,0,49,2
11/12/2016,0,50,10
18/12/2016,0,51,3
25/12/2016,0,52,3
01/01/2017,51,1,0
08/01/2017,0,2,4
15/01/2017,0,3,2
22/01/2017,0,4,0
29/01/2017,0,5,1
05/02/2017,0,6,1
12/02/2017,0,7,3
19/02/2017,0,8,3
26/02/2017,0,9,2
05/03/2017,82,10,6
12/03/2017,0,11,2
19/03/2017,0,12,2
26/03/2017,0,13,0
02/04/2017,0,14,0
09/04/2017,100,15,5
16/04/2017,0,16,-3
23/04/2017,0,17,1
30/04/2017,0,18,0
07/05/2017,0,19,0
14/05/2017,0,20,3
21/05/2017,100,21,6
28/05/2017,0,22,-2
04/06/2017,0,23,1
11/06/2017,0,24,1
18/06/2017,0,25,1
25/06/2017,0,26,2
02/07/2017,0,27,0
09/07/2017,0,28,3
16/07/2017,0,29,0
23/07/2017,0,30,0
30/07/2017,58,31,-1
06/08/2017,0,32,2
13/08/2017,0,33,6
20/08/2017,0,34,0
27/08/2017,65,35,2
03/09/2017,7,36,2
10/09/2017,0,37,3
17/09/2017,0,38,1
24/09/2017,0,39,2
01/10/2017,0,40,1
08/10/2017,100,41,0
15/10/2017,0,42,0
22/10/2017,0,43,-6
29/10/2017,0,44,0
05/11/2017,0,45,1
12/11/2017,0,46,0
19/11/2017,0,47,1
26/11/2017,0,48,0
03/12/2017,0,49,2
10/12/2017,0,50,2
17/12/2017,0,51,0
24/12/2017,0,52,-1
