CITY,4/1/2016,11/1/2016,18/1/2016,25/1/2016,1/2/2016,8/2/2016,15/2/2016,22/2/2016,29/2/2016,7/3/2016,14/3/2016,21/3/2016,28/3/2016,4/4/2016,11/4/2016,18/4/2016,25/4/2016,2/5/2016,9/5/2016,16/5/2016,23/5/2016,30/5/2016,6/6/2016,13/6/2016,20/6/2016,27/6/2016,4/7/2016,11/7/2016,18/7/2016,25/7/2016,1/8/2016,8/8/2016,15/8/2016,22/8/2016,29/8/2016,5/9/2016,12/9/2016,19/9/2016,26/9/2016,3/10/2016,10/10/2016,17/10/2016,24/10/2016,31/10/2016,7/11/2016,14/11/2016,21/11/2016,28/11/2016,5/12/2016,12/12/2016,19/12/2016,26/12/2016
Amazonas Department,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
Antioquia,11,12,44,19,49,37,31,22,14,12,22,11,21,33,5,14,13,14,14,16,10,15,12,10,5,16,27,8,9,32,24,29,28,66,29,23,0,22,1,1,53,6,40,2,6,28,4,0,4,23,4,0
Arauca,0,0,56,58,25,39,51,46,33,48,90,77,79,0,28,0,100,95,0,76,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atlantico,40,23,24,17,29,25,29,20,10,15,11,15,24,42,2,20,19,15,26,10,11,0,16,6,4,9,17,6,0,47,23,17,6,59,20,29,11,41,0,5,0,0,19,3,13,50,0,19,28,0,8,0
Bogota,33,29,47,17,36,31,31,20,16,20,29,20,34,31,6,21,21,17,14,14,17,12,11,12,9,15,33,12,9,37,23,26,13,26,26,27,10,19,0,1,100,27,18,3,28,18,4,7,4,9,8,1
Bolivar,6,10,21,12,20,34,25,24,12,19,10,6,31,14,5,21,21,8,12,14,4,4,14,4,0,11,40,5,18,33,11,66,0,44,75,54,20,57,0,0,0,0,72,21,56,38,0,0,18,47,0,7
Boyaca,13,6,65,20,60,19,36,29,9,0,10,35,21,14,10,0,24,13,25,0,0,0,14,12,0,16,0,0,36,52,0,0,38,0,0,100,0,0,0,7,0,0,0,0,65,0,0,0,45,0,0,17
Caldas,0,27,28,14,49,43,21,20,12,18,9,15,9,25,9,11,11,22,10,26,33,19,24,0,0,0,92,0,0,98,0,0,66,0,100,0,0,0,2,0,0,62,0,0,0,100,0,0,47,0,0,0
Caquetá,76,67,0,31,23,65,38,35,48,28,0,100,0,0,0,0,0,0,0,0,0,59,0,0,0,100,0,95,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,100,0,0,0,0,100
Casanare,17,14,19,13,58,35,80,30,23,44,0,78,28,76,27,100,34,100,99,80,100,55,100,31,100,0,0,0,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cauca Department,0,0,39,12,46,19,39,31,32,11,33,9,32,0,7,25,13,39,37,21,13,0,53,25,0,0,0,0,0,0,0,0,0,0,0,50,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cesar,34,47,40,25,45,39,51,20,5,0,11,20,0,61,4,13,14,13,26,22,0,35,0,0,13,17,0,0,0,54,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0
Choco,0,100,31,0,0,47,0,0,0,0,100,87,100,0,0,0,0,0,0,100,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cordoba,42,5,24,14,33,27,18,17,4,0,0,10,20,0,4,12,12,12,0,10,26,0,29,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,2,0,0,0,55,0,0,0,0,0,53,0,100,20
Cundinamarca,27,13,34,24,42,26,19,12,16,16,42,19,33,33,6,31,25,28,14,20,18,16,33,7,7,5,18,22,5,14,36,41,0,54,0,43,8,0,1,4,0,0,25,10,57,14,5,0,12,96,0,10
Guainia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guaviare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huila,100,23,54,21,51,56,52,50,18,28,11,46,53,73,18,13,40,28,0,0,28,0,0,0,14,20,0,18,20,0,35,0,0,72,0,0,0,0,0,8,0,0,0,0,74,56,0,0,0,0,0,20
La Guajira,73,16,42,15,21,44,0,16,0,30,0,0,28,0,0,36,0,0,36,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,100,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
Magdalena,20,17,36,15,15,27,46,56,0,0,11,37,33,61,11,27,14,13,40,11,0,11,0,0,13,18,100,17,0,0,71,51,0,0,57,53,0,0,0,0,0,71,54,0,0,55,0,100,100,0,45,0
Meta,24,28,42,21,43,39,54,37,21,36,99,50,58,100,11,60,62,51,100,71,44,56,46,0,12,0,97,42,52,100,0,100,0,66,0,0,30,0,0,8,0,0,0,0,0,58,41,53,0,0,51,0
Narino,14,10,38,13,23,41,18,17,8,20,10,0,28,13,13,35,0,35,21,9,24,10,24,11,0,0,30,0,19,0,0,0,0,0,0,0,0,100,2,0,0,0,0,0,64,95,0,0,0,0,0,0
North Santander,70,76,60,18,54,52,74,76,24,26,16,22,41,42,8,24,18,30,23,25,13,21,13,18,19,26,16,25,19,27,17,25,0,33,0,53,0,0,0,7,0,33,100,10,0,0,0,25,0,0,0,0
Putumayo,0,39,100,24,100,100,0,0,28,0,0,0,72,0,100,0,91,0,0,0,90,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quindio,30,7,50,15,81,6,16,16,30,29,14,32,55,19,9,49,84,50,16,41,51,0,35,16,0,23,0,0,0,72,0,68,100,91,0,71,41,0,0,10,0,92,0,0,0,0,0,0,66,0,0,0
Risaralda,11,27,50,18,45,26,72,45,23,34,60,28,40,56,16,47,32,40,38,13,41,21,0,32,24,11,41,21,12,100,42,31,24,0,0,0,0,71,2,0,0,0,0,13,100,0,0,0,0,0,0,0
San Andrés and Providencia,0,0,50,0,0,72,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,100,0,0,0,0,0,0,0,0,0,0,0,0
Santander Department,26,19,38,20,44,39,33,27,34,23,45,36,45,47,18,45,69,64,62,41,65,30,76,30,31,34,64,16,24,27,49,50,76,100,28,54,31,71,1,4,51,35,13,10,18,14,5,12,0,100,0,5
Sucre,17,15,22,14,14,32,35,32,13,24,31,42,16,0,15,18,18,0,0,15,0,16,0,18,19,26,48,0,0,0,0,74,0,0,82,0,0,0,0,11,0,100,78,29,0,0,0,78,77,0,0,0
Tolima,49,41,37,18,59,46,66,51,100,100,63,42,57,64,14,12,61,43,40,10,0,27,33,12,0,34,0,8,29,27,100,25,55,65,84,27,0,0,0,4,100,0,0,0,0,0,10,0,0,0,0,0
Valle del Cauca,25,18,40,21,48,50,53,42,29,38,70,44,66,70,18,79,59,45,47,41,26,46,48,23,21,26,64,19,9,70,23,58,18,62,7,38,7,6,1,2,45,15,23,7,24,6,5,17,6,14,16,4
Vaupes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vichada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
