Date,Searches,Observed,NN-Prediction,NNError,Naive-Prediction,NaiveError
30/01/2016,0.67,0.0,0.945292441496253,0.945292441496253,0.0,0.0
06/02/2016,0.3,0.0,0.945292441496253,0.945292441496253,0.0,0.0
13/02/2016,0.32,0.0,0.945292441496253,0.945292441496253,0.0,0.0
20/02/2016,0.15,0.0,0.945292441496253,0.945292441496253,0.0,0.0
27/02/2016,0.12,0.0,0.945292441496253,0.945292441496253,0.0,0.0
05/03/2016,0.15,0.0,0.945292441496253,0.945292441496253,0.0,0.0
12/03/2016,0.28,0.0,0.945292441496253,0.945292441496253,0.0,0.0
19/03/2016,0.1,0.0,0.945292441496253,0.945292441496253,0.0,0.0
26/03/2016,0.11,0.0,0.945292441496253,0.945292441496253,0.0,0.0
02/04/2016,0.12,0.0,0.945292441496253,0.945292441496253,0.0,0.0
09/04/2016,0.23,0.0,0.945292441496253,0.945292441496253,0.0,0.0
16/04/2016,0.08,0.0,0.945292441496253,0.945292441496253,0.0,0.0
23/04/2016,0.2,0.0,0.945292441496253,0.945292441496253,0.0,0.0
30/04/2016,0.13,0.0,0.945292441496253,0.945292441496253,0.0,0.0
07/05/2016,0.08,0.0,0.945292441496253,0.945292441496253,0.0,0.0
14/05/2016,0.15,1.0,0.945292441496253,-0.05470755850374698,0.0,-1.0
21/05/2016,0.09,0.0,0.945292441496253,0.945292441496253,1.0,1.0
28/05/2016,0.14,0.0,0.945292441496253,0.945292441496253,0.0,0.0
04/06/2016,0.08,0.0,0.945292441496253,0.945292441496253,0.0,0.0
11/06/2016,0.1,0.0,0.945292441496253,0.945292441496253,0.0,0.0
18/06/2016,0.04,0.0,0.945292441496253,0.945292441496253,0.0,0.0
25/06/2016,0.02,0.0,0.945292441496253,0.945292441496253,0.0,0.0
02/07/2016,0.04,0.0,0.945292441496253,0.945292441496253,0.0,0.0
09/07/2016,0.01,0.0,0.945292441496253,0.945292441496253,0.0,0.0
16/07/2016,0.04,0.0,0.945292441496253,0.945292441496253,0.0,0.0
23/07/2016,0.02,1.0,0.945292441496253,-0.05470755850374698,0.0,-1.0
30/07/2016,0.09,1.0,0.945292441496253,-0.05470755850374698,1.0,0.0
06/08/2016,0.05,0.0,0.945292441496253,0.945292441496253,1.0,1.0
13/08/2016,0.02,1.0,0.945292441496253,-0.05470755850374698,0.0,-1.0
20/08/2016,0.07,0.0,0.945292441496253,0.945292441496253,1.0,1.0
27/08/2016,0.05,0.0,0.945292441496253,0.945292441496253,0.0,0.0
