,predictions_incidence,observed_incidence,predicted_cases,observed_cases,error
0,-1.1743849853954162,0.0,-4.185954354243713,0.0,-4.185954354243713
1,-2.4550477538941977,0.8416611023516012,-8.7507231130254,3.0,-11.7507231130254
2,-3.701766904540176,0.5611074015677341,-13.194503919204912,2.0,-15.194503919204912
3,-4.91593187778644,0.28055370078386704,-17.522249266544428,1.0,-18.522249266544428
4,-6.055318819537221,1.1222148031354682,-21.58345729398208,4.0,-25.58345729398208
5,-2.560940102840034,0.8416611023516012,-9.12816368376096,3.0,-12.12816368376096
6,-8.142121654468683,0.0,-29.021615582755086,0.0,-29.021615582755086
7,-9.085004993720624,0.5611074015677341,-32.38241009951791,2.0,-34.38241009951791
8,-9.959654356095612,0.28055370078386704,-35.49999279378007,1.0,-36.49999279378007
9,-10.765386880672065,0.28055370078386704,-38.37192968972989,1.0,-39.37192968972989
10,-11.50182795889186,0.28055370078386704,-40.99688554011497,1.0,-41.99688554011497
11,-12.168897938596388,0.5611074015677341,-43.37457643437419,2.0,-45.37457643437419
12,-12.766759770582924,0.28055370078386704,-45.505583191070365,1.0,-46.505583191070365
13,-13.295823899184398,0.0,-47.39136878977489,0.0,-47.39136878977489
14,-13.756736347496428,0.28055370078386704,-49.03423590228932,1.0,-50.03423590228932
15,-14.150366632230227,0.0,-50.437283816588774,0.0,-50.437283816588774
16,-9.716775262277892,0.28055370078386704,-34.63427940935807,1.0,-35.63427940935807
17,-14.740308864177136,0.8416611023516012,-52.5400621092957,3.0,-55.5400621092957
18,-14.939373885018915,0.0,-53.24960548828372,0.0,-53.24960548828372
19,-15.076638337503091,0.28055370078386704,-53.738868157429266,1.0,-54.738868157429266
20,-15.153912171445452,1.4027685039193352,-54.014301465656736,5.0,-59.014301465656736
21,-15.173155995332671,-0.5611074015677341,-54.08289376664386,-2.0,-52.08289376664386
22,-15.136468312354829,0.5611074015677341,-53.952124923191306,2.0,-55.952124923191306
23,-15.046072731250558,0.0,-53.62992072181486,0.0,-53.62992072181486
24,-14.90430519991573,0.0,-53.12460736847562,0.0,-53.12460736847562
25,-14.713601307306476,-0.8416611023516012,-52.44486622773705,-3.0,-49.44486622773705
26,-14.476483697272316,0.28055370078386704,-51.5996889608835,1.0,-52.5996889608835
27,-14.195549635948417,0.8416611023516012,-50.59833321138182,3.0,-53.59833321138182
28,-13.87345877220587,0.28055370078386704,-49.45027897847516,1.0,-50.45027897847516
29,-13.51292112848287,0.0,-48.16518581194177,0.0,-48.16518581194177
30,-13.11668535708721,0.28055370078386704,-46.75285095309451,1.0,-47.75285095309451
31,-12.687527294782774,0.28055370078386704,-45.22316853897782,1.0,-46.22316853897782
32,-12.228238846161245,0.28055370078386704,-43.58608997848022,1.0,-44.58608997848022
33,-11.741617223964035,0.8416611023516012,-41.85158560075293,3.0,-44.85158560075293
34,-11.23045457216806,0.28055370078386704,-40.02960766794439,1.0,-41.02960766794439
35,-10.697527995291564,0.5611074015677341,-38.130054835857344,2.0,-40.130054835857344
36,-5.38456860290784,1.4027685039193352,-19.192648636832647,5.0,-24.192648636832647
37,-9.5773594729203,0.8416611023516012,-34.13734855808766,3.0,-37.13734855808766
38,-8.995512895646378,0.28055370078386704,-32.06342625498404,1.0,-33.06342625498404
39,-8.40267633682423,0.28055370078386704,-29.95033148144955,1.0,-30.95033148144955
40,-7.80141770743896,0.28055370078386704,-27.80721724804128,1.0,-28.80721724804128
41,-7.194239604407359,0.0,-25.6430037611575,0.0,-25.6430037611575
42,-6.583572644804823,0.0,-23.466354663689415,0.0,-23.466354663689415
43,-5.971769311107755,0.0,-21.28565509712626,0.0,-21.28565509712626
44,-5.361098310751325,0.8416611023516012,-19.108991596875807,3.0,-22.108991596875807
45,-4.753739451307653,0.28055370078386704,-16.94413382545197,1.0,-17.94413382545197
46,-4.151779030664446,-0.28055370078386704,-14.79851814131974,-1.0,-13.79851814131974
47,-3.557205739733331,-0.5611074015677341,-12.679232994590691,-2.0,-10.679232994590691
48,-2.9719070734444006,0.8416611023516012,-10.593006134443753,3.0,-13.593006134443753
49,-2.3976662440925507,0.0,-8.546193607118605,0.0,-8.546193607118605
50,-1.8361595894949532,0.28055370078386704,-6.544770517604021,1.0,-7.544770517604021
51,-1.2889544669002766,0.0,-4.594323522730008,0.0,-4.594323522730008
