,Predicted,Observed,error
0,5.036099929835293,3.0,2.0360999298352933
1,3.351596525389615,0.0,3.351596525389615
2,8.315430313110433,1.0,7.315430313110433
3,1.9402375090518555,1.0,0.9402375090518555
4,2.5042332459052594,1.0,1.5042332459052594
5,25.69601770694785,1.0,24.69601770694785
6,-4.540807895512071,0.0,-4.540807895512071
7,0.598022282827707,1.0,-0.401977717172293
8,-2.1789723155413885,1.0,-3.1789723155413885
9,3.81569273731322,0.0,3.81569273731322
10,0.2637270887686215,0.0,0.2637270887686215
11,4.300864608187915,1.0,3.300864608187915
12,9.08871425639464,1.0,8.08871425639464
13,6.959623375547488,2.0,4.959623375547488
14,8.553787095883365,0.0,8.553787095883365
15,-4.747045749271828,0.0,-4.747045749271828
16,11.384109226840955,0.0,11.384109226840955
17,-2.5336797945865914,0.0,-2.5336797945865914
18,-2.5730917213926263,0.0,-2.5730917213926263
19,-0.9960919107212112,0.0,-0.9960919107212112
20,-2.6519155750141725,0.0,-2.6519155750141725
21,12.092161136934529,1.0,11.092161136934529
22,3.303337579741435,0.0,3.303337579741435
23,5.785448949698294,2.0,3.785448949698294
24,14.0464404139515,0.0,14.0464404139515
25,5.257616859357025,0.0,5.257616859357025
26,5.218204943305997,0.0,5.218204943305997
27,-3.7644299683502385,1.0,-4.764429968350239
28,4.837677260159329,0.0,4.837677260159329
29,-3.046034747583497,0.0,-3.046034747583497
30,0.23329568004415194,0.0,0.23329568004415194
31,2.397265180414965,1.0,1.3972651804149652
32,-6.0340045913522635,0.0,-6.0340045913522635
33,4.037209962312253,0.0,4.037209962312253
34,3.092686492634959,2.0,1.092686492634959
35,-0.9082873939360856,0.0,-0.9082873939360856
36,-5.614108016695869,0.0,-5.614108016695869
37,-1.5511070140267338,1.0,-2.5511070140267336
38,-3.4007420325213005,1.0,-4.4007420325213005
39,-1.9316347053587706,0.0,-1.9316347053587706
40,1.439150193456322,0.0,1.439150193456322
41,-2.6138662462902453,1.0,-3.6138662462902453
42,-3.558389715972278,1.0,-4.558389715972278
43,-3.5978016368195043,0.0,-3.5978016368195043
44,-10.865722684040497,0.0,-10.865722684040497
45,-5.657686030914097,0.0,-5.657686030914097
46,-1.262994681720332,0.0,-1.262994681720332
47,-1.9058143017870528,0.0,-1.9058143017870528
48,-1.6435223730476332,3.0,-4.643522373047633
49,-2.234299439966669,0.0,-2.234299439966669
50,-0.25323888761296093,0.0,-0.25323888761296093
51,8.758464679647636,0.0,8.758464679647636
