,Country,Cumulative RMSE,AvgRMSE,HighestError,LowestError
0,Brazil,82.13961238075608,0.31592158607983106,79.52969116177786,-69.38405440653057
1,Colombia,67.8691315753607,0.261035121443695,84.73125756899475,-66.2431501986074
2,Mexico,21.726450258385288,0.0835632702245588,41.97729722427264,-68.09059998633931
