Week,Acre,Amapá,Amazonas,Pará,Rondonia,Roraima,Tocantins,Alagoas,Bahia,Ceará,Maranhao,Paraíba,Pernambuco,Piauí,Rio Grande do Norte,Sergipe,Espírito Santo,Minas Gerais,Rio de Janeiro,Sao Paulo,Paraná,Rio Grande do Sul,Santa Catarina,Distrito Federal,Goiás,Mato Grosso,Mato Grosso do Sul
2015-SE51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-SE1,1.5270088399634467,-0.20511925666816655,-9.806108738981363,-7.7589694278076085,3.1911031270929024,-17.270450180193865,-14.041591468099567,2.6161644794964083,-24.056827074522634,-15.089230035997307,-8.678724301355162,0.5405594617080778,-0.0664690498439164,0.13432037568722943,-1.702707945342968,-0.14019126538232426,2.102376333095095,6.955089771725321,13.358140437945258,-5.226592054544671,3.213349623409342,2.1159386500582276,3.4074364556957213,-2.5622625681505538,2.924623677434977,-1.2654031385009719,-0.8308236406204769
2017-SE2,3.0360117866179293,-0.27349234222422203,-10.741478318641818,-9.51195923707681,6.088137502790537,-22.527266906925153,-14.55545529079942,4.821552639328544,-22.40910276603017,-19.78564004799641,-11.404965735140214,1.054079282277437,0.07804126687477816,0.1790938342496392,-1.770277260457291,0.146411646156901,5.4698351107934595,16.773453028967097,17.97752058392701,-2.9687894060595603,7.284466164545789,4.654584866744303,6.209915274260961,-3.0830167575340712,11.39949823657997,-1.3538708513346291,-0.9410981874939693
2017-SE3,4.527008839963446,-0.2051192566681665,-2.806108738981365,-5.2589694278076085,8.691103127092902,-15.770450180193862,-1.5415914680995613,6.616164479496407,4.94317292547737,-14.089230035997304,-8.178724301355158,1.5405594617080776,0.43353095015608356,0.1343203756872294,-0.20270794534296765,0.8598087346176755,10.102376333095094,29.45508977172532,13.858140437945258,6.773407945455327,12.21334962340934,7.615938650058226,8.40743645569572,-1.5622625681505538,25.424623677434973,-0.26540313850097164,-0.33082364062047676
2017-SE4,6.0,0.0,14.0,5.0,11.0,3.0,25.0,8.0,58.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,16.0,45.0,1.0,24.0,18.0,11.0,10.0,2.0,45.0,2.0,1.0
2017-SE5,7.45498526672759,0.3418654277802775,39.67684789830226,21.264949046346008,13.01482812151183,33.78408363365644,65.06931911349928,8.97305920083932,136.76137845753772,28.4820500599955,16.131207168925258,2.432400897153204,1.7774484164065272,-0.22386729281204887,7.8378465755716125,3.566985442303873,23.162706111508175,63.40818371379113,-20.596900729908754,48.710986757574446,24.644417294317762,14.80676891656962,10.987605907173798,7.603770946917587,70.12562720427503,5.442338564168286,3.0513727343674613
2017-SE6,9.74630484900667,0.883162049264092,72.26412815893991,46.0011237118245,15.939778812700643,72.09367280284688,118.6895725083208,9.68124778828935,236.07199835123953,62.95418567154686,36.29811163769994,3.147086178940638,2.769733605052619,-0.43281009943662785,14.153170046105116,5.451727410676377,31.559009593360244,86.14471073555174,-40.93178585560136,80.17457439797725,31.75698454679211,18.848642127590153,11.464926976091563,14.589512719596224,109.24287926159838,11.299632335169797,5.565987286443757
2017-SE7,18.0,2.0,100.0,94.0,27.0,91.0,186.0,11.0,325.0,91.0,56.0,6.0,4.0,0.0,21.0,7.0,41.0,122.0,0.0,114.0,37.0,22.0,12.0,19.0,213.0,27.0,7.0
2017-SE8,33.07041092856803,3.755064302579427,120.92415662449699,167.72682391146657,47.399683004482135,86.01493730718717,267.02380822445934,13.07522154224625,398.390073456968,110.21675857291255,74.32008668810474,11.300466386104237,5.472105006925622,1.1790344088101241,28.220674701989502,8.10276555942182,51.454192257168046,172.43912132958894,112.19923273307501,149.45546974344126,39.9838466943709,24.073239261622216,12.687497777773554,20.175695235122923,389.8383633908181,53.78146133982481,7.096103598998036
2017-SE9,53.106273177107646,5.906146961083616,136.33245089645294,260.2522271568606,75.22577955225877,62.430635585334706,355.2930453070636,16.074126568545267,458.9581703004187,125.1418937844939,90.94561003071104,18.576923464648093,7.059178530639312,3.0180957764880945,35.28368766871227,8.874271245768503,61.765788328965655,233.78775692607545,278.28813025121866,185.62359011112554,41.244743095837954,25.069986362178618,13.469668354421563,18.58074180612876,616.5625451974191,89.46760912748222,6.268233255291261
2017-SE10,67.0,7.0,154.0,330.0,99.0,52.0,412.0,21.0,523.0,163.0,104.0,25.0,8.0,5.0,39.0,10.0,65.0,284.0,394.0,217.0,44.0,25.0,14.0,17.0,754.0,121.0,7.0
2017-SE11,72.90032693964193,6.794415423409822,175.22265679916018,370.04077415152096,116.80929607381749,60.015181412109314,430.67672042863296,28.02005599012761,593.2315141339867,228.3285096136401,113.17049492466846,30.0981341195547,8.167699319817508,7.03854972884019,38.838105212491314,11.59419897894297,60.00102923437234,319.40153275311945,441.957059887014,242.6673058928891,48.78583587279016,23.864906624808164,14.220740759518197,15.897613197900402,778.9553035619272,146.20222673021607,9.705339004977642
2017-SE12,74.0,7.0,198.0,402.0,131.0,77.0,457.0,36.0,678.0,290.0,131.0,36.0,10.0,9.0,42.0,13.0,65.0,358.0,507.0,267.0,54.0,22.0,14.0,16.0,821.0,165.0,14.0
2017-SE13,73.49176518504072,9.327360498457448,220.33160830858586,447.50312793401304,143.9184440048362,93.47827594200933,536.6466321211379,43.80553749068905,785.6527448956601,316.8870485336652,170.03142042127809,44.8342718180237,15.934625550455635,10.750605850470766,55.68768105633977,13.560534880573666,98.2280362648003,417.8030465552075,673.9695104266968,294.3725745315395,58.04024166742107,19.740573888972374,13.205887088469247,18.033579006468813,1009.7056334310173,177.3190304912211,19.499732714842878
2017-SE14,71.85878116930076,13.293451445340597,241.58885725280717,502.53448128037786,155.68256672716277,109.01498702831688,659.0710663461883,51.33740258280396,908.7885252903096,320.1776752098678,225.29808871053893,55.78983476620289,25.070370275385933,12.221557914769694,77.9411037175648,13.37071404063387,153.8661041074489,493.6970193531196,918.2335642536353,323.2031000577406,60.95112113917593,17.304610157474322,11.960897046107041,21.565648702583058,1313.3944581581031,183.43477785521554,25.747380115729584
2017-SE15,72.0,16.0,258.0,543.0,167.0,121.0,761.0,58.0,1003.0,367.0,267.0,64.0,32.0,13.0,97.0,13.0,197.0,555.0,1092.0,344.0,63.0,16.0,11.0,24.0,1542.0,185.0,30.0
2017-SE16,74.39858035167516,16.963960688994092,268.9364120780537,564.8840074196971,177.98868246218467,128.99829264723832,831.8878826367145,63.69406386288638,1060.8859454940734,468.54204289929396,290.1704868116976,68.65365271199214,35.822309028499376,13.017122740678895,110.90432523969955,12.543303178641954,221.81069002112923,596.5983354302261,1170.6367907523213,355.18134492855063,64.23143851401585,16.044725282298437,10.445690971329226,24.903931383995847,1663.8445132598313,182.29015657691062,31.80043533387744
2017-SE17,79.0545222243262,16.185333512322867,274.39809348696826,568.1865035394692,188.64861411371666,133.00986497003174,871.7347142563317,68.41959417146309,1082.4463617725296,624.8038039077496,294.80954914563154,69.75079290217928,36.537297360884025,12.272926136806374,119.65407943666342,12.000623576559732,228.29817417083672,618.4920256437979,1154.1439365105996,356.7471348433924,64.64543668122346,17.43878600436963,10.297969960094719,24.277442854570598,1678.9279979375974,175.3052475859473,31.14868611736189
2017-SE18,83.18320298481416,14.814039579490206,278.4107281523987,564.8957478895065,197.48423870839034,136.5165048078093,903.2141887477828,72.68532739430825,1091.283597164721,799.1636629623305,293.0438369067498,69.22253664127679,35.73363701282666,15.892266464530666,126.5767939152956,11.457632186197644,227.13657123512576,634.1397030354706,1106.579114013578,354.93935733653797,64.48671650781934,19.113453724256004,10.50126396881285,23.512232897860052,1669.5474836465646,173.16771480201038,30.172593842165398
2017-SE19,84.0,14.0,285.0,567.0,203.0,143.0,949.0,77.0,1111.0,955.0,297.0,69.0,35.0,29.0,135.0,11.0,229.0,657.0,1092.0,356.0,64.0,20.0,11.0,24.0,1718.0,185.0,31.0
2017-SE20,81.50491326988373,13.743214773852243,294.1659090297722,574.4992598709495,205.19589798854565,152.46035054660382,1009.0921480129825,81.36361198853831,1141.5955702783667,1092.3128150207583,306.6780384253823,69.08318297834892,34.33638632240402,51.59612674321437,144.92369769077666,10.627727017966798,233.88846046545936,687.0729165373858,1110.4065944698657,359.92906283377846,63.185287157765444,20.09842483160161,11.794178053656166,25.740744160990445,1824.2855469979038,210.80210317991623,33.6309045908657
2017-SE21,75.69794279446538,14.043683901046933,305.90845524171516,587.3935275023548,204.0719326740272,164.8975564476208,1083.4906327867302,85.77616335992317,1183.0703079998207,1211.1021080246053,322.0779521828965,69.47208557632352,33.74279598003871,83.68064669417377,156.34788698762557,10.340813240098036,241.8019526315038,724.3584526476279,1161.7988974231744,366.7265458378733,62.04257798111563,19.408728219060823,12.883798129781345,28.73446538083138,1988.4041246402746,250.57402434175896,38.065307614762474
2017-SE22,66.57908857374488,14.901407381584075,320.22763863582907,605.6828028942161,199.62810405644478,180.3116177030509,1172.195454321244,90.23765411415462,1235.4242131643625,1311.367879011541,343.1997412725427,70.16670779392385,33.21922897290409,125.25355985287823,169.27256789054672,10.139258666393719,252.74047649813338,768.8566083307267,1246.1769088599272,376.3924490122846,60.571872470050614,17.93091016237766,14.26886022837554,32.98116365952282,2210.3557329271143,304.3157634855283,44.30320907169036
2017-SE23,56.66488133663667,16.114373666213645,334.82956899975875,624.5981220873626,193.71136342631902,195.87865280224742,1250.6346193399252,94.97966617635171,1288.0171820701569,1393.440787995912,365.7215878571794,71.26872827954108,33.09138886067967,165.43679304427638,181.13667815112413,10.017868833490796,264.2922278096222,810.4977399403305,1336.9600516611401,384.971141295077,58.97408418786324,16.246223180721678,15.483064498441836,37.45427001387585,2449.1171783412615,384.09844407695795,50.58484184602037
