coordinates,date,precipType,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity
-14.863;-40.863,2015-04-22,rain,NA,NA,NA,31.87,20.24,0.7
-14.863;-40.863,2015-04-23,rain,NA,NA,NA,28.89,20.19,0.78
-14.863;-40.863,2015-04-24,rain,NA,NA,NA,27.78,20.19,0.85
-14.863;-40.863,2015-04-25,rain,NA,NA,NA,30.98,21.24,0.77
-14.863;-40.863,2015-04-26,rain,NA,NA,NA,26.24,18.07,0.88
-14.863;-40.863,2015-04-27,rain,NA,NA,NA,25.24,19.13,0.8
-14.863;-40.863,2015-04-28,rain,NA,NA,NA,26.19,19.13,0.8
-14.863;-40.863,2015-04-29,rain,NA,NA,NA,24.13,19.08,0.94
-14.863;-40.863,2015-04-30,rain,NA,NA,NA,22.36,18.02,0.98
-14.863;-40.863,2015-05-01,rain,NA,NA,NA,22.46,17.99,0.94
-14.863;-40.863,2015-05-02,rain,NA,NA,NA,24.12,17.78,0.93
-14.863;-40.863,2015-05-03,rain,NA,NA,NA,23.02,17.99,0.95
-14.863;-40.863,2015-05-04,rain,NA,NA,NA,27.3,17.99,0.86
-14.863;-40.863,2015-05-05,rain,NA,NA,NA,27.83,20.13,0.82
-14.863;-40.863,2015-05-06,rain,NA,NA,NA,27.94,19.13,0.81
-14.863;-40.863,2015-05-07,rain,NA,NA,NA,27.83,21.19,0.8
-14.863;-40.863,2015-05-08,rain,NA,NA,NA,27.59,17.46,0.91
-14.863;-40.863,2015-05-09,rain,NA,NA,NA,24.08,16.43,0.87
-14.863;-40.863,2015-05-10,rain,NA,NA,NA,25.24,18.02,0.79
-14.863;-40.863,2015-05-11,rain,NA,NA,NA,28.83,20.13,0.8
-14.863;-40.863,2015-05-12,rain,NA,NA,NA,28.82,19.08,0.77
-14.863;-40.863,2015-05-13,rain,NA,NA,NA,27.88,18.02,0.84
-14.863;-40.863,2015-05-14,rain,NA,NA,NA,21.24,16.41,0.96
-14.863;-40.863,2015-05-15,rain,NA,NA,NA,22.46,17.46,0.83
-14.863;-40.863,2015-05-16,rain,NA,NA,NA,22.88,16.41,0.88
-14.863;-40.863,2015-05-17,rain,NA,NA,NA,24.08,17.49,0.89
-14.863;-40.863,2015-05-18,rain,NA,NA,NA,24.08,15.34,0.87
-14.863;-40.863,2015-05-19,rain,NA,NA,NA,24.08,17.99,0.86
-14.863;-40.863,2015-05-20,rain,NA,NA,NA,23.96,17.54,0.93
-14.863;-40.863,2015-05-21,rain,NA,NA,NA,22.58,17.49,0.93
-14.863;-40.863,2015-05-22,rain,NA,NA,NA,24.13,15.34,0.93
-14.863;-40.863,2015-05-23,rain,NA,NA,NA,22.36,17.49,0.87
-14.863;-40.863,2015-05-24,rain,NA,NA,NA,23.26,15.29,0.88
-14.863;-40.863,2015-05-25,rain,NA,NA,NA,25.13,17.54,0.84
-14.863;-40.863,2015-05-26,rain,NA,NA,NA,27.55,19.08,0.86
-14.863;-40.863,2015-05-27,rain,NA,NA,NA,27.83,15.37,0.78
-14.863;-40.863,2015-05-28,rain,NA,NA,NA,27.78,17.46,0.82
-14.863;-40.863,2015-05-29,rain,NA,NA,NA,28.96,14.29,0.67
-14.863;-40.863,2015-05-30,rain,NA,NA,NA,27.87,18.07,0.79
-14.863;-40.863,2015-05-31,rain,NA,NA,NA,27.37,19.08,0.81
-14.863;-40.863,2015-06-01,rain,NA,NA,NA,27.22,18.02,0.78
-14.863;-40.863,2015-06-02,rain,NA,NA,NA,26.24,17.49,0.81
-14.863;-40.863,2015-06-03,rain,NA,NA,NA,25.19,16.43,0.83
-14.863;-40.863,2015-06-04,rain,NA,NA,NA,23.07,18.02,0.88
-14.863;-40.863,2015-06-05,rain,NA,NA,NA,24.05,18.02,0.93
-14.863;-40.863,2015-06-06,rain,NA,NA,NA,23.99,18.07,0.94
-14.863;-40.863,2015-06-07,rain,NA,NA,NA,22.49,17.49,0.91
-14.863;-40.863,2015-06-08,rain,NA,NA,NA,27.78,17.49,0.92
-14.863;-40.863,2015-06-09,rain,NA,NA,NA,24.79,18.07,0.94
-14.863;-40.863,2015-06-10,rain,NA,NA,NA,25.14,17.49,0.9
-14.863;-40.863,2015-06-11,rain,NA,NA,NA,27.25,12.65,0.78
-14.863;-40.863,2015-06-12,rain,NA,NA,NA,27.25,16.43,0.67
-14.863;-40.863,2015-06-13,rain,NA,NA,NA,26.17,18.02,0.85
-14.863;-40.863,2015-06-14,rain,NA,NA,NA,26.32,19.13,0.83
-14.863;-40.863,2015-06-15,rain,NA,NA,NA,29.94,20.13,0.76
-14.863;-40.863,2015-06-16,rain,NA,NA,NA,29.94,18.18,0.73
-14.863;-40.863,2015-06-17,rain,NA,NA,NA,22.99,17.49,0.86
-14.863;-40.863,2015-06-18,rain,NA,NA,NA,25.13,14.29,0.82
-14.863;-40.863,2015-06-19,rain,NA,NA,NA,26.19,15.34,0.76
-14.863;-40.863,2015-06-20,rain,NA,NA,NA,24.13,16.41,0.74
-14.863;-40.863,2015-06-21,rain,NA,NA,NA,22.82,15.34,0.8
-14.863;-40.863,2015-06-22,rain,NA,NA,NA,21.43,15.34,0.86
-14.863;-40.863,2015-06-23,rain,NA,NA,NA,22.99,15.37,0.91
-14.863;-40.863,2015-06-24,rain,NA,NA,NA,20.44,16.41,0.92
-14.863;-40.863,2015-06-25,rain,NA,NA,NA,21.3,13.23,0.88
-14.863;-40.863,2015-06-26,rain,NA,NA,NA,21.3,12.65,0.81
-14.863;-40.863,2015-06-27,rain,NA,NA,NA,19.18,13.18,0.92
-14.863;-40.863,2015-06-28,rain,NA,NA,NA,18.12,15.34,0.93
-14.863;-40.863,2015-06-29,rain,NA,NA,NA,20.13,15.37,0.92
-14.863;-40.863,2015-06-30,rain,NA,NA,NA,22.49,15.29,0.93
-14.863;-40.863,2015-07-01,rain,NA,NA,NA,23.12,18.19,0.81
-14.863;-40.863,2015-07-02,rain,NA,NA,NA,23.16,14.18,0.74
-14.863;-40.863,2015-07-03,rain,NA,NA,NA,25.11,16.41,0.8
-14.863;-40.863,2015-07-04,rain,NA,NA,NA,27.96,17.99,0.72
-14.863;-40.863,2015-07-05,rain,NA,NA,NA,27.78,15.37,0.76
-14.863;-40.863,2015-07-06,rain,NA,NA,NA,25,15.37,0.88
-14.863;-40.863,2015-07-07,rain,NA,NA,NA,20.37,14.29,0.87
-14.863;-40.863,2015-07-08,rain,NA,NA,NA,22.63,16.43,0.82
-14.863;-40.863,2015-07-09,rain,NA,NA,NA,25.11,16.43,0.82
-14.863;-40.863,2015-07-10,rain,NA,NA,NA,27.25,16.43,0.8
-14.863;-40.863,2015-07-11,rain,NA,NA,NA,24.07,17.49,0.87
-14.863;-40.863,2015-07-12,rain,NA,NA,NA,24.1,17.49,0.77
-14.863;-40.863,2015-07-13,rain,NA,NA,NA,21.3,16.41,0.95
-14.863;-40.863,2015-07-14,rain,NA,NA,NA,24.08,16.43,0.86
-14.863;-40.863,2015-07-15,rain,NA,NA,NA,21.41,15.34,0.91
-14.863;-40.863,2015-07-16,rain,NA,NA,NA,21.43,14.42,0.86
-14.863;-40.863,2015-07-17,rain,NA,NA,NA,22.41,14.29,0.87
-14.863;-40.863,2015-07-18,rain,NA,NA,NA,22.59,15.34,0.83
-14.863;-40.863,2015-07-19,rain,NA,NA,NA,22.49,12.65,0.85
-14.863;-40.863,2015-07-20,rain,NA,NA,NA,23.02,15.29,0.81
-14.863;-40.863,2015-07-21,rain,NA,NA,NA,22.99,12.65,0.75
-14.863;-40.863,2015-07-22,rain,NA,NA,NA,22.99,15.34,0.78
-14.863;-40.863,2015-07-23,rain,NA,NA,NA,25,13.23,0.87
-14.863;-40.863,2015-07-24,rain,NA,NA,NA,22.54,15.29,0.81
-14.863;-40.863,2015-07-25,rain,NA,NA,NA,27.22,20.56,0.72
-14.863;-40.863,2015-07-26,rain,NA,NA,NA,27.78,15.34,0.7
-14.863;-40.863,2015-07-27,rain,NA,NA,NA,25.13,15.34,0.79
-14.863;-40.863,2015-07-28,rain,NA,NA,NA,24.15,15.34,0.8
-14.863;-40.863,2015-07-29,rain,NA,NA,NA,23.18,14.23,0.8
-14.863;-40.863,2015-07-30,rain,NA,NA,NA,24.17,15.34,0.77
-14.863;-40.863,2015-07-31,rain,NA,NA,NA,23.02,14.29,0.8
-14.863;-40.863,2015-08-01,rain,NA,NA,NA,22.49,13.18,0.78
-14.863;-40.863,2015-08-02,rain,NA,NA,NA,22.46,12.65,0.76
-14.863;-40.863,2015-08-03,rain,NA,NA,NA,22.99,13.02,0.78
-14.863;-40.863,2015-08-04,rain,NA,NA,NA,25.21,11.59,0.65
-14.863;-40.863,2015-08-05,rain,NA,NA,NA,25.95,14.13,0.73
-14.863;-40.863,2015-08-06,rain,NA,NA,NA,27.22,14.13,0.77
-14.863;-40.863,2015-08-07,rain,NA,NA,NA,24.18,14.08,0.73
-14.863;-40.863,2015-08-08,rain,NA,NA,NA,22.99,15.29,0.73
-14.863;-40.863,2015-08-09,rain,NA,NA,NA,19.58,14.23,0.88
-14.863;-40.863,2015-08-10,rain,NA,NA,NA,18.54,12.65,0.94
-14.863;-40.863,2015-08-11,rain,NA,NA,NA,21.24,11.48,0.84
-14.863;-40.863,2015-08-12,rain,NA,NA,NA,19.28,12.59,0.86
-14.863;-40.863,2015-08-13,rain,NA,NA,NA,19.23,14.23,0.9
-14.863;-40.863,2015-08-14,rain,NA,NA,NA,21.51,15.43,0.86
-14.863;-40.863,2015-08-15,rain,NA,NA,NA,19.59,16.41,0.95
-14.863;-40.863,2015-08-16,rain,NA,NA,NA,21.64,14.32,0.79
-14.863;-40.863,2015-08-17,rain,NA,NA,NA,19.28,14.37,0.95
-14.863;-40.863,2015-08-18,rain,NA,NA,NA,20.37,15.34,0.96
-14.863;-40.863,2015-08-19,rain,NA,NA,NA,20.69,13.12,0.89
-14.863;-40.863,2015-08-20,rain,NA,NA,NA,27.37,16.3,0.79
-14.863;-40.863,2015-08-21,rain,NA,NA,NA,25.11,17.41,0.85
-14.863;-40.863,2015-08-22,rain,NA,NA,NA,22.99,17.46,0.89
-14.863;-40.863,2015-08-23,rain,NA,NA,NA,26.17,16.24,0.8
-14.863;-40.863,2015-08-24,rain,NA,NA,NA,27.22,14.18,0.73
-14.863;-40.863,2015-08-25,rain,NA,NA,NA,25.21,14.23,0.82
-14.863;-40.863,2015-08-26,rain,NA,NA,NA,27.89,15.34,0.75
-14.863;-40.863,2015-08-27,rain,NA,NA,NA,26.44,17.46,0.76
-14.863;-40.863,2015-08-28,rain,NA,NA,NA,27.39,15.37,0.71
-14.863;-40.863,2015-08-29,rain,NA,NA,NA,23.29,16.43,0.81
-14.863;-40.863,2015-08-30,rain,NA,NA,NA,24.1,16.35,0.78
-14.863;-40.863,2015-08-31,rain,NA,NA,NA,24.16,12.65,0.73
-14.863;-40.863,2015-09-01,rain,NA,NA,NA,27.75,13.12,0.6
-14.863;-40.863,2015-09-02,rain,NA,NA,NA,25.27,15.34,0.66
-14.863;-40.863,2015-09-03,rain,NA,NA,NA,26.33,16.3,0.73
-14.863;-40.863,2015-09-04,rain,NA,NA,NA,31.18,20.11,0.56
-14.863;-40.863,2015-09-05,rain,NA,NA,NA,32.59,19.13,0.51
-14.863;-40.863,2015-09-06,rain,NA,NA,NA,27.94,17.49,0.73
-14.863;-40.863,2015-09-07,rain,NA,NA,NA,29.06,21.77,0.63
-14.863;-40.863,2015-09-08,rain,NA,NA,NA,29.07,16.48,0.56
-14.863;-40.863,2015-09-09,rain,NA,NA,NA,29.14,16.43,0.68
-14.863;-40.863,2015-09-10,rain,NA,NA,NA,28.89,15.34,0.71
-14.863;-40.863,2015-09-11,rain,NA,NA,NA,30.12,17.59,0.63
-14.863;-40.863,2015-09-12,rain,NA,NA,NA,31.01,18.02,0.69
-14.863;-40.863,2015-09-13,rain,NA,NA,NA,28.83,17.54,0.72
-14.863;-40.863,2015-09-14,rain,NA,NA,NA,26.37,16.41,0.71
-14.863;-40.863,2015-09-15,rain,NA,NA,NA,24.21,15.48,0.74
-14.863;-40.863,2015-09-16,rain,NA,NA,NA,26.17,15.34,0.7
-14.863;-40.863,2015-09-17,rain,NA,NA,NA,26.36,16.35,0.7
-14.863;-40.863,2015-09-18,rain,NA,NA,NA,27.47,15.29,0.63
-14.863;-40.863,2015-09-19,rain,NA,NA,NA,28.83,17.54,0.69
-14.863;-40.863,2015-09-20,rain,NA,NA,NA,26.19,15.34,0.8
-14.863;-40.863,2015-09-21,rain,NA,NA,NA,27.3,15.24,0.69
-14.863;-40.863,2015-09-22,rain,NA,NA,NA,28.03,16.3,0.59
-14.863;-40.863,2015-09-23,rain,NA,NA,NA,31.01,16.59,0.57
-14.863;-40.863,2015-09-24,rain,NA,NA,NA,31.12,16.43,0.6
-14.863;-40.863,2015-09-25,rain,NA,NA,NA,30.23,17.54,0.61
-14.863;-40.863,2015-09-26,rain,NA,NA,NA,30.06,17.54,0.6
-14.863;-40.863,2015-09-27,rain,NA,NA,NA,27.55,15.29,0.66
-14.863;-40.863,2015-09-28,rain,NA,NA,NA,30.12,16.43,0.61
-14.863;-40.863,2015-09-29,rain,NA,NA,NA,31.08,15.37,0.61
-14.863;-40.863,2015-09-30,rain,NA,NA,NA,27.96,16.43,0.68
-14.863;-40.863,2015-10-01,rain,NA,NA,NA,28.58,15.29,0.64
-14.863;-40.863,2015-10-02,rain,NA,NA,NA,27.97,16.35,0.62
-14.863;-40.863,2015-10-03,rain,NA,NA,NA,30.13,20.19,0.56
-14.863;-40.863,2015-10-04,rain,NA,NA,NA,32.12,20.13,0.59
-14.863;-40.863,2015-10-05,rain,NA,NA,NA,32.06,17.54,0.58
-14.863;-40.863,2015-10-06,rain,NA,NA,NA,26.24,17.54,0.77
-14.863;-40.863,2015-10-07,rain,NA,NA,NA,25.06,16.41,0.83
-14.863;-40.863,2015-10-08,rain,NA,NA,NA,26.41,15.24,0.66
-14.863;-40.863,2015-10-09,rain,NA,NA,NA,27.89,15.24,0.6
-14.863;-40.863,2015-10-10,rain,NA,NA,NA,30.08,17.59,0.62
-14.863;-40.863,2015-10-11,rain,NA,NA,NA,28.01,15.48,0.69
-14.863;-40.863,2015-10-12,rain,NA,NA,NA,27.39,15.43,0.63
-14.863;-40.863,2015-10-13,rain,NA,NA,NA,28.12,16.48,0.61
-14.863;-40.863,2015-10-14,rain,NA,NA,NA,28.83,18.23,0.66
-14.863;-40.863,2015-10-15,rain,NA,NA,NA,30,18.21,0.66
-14.863;-40.863,2015-10-16,rain,NA,NA,NA,30.82,18.02,0.62
-14.863;-40.863,2015-10-17,rain,NA,NA,NA,30.74,16.35,0.58
-14.863;-40.863,2015-10-18,rain,NA,NA,NA,28.89,17.46,0.6
-14.863;-40.863,2015-10-19,rain,NA,NA,NA,27.44,18.07,0.67
-14.863;-40.863,2015-10-20,rain,NA,NA,NA,27.55,18.07,0.71
-14.863;-40.863,2015-10-21,rain,NA,NA,NA,31.26,17.54,0.67
-14.863;-40.863,2015-10-22,rain,NA,NA,NA,32.75,18.12,0.59
-14.863;-40.863,2015-10-23,rain,NA,NA,NA,31.12,18.18,0.64
-14.863;-40.863,2015-10-24,rain,NA,NA,NA,31.06,19.13,0.64
-14.863;-40.863,2015-10-25,rain,NA,NA,NA,28.94,17.54,0.6
-14.863;-40.863,2015-10-26,rain,NA,NA,NA,26.29,18.07,0.73
-14.863;-40.863,2015-10-27,rain,NA,NA,NA,29.95,18.12,0.66
-14.863;-40.863,2015-10-28,rain,NA,NA,NA,31.06,17.7,0.62
-14.863;-40.863,2015-10-29,rain,NA,NA,NA,30.02,18.12,0.65
-14.863;-40.863,2015-10-30,rain,NA,NA,NA,23.02,17.49,0.88
-14.863;-40.863,2015-10-31,rain,NA,NA,NA,26.49,18.02,0.73
-14.863;-40.863,2015-11-01,rain,NA,NA,NA,29.08,17.49,0.67
-14.863;-40.863,2015-11-02,rain,NA,NA,NA,29.07,16.54,0.66
-14.863;-40.863,2015-11-03,rain,NA,NA,NA,30.14,17.7,0.65
-14.863;-40.863,2015-11-04,rain,NA,NA,NA,30.29,18.02,0.61
-14.863;-40.863,2015-11-05,rain,NA,NA,NA,32.34,21.3,0.48
-14.863;-40.863,2015-11-06,rain,NA,NA,NA,32.87,19.29,0.53
-14.863;-40.863,2015-11-07,rain,NA,NA,NA,30.22,19.32,0.61
-14.863;-40.863,2015-11-08,rain,NA,NA,NA,29.12,16.48,0.59
-14.863;-40.863,2015-11-09,rain,NA,NA,NA,29.07,17.49,0.6
-14.863;-40.863,2015-11-10,rain,NA,NA,NA,28.13,17.59,0.66
-14.863;-40.863,2015-11-11,rain,NA,NA,NA,29.07,18.12,0.69
-14.863;-40.863,2015-11-12,rain,NA,NA,NA,31.37,21.24,0.61
-14.863;-40.863,2015-11-13,rain,NA,NA,NA,32.64,20.24,0.54
-14.863;-40.863,2015-11-14,rain,NA,NA,NA,32.16,21.43,0.56
-14.863;-40.863,2015-11-15,rain,NA,NA,NA,31.1,20.34,0.63
-14.863;-40.863,2015-11-16,rain,NA,NA,NA,30.2,23.7,0.68
-14.863;-40.863,2015-11-17,rain,NA,NA,NA,31.51,23.21,0.54
-14.863;-40.863,2015-11-18,rain,NA,NA,NA,32.64,20.19,0.55
-14.863;-40.863,2015-11-19,rain,NA,NA,NA,31.11,19.29,0.56
-14.863;-40.863,2015-11-20,rain,NA,NA,NA,32.12,21.35,0.66
-14.863;-40.863,2015-11-21,rain,NA,NA,NA,31.13,21.35,0.72
-14.863;-40.863,2015-11-22,rain,NA,NA,NA,28.89,20.24,0.8
-14.863;-40.863,2015-11-23,rain,NA,NA,NA,32,21.3,0.72
-14.863;-40.863,2015-11-24,rain,NA,NA,NA,31.01,22.56,0.73
-14.863;-40.863,2015-11-25,rain,NA,NA,NA,33.76,20.34,0.65
-14.863;-40.863,2015-11-26,rain,NA,NA,NA,32.12,18.23,0.7
-14.863;-40.863,2015-11-27,rain,NA,NA,NA,25.19,18.06,0.81
-14.863;-40.863,2015-11-28,rain,NA,NA,NA,28.89,20.29,0.77
-14.863;-40.863,2015-11-29,rain,NA,NA,NA,31.06,20.34,0.72
-14.863;-40.863,2015-11-30,rain,NA,NA,NA,31.11,19.13,0.59
-14.863;-40.863,2015-12-01,rain,NA,NA,NA,32.12,17.49,0.59
-14.863;-40.863,2015-12-02,rain,NA,NA,NA,32.38,18.07,0.56
