coordinates,date,precipType,precipProbability,precipIntensity,precipIntensityMax,temperatureHigh,temperatureLow,humidity
19.1500;-96.1170,2015-11-15,NA,0,0,0,27.78,23.31,0.78
19.1500;-96.1170,2015-11-16,rain,0.03,0.0025,0.0178,29.44,23.33,0.82
19.1500;-96.1170,2015-11-17,NA,0,0,0,29.44,25,0.88
19.1500;-96.1170,2015-11-18,NA,0,0,0,30.56,26.04,0.89
19.1500;-96.1170,2015-11-19,NA,0,0,0,28.33,24.44,0.82
19.1500;-96.1170,2015-11-20,rain,0.97,0.0254,0.4902,27.22,24.53,0.85
19.1500;-96.1170,2015-11-21,rain,0.97,0.0432,0.7366,27.22,21.67,0.9
19.1500;-96.1170,2015-11-22,NA,0,0,0,25.56,22.53,0.76
19.1500;-96.1170,2015-11-23,rain,0.03,0.0025,0.0076,25,20.56,0.7
19.1500;-96.1170,2015-11-24,NA,0,0,0,25.56,21.67,0.76
19.1500;-96.1170,2015-11-25,NA,0,0,0,26.67,23.42,0.81
19.1500;-96.1170,2015-11-26,NA,0,0,0,28.89,23.87,0.89
19.1500;-96.1170,2015-11-27,NA,0,0,0,27.78,24.56,0.91
19.1500;-96.1170,2015-11-28,NA,0,0,0,28.44,23.71,0.88
19.1500;-96.1170,2015-11-29,NA,0,0,0.0178,28.33,21.67,0.83
19.1500;-96.1170,2015-11-30,NA,0,0,0,27.22,21.67,0.82
19.1500;-96.1170,2015-12-01,NA,0,0,0,28.33,22.22,0.82
19.1500;-96.1170,2015-12-02,NA,0,0,0.0178,28.89,21.83,0.84
19.1500;-96.1170,2015-12-03,NA,0,0,0,24.44,16.14,0.72
19.1500;-96.1170,2015-12-04,NA,0,0,0,23.33,20,0.61
19.1500;-96.1170,2015-12-05,NA,0,0,0,24.44,18.33,0.61
19.1500;-96.1170,2015-12-06,NA,0,0,0,26.67,22.31,0.7
19.1500;-96.1170,2015-12-07,NA,0,0,0,25.56,21.67,0.68
19.1500;-96.1170,2015-12-08,NA,0,0,0,26.11,21.09,0.75
19.1500;-96.1170,2015-12-09,NA,0,0,0,26.67,21.09,0.84
19.1500;-96.1170,2015-12-10,NA,0,0,0,26.67,21.11,0.89
19.1500;-96.1170,2015-12-11,NA,0,0,0,27.18,22.57,0.95
19.1500;-96.1170,2015-12-12,NA,0,0,0,26.99,23.75,0.96
19.1500;-96.1170,2015-12-13,NA,0,0,0,27.41,24.44,0.93
19.1500;-96.1170,2015-12-14,NA,0,0,0,27.08,22.96,0.92
19.1500;-96.1170,2015-12-15,NA,0,0,0,28.89,23.33,0.94
19.1500;-96.1170,2015-12-16,NA,0,0,0,30,24.27,0.93
19.1500;-96.1170,2015-12-17,NA,0,0,0,27.22,22.78,0.84
19.1500;-96.1170,2015-12-18,NA,0,0,0,23.17,21.83,0.69
19.1500;-96.1170,2015-12-19,NA,0,0,0,23.56,21.09,0.68
19.1500;-96.1170,2015-12-20,rain,0.03,0.0025,0.0178,24.2,19.65,0.75
19.1500;-96.1170,2015-12-21,NA,0,0,0,26.61,21.14,0.86
19.1500;-96.1170,2015-12-22,NA,0,0,0,26.65,21.98,0.95
19.1500;-96.1170,2015-12-23,NA,0,0,0,28.12,23.02,0.95
19.1500;-96.1170,2015-12-24,NA,0,0,0,30.56,23.33,0.92
19.1500;-96.1170,2015-12-25,NA,0,0,0,28.89,22.24,0.93
19.1500;-96.1170,2015-12-26,NA,0,0,0,27.78,23.33,0.94
19.1500;-96.1170,2015-12-27,NA,0,0,0,32.22,22.23,0.88
19.1500;-96.1170,2015-12-28,NA,0,0,0,22.26,20.33,0.84
19.1500;-96.1170,2015-12-29,NA,0,0,0,27.78,22.22,0.8
19.1500;-96.1170,2015-12-30,NA,0,0,0,27.78,22.82,0.86
19.1500;-96.1170,2015-12-31,NA,0,0,0,25.56,22.63,0.86
19.1500;-96.1170,2016-01-01,NA,0,0,0,23.89,20,0.83
19.1500;-96.1170,2016-01-02,NA,0,0,0,22.78,19.93,0.81
19.1500;-96.1170,2016-01-03,NA,0,0,0,21.11,18.85,0.78
19.1500;-96.1170,2016-01-04,rain,1,0.0127,0.254,20,16.67,0.76
19.1500;-96.1170,2016-01-05,NA,0,0,0.0076,22.78,18.89,0.87
19.1500;-96.1170,2016-01-06,NA,0,0,0,23.89,19.66,0.85
19.1500;-96.1170,2016-01-07,NA,0,0,0,26.67,17.78,0.88
19.1500;-96.1170,2016-01-08,NA,0,0,0,26.67,18.89,0.78
19.1500;-96.1170,2016-01-09,NA,0,0,0,26.11,20.56,0.8
19.1500;-96.1170,2016-01-10,NA,0,0,0,21.67,18.33,0.72
