,SARIMAX,LSTM,Naive,Observed
0,1.1174221745628743,1.1260830292873456,0,2.999999899686128
1,1.5442441933063895,2.195234923450016,3,0.0
2,1.4927730310207603,-0.18969327496092767,0,1.0000000104366615
3,0.38825446254644896,0.5939450192802399,1,1.0000000104366615
4,1.0178973982558623,1.0333736341804265,1,1.0000000104366615
5,1.5604351108348136,0.9618899022087082,1,1.0000000104366615
6,0.5439300627440011,1.194713024421446,1,0.0
7,0.28383660014091244,0.6081059035296739,0,1.0000000104366615
8,0.5134966003472707,0.7299915034013801,1,1.0000000104366615
9,1.1432173114568578,0.6661690038221701,1,0.0
10,0.6550506670874088,-0.035029451861344284,0,0.0
11,-0.2986959489904832,0.1000719071565941,0,1.0000000104366615
12,0.6558472359434242,1.200915798669532,1,1.0000000104366615
13,1.104538064684321,0.9947854681048542,1,2.0000000208733235
14,1.3616598906621944,2.0669720819081365,2,0.0
15,1.0442081085475454,0.3669448048650846,0,0.0
16,0.12401803954817447,-0.034193632144660216,0,0.0
17,-0.26364786675995755,-0.009907344148545529,0,0.0
18,-3.6027260781183036e-17,0.01678020722471876,0,0.0
19,0.2084303368790897,0.0035855983869638288,0,0.0
20,-0.2066987805113835,-0.008185037756829987,0,0.0
21,0.2611919082571106,-0.002981601187933702,0,1.0000000104366615
22,0.3590949560980535,1.1216095292688906,1,0.0
23,0.4773683604430508,-0.025116340942576063,0,2.0000000208733235
24,1.0505928661399908,0.8107085831103101,2,0.0
25,1.1380419633349828,0.04502143014976289,0,0.0
26,-0.14493037434122774,-0.045509976773464585,0,0.0
27,0.03495298731007971,-0.008833449781013188,0,1.0000000104366615
28,0.3553773524615799,1.0691680838970468,1,0.0
29,0.6065825380034058,0.1514818163632974,0,0.0
30,-0.1192210108053712,-0.02944294873692794,0,0.0
31,0.05044644144517702,0.011370409127953462,0,1.0000000104366615
32,0.5298476795057353,1.0975217053692414,1,0.0
33,0.4748990688147859,0.13378316254583653,0,0.0
34,0.05540469953338322,-0.037479457197936716,0,2.0000000208733235
35,1.0078653902784744,1.1143841692779213,2,0.0
36,0.9547536152678576,0.4132504725319147,0,0.0
37,-0.038636927268268034,0.05441333116213442,0,1.0000000104366615
38,0.5012110196836024,1.0634783794424685,1,1.0000000104366615
39,0.9716236725973268,0.979274254709296,1,0.0
40,0.5128862516372734,-0.1315677602808713,0,0.0
41,0.0093720040288202,0.00783546124635497,0,1.0000000104366615
42,0.491956447929445,1.0368103330794722,1,1.0000000104366615
43,0.9861068796477191,1.0236601884258163,1,0.0
44,0.4894953359466401,-0.07146438326478005,0,0.0
45,-1.3684917378504534e-17,0.024757509629675187,0,0.0
46,0.037131190472559236,0.008229325071371859,0,0.0
47,-0.009283523836056068,0.00162294683287153,0,0.0
48,0.004642557981807651,-0.0029067195531947074,0,2.999999899686128
49,1.5262162598789524,1.0991985933038966,3,0.0
50,1.4416525689213049,0.44565804297925904,0,0.0
51,0.05501036812170276,0.025949162103274137,0,0.0
