,SARIMAX,Naive,LSTM,Observed
0,1.764098319718527,2,2.7944837252970784,69.99999777668417
1,44.124669959644066,70,9.674975734878332,0.9999999725556932
2,29.82687191406414,1,9.110051868360118,0.0
3,-0.25532591383618913,0,8.624600103687866,0.0
4,1.3463154954870762,0,4.1635323123544445,0.0
5,-0.625276622138256,0,0.729894224582985,0.9999999725556932
6,0.5569864616816494,1,0.9464173662214541,0.9999999725556932
7,1.5236087847221766,1,0.8057069638299755,1.9999999451113863
8,1.9372305102706693,2,1.5904127494491638,0.0
9,1.2561555622947025,0,2.3894376026341693,0.9999999725556932
10,-1.0722923898012544,1,2.18205659654513,0.0
11,1.1690612263685776,0,0.9661635992951692,0.0
12,0.6629336020249271,0,0.9752623670836912,0.9999999725556932
13,0.10916671584542294,1,1.884394036427047,0.0
14,2.685916285429376,0,4.019503596271202,0.0
15,-1.408651905889721,0,7.496551754961161,0.0
16,-0.5737387382213445,0,6.677193012876064,3.0000000687742605
17,1.7824038228985843,3,4.361984999554977,0.9999999725556932
18,1.174612535233865,1,2.1094296499922867,0.0
19,0.6605713031140777,0,1.0945424468707294,0.0
20,-0.23521633968545774,0,0.6438039304295555,0.0
21,0.8297179655815935,0,1.2194400872135536,0.0
22,-0.7653569556688387,0,1.381618589004688,0.9999999725556932
23,0.11780182485041495,1,0.8855711888102814,0.0
24,0.878375347483851,0,0.17175015950216913,0.9999999725556932
25,0.2829530881426968,1,0.3440046014436753,3.999999890222773
26,3.7667976384094306,4,1.2710767352726309,0.0
27,1.743106530083408,0,2.263491278456152,0.0
28,-0.6539428883740855,0,2.7651900872148567,1.9999999451113863
29,1.053902650421542,2,1.4245278907258063,0.0
30,0.4870539332210964,0,0.27740010713774244,0.9999999725556932
31,0.6798082886917779,1,0.2910610273773083,0.9999999725556932
32,1.0510828521653992,1,0.3271083631314337,0.9999999725556932
33,1.0255438336721374,1,0.5576543644844322,0.9999999725556932
34,1.1784954723667342,1,0.6297010594627587,1.9999999451113863
35,1.6285371177563592,2,0.7570380608030595,0.9999999725556932
36,1.2947995261755318,1,0.7965880987863988,1.9999999451113863
37,1.7308289100653294,2,0.7439148554665967,7.0000002612113965
38,4.6941127593879735,7,1.043340836385358,0.9999999725556932
39,3.3342075457950853,1,0.8675985007183626,12.000000275097044
40,7.672797121657664,12,1.2227240995752626,12.999999794331195
41,12.653342449695355,13,2.3987473160471766,15.00000004165694
42,14.154481880523296,15,3.391344094490819,0.9999999725556932
43,6.490780785199384,1,3.2790871742559595,21.000000783634185
44,13.108018529697928,21,3.523637524693832,5.000000013885646
45,11.34564660270886,5,3.0488288431985304,7.999999780445546
46,6.796532096576206,8,2.764462355031818,3.0000000687742605
47,5.006582489961398,3,2.0169703392726372,5.000000013885646
48,4.224385896481212,5,1.1428512614856474,3.0000000687742605
49,3.748576069735757,3,1.018487936134357,5.000000013885646
50,4.224189472560564,5,0.9943913273235784,3.0000000687742605
51,3.8843050993509873,3,0.9603715099454856,3.0000000687742605
