,SARIMAX Error,Naive Error,LSTM Error
0,13.009898872015185,0,3.6832185930824286
1,1.1178614063103132,2,3.98227180333376
2,-8.595480413292941,-2,-1.3910564247944952
3,1.4542474728284542,-1,-2.647462503991723
4,5.335424492084637,2,-0.7716196877106278
5,-0.5597538567117537,1,0.054545488299224516
6,4.157533065044227,0,0.19850974871374666
7,-5.246755812454482,0,0.05632230942768976
8,8.707828991789299,0,0.289735117553249
9,-7.351063186778034,0,0.03267599265569821
10,0.4853617678240266,0,0.3886849529707432
11,2.6421382344680198,0,0.19769372097782792
12,-4.040799938099926,0,-0.009219110893830656
13,-0.4722635768879394,0,0.15331761776432395
14,5.034141720015122,0,0.12641554581031206
15,-2.7453951952978373,0,-0.023827175504639742
16,-3.758197471796012,0,0.1536071729171276
17,3.30442130666152,0,0.11577805331543088
18,-1.101361059649955,0,-0.0118399295081757
19,3.26879912094622,0,0.04901654875503853
20,0.0,0,0.041839378605540836
21,-2.15872187850954,0,0.06104950112534688
22,-1.7096157057430412,0,0.10658046953365206
23,0.8548809316861842,0,0.0669391687935777
24,-1.9172118019321305,0,-0.003961322371214628
25,0.7026339963729487,-1,-0.9493675559910572
26,-2.981023127276456,0,-0.9802965805925614
27,2.692862931422606,1,0.12373359663441776
28,2.7333281998330405,0,0.020626638676207516
29,-2.493491123771624,0,-0.06883811396773905
30,0.07530213119527085,-2,-1.9086270762450803
31,-4.1575929767962965,-1,-2.978305346535668
32,4.25002824819197,1,-1.7750036013081667
33,-9.230290273561755,-6,-7.913639013371746
34,8.220503398965283,6,-1.3712404201564192
35,-3.1494087572702814,-5,-6.685289895162881
36,-4.80128574809241,0,-6.4228726828034235
37,-3.0000000000000013,-3,-9.12229839310974
38,6.486865413035502,9,-0.26714135259494176
39,-1.41228026184183,-6,-6.469112776453495
40,1.7637008406047978,6,-0.4679383390845358
41,2.76571754602648,-3,-3.601339471447468
42,-5.4169481758666285,-1,-4.818172806485443
43,-8.253912951416869,-8,-12.457030327126233
44,4.627513619420489,8,-4.3476823484046765
45,8.141532798010623,4,-0.4644925707833468
46,-3.792804966657095,-5,-5.628638537406625
47,1.5800206132692636,4,-1.462657125210017
48,2.1660997998299742,0,-1.7140317873106148
49,-4.382884478663272,-4,-5.788166953473612
50,3.264050139979483,6,0.34375713109254835
51,3.248003632452709,0,0.19588663554288446
