,SARIMAX Error,LSTM Error,Naive Error
0,-68.23590168028147,-67.32109230745733,-68
1,43.124669959644066,74.89825022365683,69
2,29.82687191406414,21.882079885494708,1
3,-0.25532591383618913,0.09089138483421412,0
4,1.3463154954870762,-0.024920180723280647,0
5,-1.6252766221382557,-1.0548975655209012,-1
6,-0.44301353831835055,0.17832400185205033,0
7,-0.4763912152778234,-0.9852939950532746,-1
8,1.9372305102706693,2.0140331178910102,2
9,0.2561555622947023,-1.2202288666976615,-1
10,-1.0722923898012544,1.1769838803742547,1
11,1.1690612263685776,-0.18269968804190867,0
12,-0.3370663979750729,-0.9551507615687472,-1
13,0.10916671584542294,1.1082143979344985,1
14,2.685916285429376,-0.002792002658717684,0
15,-1.408651905889721,-0.012275011217153952,0
16,-3.5737387382213446,-2.4059610595312204,-3
17,0.7824038228985843,0.8432794621373526,2
18,1.174612535233865,0.19415185573039345,1
19,0.6605713031140777,-0.011772694351692916,0
20,-0.23521633968545774,0.0061722596699131825,0
21,0.8297179655815935,-0.008461290271877807,0
22,-1.7653569556688389,-0.9893428068978036,-1
23,0.11780182485041495,1.0920900528789033,1
24,-0.12162465251614896,-1.0444536652188283,-1
25,-3.7170469118573033,-2.9943092212357563,-3
26,3.7667976384094306,2.3976259496579884,4
27,1.743106530083408,1.3047009540512229,0
28,-2.6539428883740857,-2.066963465356952,-2
29,1.053902650421542,2.035963303049747,2
30,-0.5129460667789036,-0.024911303176405,-1
31,-0.320191711308222,-0.048146374395489744,0
32,0.051082852165399206,-0.03039362280531788,0
33,0.025543833672137417,-0.0312586358621717,0
34,-0.821504527633266,-1.0312873943358194,-1
35,0.6285371177563592,1.1338112743904816,1
36,-0.7052004738244682,-1.1265418101334943,-1
37,-5.2691710899346695,-4.9327476475417615,-5
38,3.6941127593879743,2.5317680251116865,6
39,-8.665792454204915,-9.552224723146855,-11
40,-5.327202878342336,-9.452423265616225,-1
41,-2.346657550304643,-9.06100126859434,-2
42,13.154481880523296,7.384587529335636,14
43,-14.509219214800614,-13.656670501211286,-20
44,8.108018529697928,3.4438360091935847,16
45,3.3456466027088614,-0.6539151163298644,-3
46,3.7965320965762057,5.1530247448744255,5
47,0.006582489961399318,1.3972373294331133,-2
48,1.2243858964812118,1.8847870662044737,2
49,-1.251423930264243,-1.5505793855017052,-2
50,1.224189472560564,1.5319339682405817,2
51,0.8843050993509873,0.4346471127510072,0
