Date,Predicted,Observed,error
2016-01-05,95.16950914879514,105,-9.830490851204857
2016-01-17,102.19484504215147,194,-91.80515495784853
2016-01-24,127.60254157398641,0,127.60254157398641
2016-01-31,122.90849181003631,573,-450.0915081899637
2016-02-10,68.96914595595536,292,-223.03085404404464
2016-02-14,98.46951901324391,283,-184.5304809867561
2016-02-21,98.40650708063156,231,-132.59349291936843
2016-02-28,98.34349514789217,214,-115.65650485210783
2016-03-01,94.6654138981631,167,-72.3345861018369
2016-03-04,94.7979625367231,198,-103.2020374632769
2016-03-07,83.72203271423932,142,-58.27796728576068
2016-03-13,115.58386331945188,82,33.58386331945188
2016-03-20,84.26134561323911,166,-81.73865438676089
2016-03-27,79.56729578417858,156,-76.43270421582142
2016-04-09,91.23240759829287,113,-21.767592401707134
2016-04-12,59.554558047884086,77,-17.445441952115914
2016-04-17,82.85153838709674,63,19.85153838709674
2016-04-24,95.5238806449362,69,26.5238806449362
2016-05-06,81.49550085812727,66,15.495500858127272
2016-05-15,69.86413640808269,84,-14.135863591917314
2016-05-22,57.06577026177325,26,31.065770261773253
2016-05-29,62.79155571706252,36,26.791555717062522
2016-06-03,74.29689630357723,34,40.29689630357723
2016-06-11,86.03426231477049,37,49.03426231477049
2016-06-19,57.9714821608015,29,28.9714821608015
2016-06-26,64.85502714439575,2,62.85502714439575
2016-07-02,104.36937831988209,17,87.36937831988209
2016-07-08,97.13704255358866,14,83.13704255358866
2016-07-17,72.77034820406243,12,60.77034820406243
2016-07-24,53.02544412222475,11,42.02544412222475
2016-07-31,69.17108370106652,8,61.17108370106652
2016-08-05,65.6281769973195,5,60.6281769973195
2016-08-14,37.79290651517428,2,35.79290651517428
2016-08-21,66.67755762969962,4,62.67755762969962
2016-08-28,60.836222194297925,4,56.836222194297925
2016-09-10,73.67854495012442,8,65.67854495012442
2016-09-18,76.8872406028051,5,71.8872406028051
2016-09-25,86.10578708671764,9,77.10578708671764
2016-10-01,73.53766131313466,5,68.53766131313466
2016-10-04,49.9724777755269,5,44.9724777755269
2016-10-07,59.38254656506021,3,56.38254656506021
2016-10-16,97.58117250836901,4,93.58117250836901
2016-10-23,44.29726163256072,-4,48.29726163256072
2016-10-30,35.00821072786976,4,31.00821072786976
2016-11-09,36.7122460462257,2,34.7122460462257
2016-11-12,59.500881169014264,4,55.500881169014264
2016-11-13,82.44962231328206,1,81.44962231328206
2016-11-20,32.66712447525138,2,30.667124475251377
2016-11-27,74.3476249980456,3,71.3476249980456
2016-12-06,23.22089956373747,14,9.220899563737468
2016-12-18,16.490206471490016,2,14.490206471490016
2016-12-25,15.34940119506868,5,10.34940119506868
2017-01-01,14.208595918604715,0,14.208595918604715
2017-01-10,12.896461757326556,4,8.896461757326556
2017-01-15,16.574553317895205,5,11.574553317895205
2017-01-22,10.81097517993863,4,6.81097517993863
2017-01-29,14.309472825338828,3,11.309472825338828
2017-02-04,42.32263750958201,0,42.32263750958201
2017-02-07,8.3674731686205,2,6.367473168620499
2017-02-19,6.2835497860473914,1,5.2835497860473914
2017-02-26,15.571758287906714,2,13.571758287906714
2017-03-09,9.996866480985204,3,6.996866480985204
2017-03-12,2.8886695224984464,2,0.8886695224984464
2017-03-19,31.858960534479984,2,29.858960534479984
2017-03-26,0.6257589546372806,1,-0.3742410453627194
2017-04-06,5.470971857774474,0,5.470971857774474
2017-04-16,15.755544669434432,3,12.755544669434432
2017-04-23,6.519773100817687,0,6.519773100817687
2017-04-30,10.019355734274974,4,6.019355734274974
2017-05-02,9.840071815723089,3,6.840071815723089
2017-05-03,-29.92558616358554,1,-30.92558616358554
2017-05-11,-0.18630447457339905,1,-1.186304474573399
2017-05-14,-7.29442793609935,0,-7.29442793609935
2017-05-21,40.20001473569957,3,37.20001473569957
2017-05-28,-9.557338317756036,0,-9.557338317756036
2017-06-08,-4.712125268349009,0,-4.712125268349009
2017-06-18,-12.951703860071397,0,-12.951703860071397
2017-06-25,12.545308847603962,-2,14.545308847603962
2017-07-05,-59.79059395025013,2,-61.79059395025013
2017-07-16,-11.688727173763102,0,-11.688727173763102
2017-07-23,-18.60897969905073,2,-20.60897969905073
2017-07-30,-4.689561711910034,0,-4.689561711910034
2017-08-01,-19.919718750470707,-2,-17.919718750470707
2017-08-10,46.46603041823508,3,43.46603041823508
2017-08-13,16.202717580547144,1,15.202717580547144
2017-08-20,5.809186727091019,0,5.809186727091019
2017-08-27,-3.4265846534461892,2,-5.42658465344619
2017-09-04,-8.683895438572742,-1,-7.683895438572742
2017-09-07,-17.10552298082812,3,-20.10552298082812
2017-09-17,2.441125919824829,1,1.4411259198248292
2017-09-24,-28.792075446102203,0,-28.792075446102203
2017-10-09,-1.6058165867990208,0,-1.6058165867990208
2017-10-12,-25.078317276846754,1,-26.078317276846754
2017-10-15,-32.186440656188736,0,-32.186440656188736
2017-10-22,-33.317895726288086,-3,-30.317895726288086
2017-10-29,-34.44935079642926,0,-34.44935079642926
2017-11-06,-18.866991069103854,4,-22.866991069103854
2017-11-19,-7.7419697105618805,8,-15.74196971056188
2017-11-26,-38.975171076615155,-7,-31.975171076615155
2017-12-02,-17.908414676315715,1,-18.908414676315715
2017-12-03,-40.106626146587445,0,-40.106626146587445
2017-12-11,-19.89322852759781,0,-19.89322852759781
2017-12-17,-20.37210630126927,0,-20.37210630126927
2017-12-24,-7.610447696247828,1,-8.610447696247828
