Date,predictions_incidence,observed_incidence,Predicted Cases,Observed Cases,error
02/01/2017,-0.28614211802598477,0.0,-47.83997481023246,0.0,-47.83997481023246
09/01/2017,-0.48592039029414014,0.0,-81.24081624830556,0.0,-81.24081624830556
16/01/2017,-0.4090629465246682,0.0,-68.3910540417628,0.0,-68.3910540417628
23/01/2017,-0.4738187875357429,0.005981234713459381,-79.21755460783434,1.0,-80.21755460783434
30/01/2017,-0.4767554548616903,-0.005981234713459381,-79.70853472592586,-1.0,-78.70853472592586
06/02/2017,-0.5281683972216293,-0.005981234713459381,-88.30424193738943,-1.0,-87.30424193738943
13/02/2017,-0.4338118131816816,0.005981234713459381,-72.52880616864755,1.0,-73.52880616864755
20/02/2017,-0.3859336834458113,0.783541747463179,-64.52408272448447,131.0,-195.52408272448446
27/02/2017,0.2967606970137815,0.783541747463179,49.61529035902744,131.0,-81.38470964097256
06/03/2017,0.2452002617254646,0.7895229821766383,40.994923869765266,132.0,-91.00507613023473
13/03/2017,0.4009435834088665,0.3349491439537253,67.03358129495169,56.0,11.033581294951688
20/03/2017,-0.0004867993602024334,0.34093037866718473,-0.08138777084052636,57.0,-57.08138777084053
27/03/2017,0.13724238761960292,1.1663407691245793,22.94549439947086,195.0,-172.05450560052913
03/04/2017,0.7560622354124307,1.1663407691245793,126.4057124712207,195.0,-68.5942875287793
10/04/2017,0.6205914854389739,1.1663407691245793,103.75641739028846,195.0,-91.24358260971154
17/04/2017,0.7960025677573441,0.0,133.08331906222054,0.0,133.08331906222054
24/04/2017,-0.2409868992448173,0.0,-40.29049365050534,0.0,-40.29049365050534
01/05/2017,0.013070522447748815,0.0,2.1852548970092474,0.0,2.1852548970092474
08/05/2017,-0.30658741791769134,0.0,-51.25821550319493,0.0,-51.25821550319493
15/05/2017,-0.32142765471975737,0.36485531752102224,-53.73934816442816,61.0,-114.73934816442815
22/05/2017,-0.05312642133524614,0.36485531752102224,-8.882183007414415,61.0,-69.88218300741441
29/05/2017,-0.03345173414293062,0.36485531752102224,-5.592780712593548,61.0,-66.59278071259355
05/06/2017,0.06333078249320179,0.36485531752102224,10.58824565949411,61.0,-50.411754340505894
12/06/2017,0.08874604322273039,0.36485531752102224,14.837411918149275,61.0,-46.16258808185073
19/06/2017,0.09210339160206807,0.36485531752102224,15.398725516457455,61.0,-45.60127448354255
26/06/2017,0.08551945532422023,0.0,14.297960107096037,0.0,14.297960107096037
03/07/2017,-0.25400716849256066,0.0,-42.46734673711708,0.0,-42.46734673711708
10/07/2017,-0.173991245358715,0.0,-29.0895197553756,0.0,-29.0895197553756
17/07/2017,-0.28177816907877684,0.0,-47.11036810588631,0.0,-47.11036810588631
24/07/2017,-0.2334755939828782,0.0,-39.034681828736055,0.0,-39.034681828736055
31/07/2017,-0.27714112927781676,0.0,-46.3351034618613,0.0,-46.3351034618613
07/08/2017,-0.27503193584006214,0.0,-45.98246833904822,0.0,-45.98246833904822
14/08/2017,-0.24150861106564225,0.0,-40.37771842027586,0.0,-40.37771842027586
21/08/2017,-0.22928429968305053,0.0,-38.33394117891736,0.0,-38.33394117891736
28/08/2017,-0.2526710055253526,0.0,-42.24395423854127,0.0,-42.24395423854127
04/09/2017,-0.21671063285110867,1.4953086783648453,-36.231755353698404,250.0,-286.2317553536984
11/09/2017,1.1390757713297581,1.4953086783648453,190.4415770152829,250.0,-59.55842298471711
18/09/2017,0.9258668412204052,1.4953086783648453,154.7952698022294,250.0,-95.2047301977706
25/09/2017,1.2445998433593288,0.005981234713459381,208.0841001873151,1.0,207.0841001873151
02/10/2017,-0.03607118795482789,0.0,-6.030726042844974,0.0,-6.030726042844974
09/10/2017,0.2601948937870191,0.0,43.501869806498455,0.0,43.501869806498455
16/10/2017,-0.19238952561555317,0.0,-32.16552013627307,0.0,-32.16552013627307
23/10/2017,-0.17842877826918319,0.0,-29.8314289301623,0.0,-29.8314289301623
30/10/2017,-0.2640434983153403,0.0,-44.14531630420249,0.0,-44.14531630420249
06/11/2017,-0.23420082829999972,0.005981234713459381,-39.1559334351125,1.0,-40.1559334351125
13/11/2017,-0.15139626736006837,0.0,-25.311875325572192,0.0,-25.311875325572192
20/11/2017,-0.21836959952685897,0.0,-36.50911726227176,0.0,-36.50911726227176
27/11/2017,-0.16121782296937984,0.0,-26.95393688640851,0.0,-26.95393688640851
04/12/2017,-0.17878309311121798,0.0,-29.890666672703567,0.0,-29.890666672703567
11/12/2017,-0.1724073109713756,0.0,-28.82470246208746,0.0,-28.82470246208746
18/12/2017,-0.17171972126717672,0.0,-28.709744641981917,0.0,-28.709744641981917
25/12/2017,-0.1739942345403021,0.0,-29.09001951532991,0.0,-29.09001951532991
