Date,Searches,Observed,Predicted,error
01/02/2016,0.66,948.9999999999999,200.2437432328892,748.7562567671107
08/02/2016,0.43,948.9999999999999,477.0216501807785,471.97834981922136
15/02/2016,0.68,950.9999999999999,589.3461751886368,361.65382481136305
22/02/2016,0.67,1607.0,157.0590337445545,1449.9409662554456
29/02/2016,0.76,1607.0,760.57472833004,846.42527166996
07/03/2016,0.82,1607.0,1064.690469643097,542.309530356903
14/03/2016,0.74,1018.0,1042.3915882156373,-24.391588215637285
21/03/2016,0.75,1019.0,1638.8115902297973,-619.8115902297973
28/03/2016,0.51,640.0,1420.6750832895661,-780.6750832895661
04/04/2016,0.57,640.0,1903.9453770092773,-1263.9453770092773
11/04/2016,0.51,642.0,1062.4624546281434,-420.4624546281434
18/04/2016,0.45,337.0,1504.301981343155,-1167.301981343155
25/04/2016,0.37,337.0,712.0115237269592,-375.01152372695924
02/05/2016,0.33,337.0,644.5276639522552,-307.52766395225524
09/05/2016,0.26,339.0,966.6424009984588,-627.6424009984588
16/05/2016,0.46,-2.9999999999999996,396.36980273159026,-399.36980273159026
23/05/2016,0.22,-2.9999999999999996,370.3880851939964,-373.3880851939964
30/05/2016,0.27,-2.9999999999999996,226.76878112428665,-229.76878112428665
06/06/2016,0.19,-2.9999999999999996,51.67290514989376,-54.67290514989376
13/06/2016,0.21,-2.9999999999999996,-2.2122992068494858,-0.7877007931505138
20/06/2016,0.28,1.9999999999999998,-1.2550188304188847,3.2550188304188845
27/06/2016,0.19,54.0,-0.4119805243383348,54.41198052433833
04/07/2016,0.26,54.0,15.818496544760466,38.181503455239536
11/07/2016,0.27,54.0,33.64178112099409,20.35821887900591
18/07/2016,0.21,54.0,66.26404824105263,-12.264048241052635
25/07/2016,0.2,54.0,69.00960922032833,-15.00960922032833
01/08/2016,0.34,57.0,64.29728923552513,-7.2972892355251275
08/08/2016,0.2,-93.0,69.22242574222088,-162.22242574222088
15/08/2016,0.16,-186.0,4.269250676680803,-190.2692506766808
22/08/2016,0.16,2.9999999999999996,-14.882675353821517,17.882675353821515
29/08/2016,0.16,2.9999999999999996,-56.572141384863855,59.572141384863855
05/09/2016,0.15,5.0,-78.76246825911522,83.76246825911522
12/09/2016,0.4,5.0,-22.128082825123073,27.128082825123073
19/09/2016,0.17,5.0,2.701380638795197,2.298619361204803
26/09/2016,0.19,1.9999999999999998,2.877595521375686,-0.8775955213756863
03/10/2016,0.15,7.999999999999999,4.1542627540344,3.8457372459655987
10/10/2016,0.15,7.999999999999999,2.486094858008027,5.513905141991972
17/10/2016,0.48,10.0,4.4724198980903624,5.5275801019096376
24/10/2016,0.38,10.0,6.1231995223850015,3.8768004776149985
31/10/2016,0.26,11.999999999999998,6.396772322633266,5.603227677366732
07/11/2016,0.26,13.0,9.130821370685101,3.8691786293148986
14/11/2016,0.58,9.0,5.662520075075626,3.3374799249243736
21/11/2016,0.27,11.999999999999998,7.110961300771833,4.889038699228165
28/11/2016,0.15,9.0,8.974006712141037,0.025993287858963043
05/12/2016,0.25,11.0,8.76405322453797,2.235946775462031
12/12/2016,0.3,11.0,2.612064432924986,8.387935567075015
19/12/2016,0.34,11.0,7.583901678657532,3.416098321342468
26/12/2016,0.35,1.9999999999999998,7.927875697452426,-5.927875697452426
02/01/2017,0.19,11.0,6.181402751477361,4.818597248522639
09/01/2017,0.46,11.0,6.49664100099802,4.50335899900198
16/01/2017,0.21,11.0,7.179875535309911,3.820124464690089
23/01/2017,0.19,11.999999999999998,5.7061178167951105,6.293882183204888
30/01/2017,0.32,25.0,9.67867505880475,15.32132494119525
06/02/2017,0.47,25.0,8.968312114123107,16.03168788587689
13/02/2017,0.41,27.0,16.202224963009357,10.797775036990643
