,Searches,Cases,predictions,error
4,0.67,0.0,8.806123905394077,-8.806123905394077
5,0.3,0.0,3.2645923118329048,-3.2645923118329048
6,0.32,0.0,1.4554610622185469,-1.4554610622185469
7,0.15,0.0,2.8464117347770928,-2.8464117347770928
8,0.12,0.0,1.135549010131359,-1.135549010131359
9,0.15,0.0,2.2624164196628334,-2.2624164196628334
10,0.28,0.0,7.236713426246643,-7.236713426246643
11,0.1,0.0,6.504569241178036,-6.504569241178036
12,0.11,0.0,4.126477802727223,-4.126477802727223
13,0.12,0.0,3.8290144042682646,-3.8290144042682646
14,0.23,0.0,9.010307919538022,-9.010307919538022
15,0.08,0.0,7.223104667818546,-7.223104667818546
16,0.2,0.0,5.874411024870873,-5.874411024870873
17,0.13,0.0,5.116566662511826,-5.116566662511826
18,0.08,0.0,7.526439079499244,-7.526439079499244
19,0.15,1.0,5.3602098968863485,-4.3602098968863485
20,0.09,0.0,8.792422840235233,-8.792422840235233
21,0.14,0.0,9.086777561604977,-9.086777561604977
22,0.08,0.0,7.2172100057649615,-7.2172100057649615
23,0.1,0.0,8.652559071514606,-8.652559071514606
24,0.04,0.0,8.108040903971196,-8.108040903971196
25,0.02,0.0,10.291500167746545,-10.291500167746545
26,0.04,0.0,11.107786896517277,-11.107786896517277
27,0.01,0.0,13.394031612143516,-13.394031612143516
28,0.04,0.0,13.743262303509713,-13.743262303509713
29,0.02,1.0,13.149530154032707,-12.149530154032707
30,0.09,1.0,14.296663277440071,-13.296663277440071
31,0.05,0.0,12.835226498703957,-12.835226498703957
32,0.02,1.0,12.420511429095269,-11.420511429095269
33,0.07,0.0,11.28450241104126,-11.28450241104126
34,0.05,0.0,13.082393409023284,-13.082393409023284
35,0.06,0.0,12.498938584146499,-12.498938584146499
36,0.04,4.0,11.07488831995964,-7.074888319959641
37,0.1,7.000000000000001,13.441315544252395,-6.441315544252395
38,0.11,23.0,15.409235540270805,7.590764459729195
39,0.34,56.00000000000001,22.218976173357962,33.78102382664204
40,0.57,28.999999999999996,39.39816657541275,-10.398166575412755
41,0.6,48.0,36.9963118752861,11.003688124713896
42,0.95,143.0,30.849653972492217,112.15034602750778
43,1.0,45.0,81.3244817673874,-36.3244817673874
44,0.96,53.0,93.53283266021728,-40.53283266021728
45,0.77,10.0,136.69913391807557,-126.69913391807557
46,0.6,27.0,130.8972180057907,-103.8972180057907
47,0.5,2.0,73.62292079948425,-71.62292079948425
48,0.38,1.0,48.71777756664276,-47.71777756664276
49,0.42,303.0,21.64722675737858,281.3527732426214
50,0.17,22.0,303.4913972036743,-281.4913972036743
51,0.32,2.0,22.464789760203363,-20.464789760203363
52,0.29,2.0,23.246289057331087,-21.246289057331087
53,0.02,0.0,68.70557494789124,-68.70557494789124
54,0.14,2.0,-0.5673134005238116,2.567313400523812
55,0.28,3.0,5.861166534739732,-2.8611665347397324
56,0.19,1.0,11.580933652420043,-10.580933652420043
57,0.33,0.0,5.101528294055462,-5.101528294055462
58,0.13,0.0,3.212714021989107,-3.212714021989107
59,0.48,0.0,2.41019568126142,-2.41019568126142
60,0.18,0.0,3.473177297296524,-3.473177297296524
61,0.2,0.0,2.719227172819972,-2.719227172819972
62,0.31,0.0,-1.169995250160098,1.169995250160098
63,0.14,0.0,5.172713566503525,-5.172713566503525
64,0.12,0.0,2.5664736464458704,-2.5664736464458704
65,0.34,0.0,2.4928731416875123,-2.4928731416875123
66,0.22,0.0,7.325542252981663,-7.325542252981663
67,0.05,0.0,3.944225410089493,-3.944225410089493
68,0.2,0.0,0.3257538380227983,-0.3257538380227983
69,0.15,0.0,6.756194337732792,-6.756194337732792
70,0.3,0.0,8.281840746388434,-8.281840746388434
71,0.3,0.0,3.839341315128803,-3.839341315128803
72,0.2,0.0,3.9994675555467607,-3.9994675555467607
73,0.12,0.0,0.7768272701446712,-0.7768272701446712
74,0.16,0.0,1.9586082684797048,-1.9586082684797048
75,0.07,0.0,5.852085764744282,-5.852085764744282
76,0.15,0.0,7.464289186546803,-7.464289186546803
77,0.03,1.0,7.495198972632885,-6.495198972632885
78,0.11,1.0,9.874341639802456,-8.874341639802456
79,0.22,0.0,9.44283284812212,-9.44283284812212
80,0.1,0.0,10.387579268605709,-10.387579268605709
81,0.2,0.0,6.027991878926754,-6.027991878926754
82,0.09,2.0,4.963912690091133,-2.9639126900911332
83,0.27,3.0,7.697192799801827,-4.697192799801827
84,0.09,2.0,6.893804601638317,-4.893804601638317
85,0.33,8.0,7.748755644743443,0.2512443552565573
86,0.29,2.0,6.544369462306499,-4.544369462306499
87,0.16,7.000000000000001,8.599961018030644,-1.5999610180306432
88,0.16,7.000000000000001,2.4285879880791903,4.571412011920811
89,0.1,10.0,6.643884509572983,3.356115490427017
90,0.13,1.0,11.812012491295338,-10.812012491295338
91,0.05,7.000000000000001,11.851115453317165,-4.851115453317164
92,0.21,1.0,10.399193133637905,-9.399193133637905
93,0.05,4.0,12.009339869935513,-8.009339869935513
94,0.06,5.0,9.990756447451115,-4.9907564474511155
95,0.07,13.0,9.936118491504192,3.0638815084958075
96,0.1,5.0,18.971903068728448,-13.971903068728448
97,0.07,1.0,18.047017089800836,-17.047017089800836
98,0.06,6.0,12.2743685140872,-6.2743685140872
99,0.08,2.0,11.649642663314342,-9.649642663314342
100,0.06,2.0,14.361587712373733,-12.361587712373733
101,0.01,6.0,12.370893891289235,-6.370893891289235
102,0.04,0.0,14.19120321899414,-14.19120321899414
103,0.36,0.0,15.59974900387764,-15.59974900387764
