CITY,2017-01-07,2017-01-14,2017-01-21,2017-01-28,2017-02-04,2017-02-11,2017-02-18,2017-02-25,2017-03-04,2017-03-11,2017-03-18,2017-03-25,2017-04-01,2017-04-08,2017-04-15,2017-04-22,2017-04-29,2017-05-06,2017-05-13,2017-05-20,2017-05-27,2017-06-03,2017-06-10,2017-06-17,2017-06-24,2017-07-01,2017-07-08,2017-07-15,2017-07-22,2017-07-29,2017-08-05,2017-08-12,2017-08-19,2017-08-26,2017-09-02,2017-09-09,2017-09-16,2017-09-23,2017-09-30,2017-10-07,2017-10-14,2017-10-21,2017-10-28,2017-11-04,2017-11-11,2017-11-18,2017-11-25,2017-12-02,2017-12-09,2017-12-16,2017-12-23,2017-12-30
Mexico-Aguascalientes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Baja_California,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Baja_California_Sur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,3,3,2,1,7,3,0,0
Mexico-Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Chiapas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Chihuahua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Coahuila_de_Zaragoza,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,12,13,3,12,33,60,37,28,0,39,4,8,13,6,0,1,0
Mexico-Colima,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0
Mexico-Durango,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Mexico-Guanajuato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Guerrero,0,1,1,1,1,0,1,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,1,1,0,0,0,0,0,3,0,0,0,0
Mexico-Hidalgo,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,6,0,11,4,4,1,0,3,0,2,9,9,1,7,3,2,3,2,0,3,2,6,0,2,0,0,0
Mexico-Jalisco,0,1,0,1,2,1,0,3,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,2,2,5,4,4,3,5,8,0,8,7,11,9,11,3,4,7,8,10,23,4,11,29,42,37,33,16,17,0
Mexico-Mexico_City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Michoacan_de_Ocampo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Mexico-Morelos,1,3,2,2,2,0,1,1,1,1,0,0,1,1,0,0,1,0,1,1,1,7,6,6,4,10,10,6,5,7,9,9,13,10,9,7,5,4,1,4,5,6,5,1,6,3,2,5,1,0,0,0
Mexico-Nayarit,0,0,0,5,2,0,5,2,1,0,2,5,2,7,0,6,8,2,23,7,6,12,6,1,15,11,1,12,14,7,6,3,10,5,18,27,12,44,48,27,31,15,35,15,1,29,3,0,15,24,45,28
Mexico-Nuevo_Leon,0,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,3,2,8,2,7,7,10,1,7,1,4,5,13,5,1,6,2,2,6,0,0,0
Mexico-Oaxaca,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Puebla,0,0,0,0,1,1,0,0,3,0,1,0,1,0,0,1,0,2,0,1,2,1,2,4,8,8,1,12,6,5,5,4,2,3,4,1,1,0,8,5,3,2,2,1,0,3,1,0,2,0,0,0
Mexico-Queretaro_de_Arteaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Quintana_Roo,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Mexico-San_Luis_Potosi,0,0,0,1,1,2,0,1,0,0,1,0,1,0,0,1,0,0,3,0,1,4,4,5,6,12,13,17,15,3,18,14,19,11,30,23,20,44,28,24,36,12,23,13,15,7,14,5,29,3,3,0
Mexico-Sinaloa,1,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,3,1,5,14,9,15,21,6,5,6,6,1,0
Mexico-Sonora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,3,3,8,2,10,9,7,4,4,5,0,0
Mexico-State_Of_Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,3,0,0
Mexico-Tabasco,0,0,1,0,3,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
Mexico-Tamaulipas,0,0,0,0,0,1,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,7,0,0,8,5,11,32,7,15,1,54,6,101,39,24,41,0,9,58,50,12,74,1,7,10,4,28,21,1,4,0
Mexico-Tlaxcala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Veracruz_de_Ignacio_de_la_Llave,1,0,0,0,1,1,2,0,1,0,0,1,0,0,0,3,1,0,0,0,0,1,0,1,4,0,0,2,0,1,1,1,1,2,1,2,7,1,12,13,15,1,21,5,8,3,5,3,5,3,3,0
Mexico-Yucatan,0,0,2,1,1,0,2,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico-Zacatecas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
