Date,Searches,Cases
03/01/2016,25,8
10/01/2016,18,30
17/01/2016,25,0
24/01/2016,59,179
31/01/2016,55,226
07/02/2016,70,271
14/02/2016,38,274
21/02/2016,43,263
28/02/2016,27,312
06/03/2016,23,361
13/03/2016,53,182
20/03/2016,21,443
27/03/2016,36,469
03/04/2016,37,541
10/04/2016,54,469
17/04/2016,36,549
24/04/2016,83,488
01/05/2016,30,541
08/05/2016,56,549
15/05/2016,39,554
22/05/2016,27,406
29/05/2016,23,464
05/06/2016,50,483
12/06/2016,41,278
19/06/2016,16,281
26/06/2016,42,246
03/07/2016,4,167
10/07/2016,15,204
17/07/2016,69,162
24/07/2016,100,138
31/07/2016,16,90
07/08/2016,55,61
14/08/2016,39,77
21/08/2016,71,62
28/08/2016,100,77
04/09/2016,0,74
11/09/2016,48,47
18/09/2016,56,45
25/09/2016,46,46
02/10/2016,23,28
09/10/2016,52,17
16/10/2016,57,-87
23/10/2016,33,36
30/10/2016,18,29
06/11/2016,72,30
13/11/2016,50,5
20/11/2016,0,15
27/11/2016,74,10
04/12/2016,0,12
11/12/2016,51,32
18/12/2016,48,14
25/12/2016,8,20
01/01/2017,0,2
08/01/2017,0,5
15/01/2017,0,6
22/01/2017,9,13
29/01/2017,14,6
05/02/2017,0,5
12/02/2017,40,9
19/02/2017,34,8
26/02/2017,9,10
05/03/2017,38,5
12/03/2017,29,4
19/03/2017,0,5
26/03/2017,0,5
02/04/2017,48,0
09/04/2017,0,8
16/04/2017,18,5
23/04/2017,10,3
30/04/2017,26,4
07/05/2017,44,2
14/05/2017,0,5
21/05/2017,0,8
28/05/2017,27,0
04/06/2017,0,6
11/06/2017,25,4
18/06/2017,14,1
25/06/2017,26,-8
02/07/2017,68,2
09/07/2017,0,1
16/07/2017,0,1
23/07/2017,0,0
30/07/2017,15,1
06/08/2017,0,1
13/08/2017,37,4
20/08/2017,100,2
27/08/2017,0,-16
03/09/2017,5,-1
10/09/2017,0,14
17/09/2017,0,-1
24/09/2017,51,3
01/10/2017,6,3
08/10/2017,0,2
15/10/2017,0,2
22/10/2017,0,-4
29/10/2017,0,0
05/11/2017,13,3
12/11/2017,0,8
19/11/2017,0,4
26/11/2017,30,-3
03/12/2017,0,7
10/12/2017,2,4
17/12/2017,0,-1
24/12/2017,33,-5
