Searches,Cases
18,0
0,0
9,0
20,0
0,0
9,0
27,0
75,0
100,0
100,0
56,0
83,0
50,0
40,0
33,0
51,0
65,0
51,0
61,0
48,0
42,0
96,0
62,0
35,0
38,0
65,0
70,0
30,0
42,2
70,1
43,0
17,0
14,0
16,0
13,1
49,0
68,6
59,3
64,6
45,16
45,17
75,52
79,22
62,30
54,40
89,36
31,14
40,41
68,24
78,10
86,10
85,8
100,5
100,3
100,9
51,3
100,4
75,0
100,0
77,1
100,0
64,0
69,1
33,0
67,0
67,0
86,0
100,1
100,0
100,0
25,0
98,0
100,0
59,0
94,0
66,0
37,0
56,0
93,1
100,0
100,0
67,1
68,0
100,1
89,0
100,0
15,0
27,0
40,0
37,0
9,0
9,0
28,0
27,0
23,0
33,0
17,1
5,0
4,0
0,0
9,0
14,0
12,0
24,0
5,0
98,1
25,0
81,0
49,0
17,0
22,0
35,0
100,0
54,0
64,0
100,0
100,0
55,0
68,0
56,0
74,0
48,0
